Orthogroup	s288c	W29	DMKU3-1042
OG0000000	"sp|P13181|GAL2_YEAST, sp|P23585|HXT2_YEAST, sp|P32465|HXT1_YEAST, sp|P32466|HXT3_YEAST, sp|P32467|HXT4_YEAST, sp|P38695|HXT5_YEAST, sp|P39003|HXT6_YEAST, sp|P39004|HXT7_YEAST, sp|P40885|HXT9_YEAST, sp|P40886|HXT8_YEAST, sp|P42833|HXT14_YEAST, sp|P43581|HXT10_YEAST, sp|P54862|HXT11_YEAST"	tr|A0A1D8NP45|A0A1D8NP45_YARLL	"tr|W0TBK0|W0TBK0_KLUMD, tr|W0TC80|W0TC80_KLUMD, tr|W0TD85|W0TD85_KLUMD, tr|W0TDX2|W0TDX2_KLUMD, tr|W0TFY3|W0TFY3_KLUMD, tr|W0TH43|W0TH43_KLUMD"
OG0000001	"sp|P36033|FRE2_YEAST, sp|P53746|FRE4_YEAST, sp|Q08905|FRE3_YEAST, sp|Q08908|FRE5_YEAST, sp|Q12473|FRE6_YEAST"	"tr|A0A1D8N7B9|A0A1D8N7B9_YARLL, tr|A0A1D8N7L0|A0A1D8N7L0_YARLL, tr|A0A1D8N7N2|A0A1D8N7N2_YARLL, tr|A0A1D8N7P3|A0A1D8N7P3_YARLL, tr|A0A1D8NHK5|A0A1D8NHK5_YARLL, tr|A0A1D8NL99|A0A1D8NL99_YARLL, tr|A0A1D8NMC3|A0A1D8NMC3_YARLL, tr|A0A1H6PSN9|A0A1H6PSN9_YARLL, tr|A0A1H6Q2Q1|A0A1H6Q2Q1_YARLL"	"tr|W0T6P2|W0T6P2_KLUMD, tr|W0TE86|W0TE86_KLUMD, tr|W0TFX3|W0TFX3_KLUMD, tr|W0TJK0|W0TJK0_KLUMD"
OG0000002	sp|P47145|YJ77_YEAST	"tr|A0A1D8N4D0|A0A1D8N4D0_YARLL, tr|A0A1D8N8L5|A0A1D8N8L5_YARLL, tr|A0A1D8NF47|A0A1D8NF47_YARLL, tr|A0A1D8NGI8|A0A1D8NGI8_YARLL, tr|A0A1D8NL81|A0A1D8NL81_YARLL, tr|A0A1D8NMW8|A0A1D8NMW8_YARLL, tr|A0A1D8NQS2|A0A1D8NQS2_YARLL, tr|A0A1H6PI79|A0A1H6PI79_YARLL, tr|A0A1H6PZ25|A0A1H6PZ25_YARLL, tr|A0A1H6Q441|A0A1H6Q441_YARLL, tr|I0CKV0|I0CKV0_YARLL, tr|Q872L3|Q872L3_YARLL, tr|Q872L4|Q872L4_YARLL, tr|Q872L5|Q872L5_YARLL, tr|Q872L6|Q872L6_YARLL, tr|Q9P8F7|Q9P8F7_YARLL"	tr|W0TDJ3|W0TDJ3_KLUMD
OG0000003	sp|Q06593|OPT2_YEAST	"tr|A0A1D8N358|A0A1D8N358_YARLL, tr|A0A1D8N3L7|A0A1D8N3L7_YARLL, tr|A0A1D8N654|A0A1D8N654_YARLL, tr|A0A1D8N665|A0A1D8N665_YARLL, tr|A0A1D8N6H5|A0A1D8N6H5_YARLL, tr|A0A1D8N6Z0|A0A1D8N6Z0_YARLL, tr|A0A1D8NAM7|A0A1D8NAM7_YARLL, tr|A0A1D8NC17|A0A1D8NC17_YARLL, tr|A0A1D8NJ54|A0A1D8NJ54_YARLL, tr|A0A1D8NMR9|A0A1D8NMR9_YARLL, tr|A0A1D8NNH1|A0A1D8NNH1_YARLL, tr|A0A1D8NP39|A0A1D8NP39_YARLL, tr|A0A1H6PLQ4|A0A1H6PLQ4_YARLL, tr|A0A1H6PW96|A0A1H6PW96_YARLL, tr|A0A1H6PYN5|A0A1H6PYN5_YARLL, tr|A0A1H6Q237|A0A1H6Q237_YARLL"	tr|W0TG60|W0TG60_KLUMD
OG0000004	"sp|P53111|ARI1_YEAST, sp|P53183|YGD9_YEAST, sp|Q03049|YD541_YEAST, sp|Q12068|GRE2_YEAST"	"tr|A0A1D8N6Y0|A0A1D8N6Y0_YARLL, tr|A0A1D8NDJ8|A0A1D8NDJ8_YARLL, tr|A0A1D8NE62|A0A1D8NE62_YARLL, tr|A0A1D8NEA1|A0A1D8NEA1_YARLL, tr|A0A1D8NMN1|A0A1D8NMN1_YARLL, tr|A0A1D8NPV9|A0A1D8NPV9_YARLL, tr|A0A1H6PQW4|A0A1H6PQW4_YARLL, tr|A0A1H6Q4J0|A0A1H6Q4J0_YARLL"	"tr|W0T8F4|W0T8F4_KLUMD, tr|W0TAI1|W0TAI1_KLUMD, tr|W0TD41|W0TD41_KLUMD, tr|W0TG50|W0TG50_KLUMD, tr|W0THU2|W0THU2_KLUMD"
OG0000005		"tr|A0A1D8N4E7|A0A1D8N4E7_YARLL, tr|A0A1D8N4W0|A0A1D8N4W0_YARLL, tr|A0A1D8N555|A0A1D8N555_YARLL, tr|A0A1D8N8G9|A0A1D8N8G9_YARLL, tr|A0A1D8N9X1|A0A1D8N9X1_YARLL, tr|A0A1D8NB58|A0A1D8NB58_YARLL, tr|A0A1D8NBH2|A0A1D8NBH2_YARLL, tr|A0A1D8NER8|A0A1D8NER8_YARLL, tr|A0A1D8NFE7|A0A1D8NFE7_YARLL, tr|A0A1D8NP46|A0A1D8NP46_YARLL, tr|A0A1D8NP66|A0A1D8NP66_YARLL, tr|A0A1D8NPD2|A0A1D8NPD2_YARLL, tr|A0A1H6PN48|A0A1H6PN48_YARLL, tr|A0A1H6PSM8|A0A1H6PSM8_YARLL, tr|A0A1H6Q7E0|A0A1H6Q7E0_YARLL"	tr|W0T6T1|W0T6T1_KLUMD
OG0000006	sp|P53322|TNA1_YEAST	"tr|A0A1D8N9F1|A0A1D8N9F1_YARLL, tr|A0A1D8NA71|A0A1D8NA71_YARLL, tr|A0A1D8NEB9|A0A1D8NEB9_YARLL, tr|A0A1D8NJ82|A0A1D8NJ82_YARLL, tr|A0A1D8NK67|A0A1D8NK67_YARLL, tr|A0A1D8NM70|A0A1D8NM70_YARLL, tr|A0A1D8NP68|A0A1D8NP68_YARLL, tr|A0A1D8NQC0|A0A1D8NQC0_YARLL, tr|A0A1D8NQC2|A0A1D8NQC2_YARLL, tr|A0A1H6PZ47|A0A1H6PZ47_YARLL, tr|A0A1H6Q0N7|A0A1H6Q0N7_YARLL, tr|A0A1H6Q930|A0A1H6Q930_YARLL"	"tr|W0T3B6|W0T3B6_KLUMD, tr|W0T9E4|W0T9E4_KLUMD"
OG0000007			"tr|A0A1L7LMB5|A0A1L7LMB5_KLUMD, tr|W0T3J7|W0T3J7_KLUMD, tr|W0T465|W0T465_KLUMD, tr|W0T937|W0T937_KLUMD, tr|W0T9D9|W0T9D9_KLUMD, tr|W0TB95|W0TB95_KLUMD, tr|W0TBQ3|W0TBQ3_KLUMD, tr|W0TCA3|W0TCA3_KLUMD, tr|W0TDM2|W0TDM2_KLUMD, tr|W0TEB8|W0TEB8_KLUMD, tr|W0TEW2|W0TEW2_KLUMD, tr|W0TG61|W0TG61_KLUMD, tr|W0TGY8|W0TGY8_KLUMD, tr|W0TJK9|W0TJK9_KLUMD"
OG0000008	"sp|P10591|HSP71_YEAST, sp|P10592|HSP72_YEAST, sp|P22202|HSP74_YEAST"	"tr|A0A1D8N5R8|A0A1D8N5R8_YARLL, tr|A0A1D8NDR0|A0A1D8NDR0_YARLL, tr|A0A1D8NFQ0|A0A1D8NFQ0_YARLL, tr|A0A1D8NGG2|A0A1D8NGG2_YARLL, tr|A0A1D8NGJ0|A0A1D8NGJ0_YARLL, tr|A0A1D8NLA9|A0A1D8NLA9_YARLL, tr|A0A1D8NPY0|A0A1D8NPY0_YARLL"	"tr|W0T5M8|W0T5M8_KLUMD, tr|W0THY0|W0THY0_KLUMD"
OG0000009	"sp|P25596|GEX1_YEAST, sp|P36173|GEX2_YEAST, sp|P38724|ARN2_YEAST, sp|P38731|ARN1_YEAST, sp|P39980|SIT1_YEAST, sp|Q08299|ENB1_YEAST"		"tr|W0T243|W0T243_KLUMD, tr|W0T2J4|W0T2J4_KLUMD, tr|W0T5P5|W0T5P5_KLUMD, tr|W0T9S7|W0T9S7_KLUMD, tr|W0TBB2|W0TBB2_KLUMD, tr|W0TCW3|W0TCW3_KLUMD"
