ChassyID	W29_NCBI	CLIB122_NCBI	CLIB122_UNIPROT	Protein_name	ec_number
Chassy_YL_F_1264	YALI1_F32597g	YALI0F25289g	Q6C0E9	uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein I2	
Chassy_YL_D_1098	YALI1_D28273g	YALI0D22352g	Q6C864	uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein I2	
Chassy_YL_C_888	YALI1_C24707g	YALI0C17347g	Q6CBM2	uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein I2	
Chassy_YL_A_5	YALI1_A00102g	YALI0A00132g	Q6CIA7	uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein I2	
Chassy_YL_D_405	YALI1_D10458g	YALI0D08184g	Q6C9V0	uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein I2	
Chassy_YL_E_648	YALI1_E16731g	YALI0E13706g	Q99170	uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins I2	
Chassy_YL_A_906	YALI1_A22539g			No description in CLIB122 I2	
Chassy_YL_C_302	YALI1_C08262g	YALI0C06369g	Q6CCU7	uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase I2	1.2.1.12
Chassy_YL_D_470	YALI1_D11984g	YALI0D09361g	Q6C9P6	uniprot|Q6C9P6 Yarrowia lipolytica YALI0D09361g ACO1 Aconitase I2	4.2.1.-
Chassy_YL_E_700	YALI1_E17935g	YALI0E14949g	Q6C5V2	uniprot|Q6C5V2 Yarrowia lipolytica YALI0E14949g ACO2 Aconitase I2	4.2.1.-
Chassy_YL_F_865	YALI1_F22436g	YALI0F16819g	Q6C1F3	uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase I2	4.2.1.11
Chassy_YL_E_404	YALI1_E10587g	YALI0E08756g	Q6C6K7	uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation I2	
Chassy_YL_E_604	YALI1_E15659g	YALI0E12683g	Q6C638	uniprot|Q6C638 Yarrowia lipolytica YALI0E12683g MET6 Homocysteine methyltransferase I2	
Chassy_YL_F_20	YALI1_F00654g	YALI0F00484g	Q6C3E1	uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase I2	
Chassy_YL_E_720	YALI1_E18441g	YALI0E15378g	F2Z6I5	"uniprot|Q9P4D9 Yarrowia lipolytica YALI0E15378g MFE2 Multifunctional beta-oxidation enzyme, hydratase- dehydrogenase-epimerase I2"	
Chassy_YL_F_154	YALI1_F04433g	YALI0F03179g	Q6C326	"highly similar to uniprot|P07251 Saccharomyces cerevisiae YBL099w ATP1 F1F0-ATPase complex, F1 alpha subunit I2"	
Chassy_YL_E_129	YALI1_E03300g	YALI0E02684g	Q6C793	"uniprot|Q6C793 Yarrowia lipolytica YALI0E02684g CIT2 Mitochondrial citrate synthase, putative I2"	2.3.3.5; 2.3.3.16
Chassy_YL_E_35	YALI1_E01019g	YALI0E00638g	Q6C7I2	uniprot|Q6C7I2 Yarrowia lipolytica YALI0E00638g CIT1 Mitochondrial 2-methyl citrate synthase I2	
Chassy_YL_C_439	YALI1_C12642g	YALI0C09141g	O59949	uniprot|O59949 Yarrowia lipolytica YALI0C09141g TEF Elongation factor 1-alpha (EF-1-alpha) I2	
Chassy_YL_C_376	YALI1_C10555g	YALI0C07953g	Q6CCN4	"highly similar to uniprot|P46598 Candida albicans CaHSC82, Heat shock protein 90 homolog I2"	
Chassy_YL_A_14	YALI1_A00406g	YALI0A00352g	Q6CI99	uniprot|Q6CI99 Yarrowia lipolytica YALI0A00352g EFT1 Translation elongation factor eEF2 I2	
Chassy_YL_A_848	YALI1_A21203g	YALI0A20152g	Q6CGD8	highly similar to uniprot|P32324 Saccharomyces cerevisiae YOR133W (ohnolog of YDR385W) EFT1 translation elongation factor eEF2 I2	
Chassy_YL_F_548	YALI1_F14495g	YALI0F10857g	O74935	uniprot|O74935 Yarrowia lipolytica YALI0F10857g POX2 Fatty-acyl coenzyme A oxidase I2	1.3.3.6
Chassy_YL_C_1205	YALI1_C32886g	YALI0C23859g	F2Z630	uniprot|O74938 Yarrowia lipolytica YALI0C23859g POX5 (=ACO5) Fatty-acyl coenzyme A oxidase I2	
Chassy_YL_E_311	YALI1_E07899g	YALI0E06567g	Q6C6T0	uniprot|Q6C6T0 Yarrowia lipolytica YALI0E06567g POX6 Fatty-acyl coenzyme A oxidase I2	
Chassy_YL_E_1312	YALI1_E32603g	YALI0E27654g	F2Z627	uniprot|O74937 Yarrowia lipolytica YALI0E27654g POX4 Fatty-acyl coenzyme A oxidase I2	
Chassy_YL_E_1579	YALI1_E38912g	YALI0E32835g	O74934	uniprot|O74934 Yarrowia lipolytica YALI0E32835g POX1 Fatty-acyl coenzyme A oxidase I2	1.3.3.6
Chassy_YL_C_1216	YALI1_C33152g	YALI0C24101g	Q6CAV2	uniprot|Q6CAV2 Yarrowia lipolytica YALI0C24101g PYC1 Pyruvate carboxylase I2	6.4.1.1
Chassy_YL_B_208	YALI1_B05364g	YALI0B03982g	Q6CFT7	"highly similar to uniprot|P00830 Saccharomyces cerevisiae YJR121W ATP2 Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis I2"	3.6.3.14
Chassy_YL_B_746	YALI1_B19844g	YALI0B15059g	P34229	"uniprot|P34229 Yarrowia lipolytica YALI0B15059g FAS1 Fatty acid synthase subunit beta, putative I2"	2.3.1.86; 4.2.1.59; 1.3.1.9; 2.3.1.38; 2.3.1.39; 3.1.2.14
Chassy_YL_B_419	YALI1_B10813g	YALI0B08184g	Q6CFD2	"highly similar to uniprot|P08536 Saccharomyces cerevisiae YJR010w MET3, ATP sulfurylase I2"	2.7.7.4
Chassy_YL_E_628	YALI1_E16255g	YALI0E13277g	Q6C617	uniprot|Q6C617 Yarrowia lipolytica YALI0E13277g YEF3 Elongation factor 3 (EF-3) I2	
Chassy_YL_E_1609	YALI1_E39693g	YALI0E33517g	Q6C3M8	uniprot|Q6C3M8 Yarrowia lipolytica YALI0E33517g KGD1 2-oxoglutarate dehydrogenase complex E1 component I2	
Chassy_YL_D_1302	YALI1_D34353g	YALI0D25960g		"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374w ALD4 aldehyde dehydrogenase, frameshift I2"	
Chassy_YL_C_142	YALI1_C04093g	YALI0C03025g	Q6CD79	"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374W ALD4 Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate I2"	
Chassy_YL_D_800	YALI1_D20676g	YALI0D16753g	Q6C8V3	uniprot|Q6C8V3 Yarrowia lipolytica YALI0D16753g MDH1 Mitochondrial malate dehydrogenase I2	1.1.1.37
Chassy_YL_F_475	YALI1_F12842g	YALI0F09185g	P30614	uniprot|P30614 Yarrowia lipolytica YALI0F09185g PYK1 Pyruvate kinase I2	2.7.1.40
Chassy_YL_E_1239	YALI1_E30886g	YALI0E26004g	Q6C4K5	similar to uniprot|P14540 Saccharomyces cerevisiae YKL060c FBA1 fructose-bisphosphate aldolase I2	
Chassy_YL_B_775	YALI1_B20462g	YALI0B15598g	Q6CEH4	highly similar to uniprot|P38720 Saccharomyces cerevisiae YHR183W (ohnolog of YGR256W) GND1 6- phosphogluconate dehydrogenase I2	1.1.1.44
Chassy_YL_E_443	YALI1_E11768g	YALI0E09493g	Q6C6H5	"uniprot|Q6C6H5 Yarrowia lipolytica YALI0E09493g URA2 Multifunctional pyrimidine biosynthesis protein, putative I2"	
