ChassyID	NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	Standard_A	Standard_B	Standard_C	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	OsmoticStress_A	OsmoticStress_B	OsmoticStress_C	Protein_name	ec_number
Chassy_KM_4545	KMXK_0G03150	W0TG45	KLMA_80306	6811.920691	21544345.9	1467798.268	8799224.436	8799224.436	21544345.9	12915495.65	215443468	14677991.68	1291548.665	12915495.65	24484366.47	 Alcohol dehydrogenase 3 - ADH3	
Chassy_KM_2506	KMXK_0D01240	W0TBC6	KLMA_40102	138948.5494	1389494.494	16377.93707	372758.372	22757.45926	51793.74679	268268.5795	1389494.494	99999	9999	71967.5673	71967.5673	 Alcohol dehydrogenase 1 - ADH1	
Chassy_KM_3961	KMXK_0F03070	W0THG5	KLMA_60268	130.1133937	337.3855153	149.1310729	37.7467512	9	12.11133937	170.9072202	294.5209235	665.0846291	386.467512	37.7467512	507.0218047	 Uncharacterized protein YNL134C - KLMA_60268	
Chassy_KM_989	KMXK_0B01710	W0T723	KLMA_20158	16.7827941	16.7827941	26.38419634	30.6227766	14.39926526	26.38419634	47.69675252	41.16965034	55.23413252	10.54781985	22.71373706	35.51741273	 Alcohol dehydrogenase 4 - ADH4b	
Chassy_KM_2625	KMXK_0D02430	W0TDP8	KLMA_40220	463.1588834	1.15443469	0.668100537	0.467799268	0.895735652	0.895735652	0.895735652	1.15443469	2.593813664	0.668100537	0.467799268	0.895735652	 Alcohol dehydrogenase 2 - ADH2	
Chassy_KM_3619	KMXK_0E05880	W0TEK8	KLMA_50592	657932.2247	231011.97	53365.99231	4327.761281	3510.191734	5335.699231	38985.03703	123283.6739	28479.35868	123283.6739	43286.61281	20804.67538	 Heat shock protein SSB - SSB	
Chassy_KM_4603	KMXK_0G03730	W0THY0	KLMA_80367	330.1311215	157.4893192	99	3310.311215	3980.071706	3629.780548	274.4228703	189.5460718	523.8074602	1095.478196	4364.158322	523.8074602	 Heat shock protein SSA3 - SSA3	
Chassy_KM_1288	KMXK_0B04700	W0T5M8	KLMA_20459	40614.85988	2014.337686	2720.338768	7.185467307	5.700187504	7.185467307	447.9251258	547.4416576	3006.882518	1822.348001	3323.597932	366.4661941	 Heat shock protein SSA2 - SSA2	
Chassy_KM_1525	KMXK_0B07070	W0TAL8	KLMA_20691	69.17038287	10.93776642	12.04321387	12.04321387	5.422325422	9.926008611	10.93776642	23.24462017	9.926008611	9.926008611	14.57068405	7.376776401	 78 kDa glucose-regulated protein homolog - GRP78	
Chassy_KM_4298	KMXK_0G00680	W0TG93	KLMA_80059	2154434689	184784978.7	63095733.45	464157.8834	464157.8834	735641.2545	11659143.01	13593562.91	18478496.97	25118863.32	39810716.06	85769588.86	 Glyceraldehyde-3-phosphate dehydrogenase - GAP3	1.2.1.12
