Gene ontology (biological process)	Gene names  (ORF ) DMKU	Entry Uniprot ID	UNIprot ID	description	Gene Names CBS6556
	KLMA_10005	W0T241	W0T241	 7-keto 8-aminopelargonic acid transporter - BIO5 	KMXK_0E06320
transmembrane transport [GO:0055085]	KLMA_10010	W0T243	W0T243	 Siderophore iron transporter ARN2 - ARN2 	KMXK_0A08370
	KLMA_10015	W0T247	W0T247	 Mating-type protein ALPHA2 - HMLALPHA2 	KMXK_0A08320
vacuole inheritance [GO:0000011]	KLMA_10020	W0T253	W0T253	 Uncharacterized protein - VAC17 	KMXK_0A08290
	KLMA_10025	W0T257	W0T257	 Saccharolysin - PRD1 	KMXK_0A08240
	KLMA_10030	W0T261	W0T261	 CMAS - KLMA_10030 	KMXK_0A08190
nucleoside catabolic process [GO:0009164]; nucleotide metabolic process [GO:0009117]	KLMA_10035	W0T264	W0T264	" 5',5'''-P-1,P-4-tetraphosphate phosphorylase 2 - APA2 "	KMXK_0A08140
	KLMA_10040	W0T269			
	KLMA_10045	W0T273	W0T273	 Uracil catabolism protein 2 - URC2 	KMXK_0A08070
ER to Golgi vesicle-mediated transport [GO:0006888]; protein secretion [GO:0009306]	KLMA_10050	W0T280	W0T280	 GRASP65 homolog protein 1 - GRH1 	KMXK_0A08020
	KLMA_10055	W0T285	W0T285	 Ribonuclease H-like domain - KLMA_10055 	KMXK_0A07970
cellular response to oxidative stress [GO:0034599]; protein repair [GO:0030091]	KLMA_10060	W0T289	W0T289	 SelR super family - MXR2 	KMXK_0A07920
histidine biosynthetic process [GO:0000105]	KLMA_10065	W0T294	W0T294	 Histidine biosynthesis trifunctional protein - HIS4 	KMXK_0A07870
cellular response to oxidative stress [GO:0034599]	KLMA_10070	W0T298	W0T298	 Nitroreductase-like family 4 - HBN1 	KMXK_0A07820
meiotic cell cycle [GO:0051321]; synaptonemal complex organization [GO:0070193]	KLMA_10075	W0T2A3	W0T2A3	 Putative multicopper oxidase YDR506C - GMC1 	KMXK_0A07770
	KLMA_10080	W0T2A8	W0T2A8	 Vacuolar protein sorting-associated protein VTA1 - VTA1 	KMXK_0A07720
	KLMA_10085	W0T2B3	W0T2B3	 Uncharacterized protein - EMG1 	KMXK_0A07670
homoserine metabolic process [GO:0009092]; methionine biosynthetic process [GO:0009086]	KLMA_10090	W0T2B8	W0T2B8	 Homoserine O-acetyltransferase - MET2 	KMXK_0A07630
protein targeting to vacuole [GO:0006623]	KLMA_10095	W0T2C3	W0T2C3	 Boron transporter 1 - BOR1 	KMXK_0A07580
	KLMA_10100	W0T2C9	W0T2C9	 G1/S-specific cyclin CLN1 - CCN1 	KMXK_0A07530
late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; protein transport [GO:0015031]	KLMA_10110	W0T2D8	W0T2D8	 Vacuolar protein sorting-associated protein IST1 - IST1 	KMXK_0A07440
	KLMA_10115	W0T2E3	W0T2E3	 Pre-mRNA-splicing factor CWC23 - CWC23 	KMXK_0A07390
ribosomal large subunit biogenesis [GO:0042273]; translational initiation [GO:0006413]	KLMA_10120	W0T2E8	W0T2E8	 Uncharacterized ORAOV1 family protein YNL260C - KLMA_10120 	KMXK_0A07340
ubiquinone biosynthetic process [GO:0006744]	KLMA_10125	W0T2F2	W0T2F2	" Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial - COQ6 "	KMXK_0A07290
	KLMA_10130	W0T2F8	W0T2F8	 54S ribosomal protein L17 - MRPL17 	KMXK_0A07240
peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]	KLMA_10135	W0T2G2	W0T2G2	 Diphthamide biosynthesis protein 4 - KLMA_10135 	KMXK_0A07190
formation of translation preinitiation complex [GO:0001731]; maintenance of translational fidelity [GO:1990145]	KLMA_10140	W0T2G6	W0T2G6	 Eukaryotic translation initiation factor eIF-1 - SUI1 	KMXK_0A07140
"transcription, DNA-templated [GO:0006351]"	KLMA_10145	W0T2H3	W0T2H3	 Putative transcriptional regulatory protein YJL206C - KLMA_10145 	KMXK_0A07110
RNA processing [GO:0006396]	KLMA_10150	W0T2H8	W0T2H8	 Pre-mRNA-splicing factor sap114 - KLMA_10150 	KMXK_0A07050
sodium ion transport [GO:0006814]; transmembrane transport [GO:0055085]	KLMA_10155	W0T2I1	W0T2I1	 Inorganic phosphate transporter PHO87 - PHO87 	KMXK_0A07000
	KLMA_10160	W0T2I4	W0T2I4	 Probable DNA-binding protein SNT1 - SNT1 	KMXK_0A06950
	KLMA_10003	W0T2J0			
transmembrane transport [GO:0055085]	KLMA_10008	W0T2J4	W0T2J4	 Siderophore iron transporter ARN2 - ARN2 	KMXK_0A08390
	KLMA_10013	W0T2J7			
L-serine catabolic process [GO:0006565]; threonine catabolic process [GO:0006567]	KLMA_10018	W0T2K0	W0T2K0	 Catabolic L-serine/threonine dehydratase - CHA1 	KMXK_0A08300
	KLMA_10165	W0T2K3	W0T2K3	 ATP-dependent DNA helicase HMI1 - HMI1 	KMXK_0A06900
	KLMA_10023	W0T2K4	W0T2K4	 Uncharacterized protein - KLMA_10023 	KMXK_0A08260
	KLMA_10170	W0T2K7	W0T2K7	 SMC_prok_B - KLMA_10170 	KMXK_0A06850
	KLMA_10028	W0T2L0	W0T2L0	 Uncharacterized protein - KLMA_10028 	KMXK_0A08210
intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	KLMA_10175	W0T2L1	W0T2L1	 AP-2 complex subunit mu - APM4 	KMXK_0A06800
	KLMA_10033	W0T2L4	W0T2L4	 Uncharacterized protein - LRE1 	KMXK_0A08160
arginine biosynthetic process [GO:0006526]	KLMA_10180	W0T2L5	W0T2L5	 Argininosuccinate synthase - ARG1 	KMXK_0A06750
	KLMA_10185	W0T2L7	W0T2L7	 Oxysterol-binding protein homolog 1 - OSH2 	KMXK_0A06700
transcription by RNA polymerase II [GO:0006366]	KLMA_10038	W0T2L9	W0T2L9	 RNA polymerase II-associated protein RBA50 - RBA50 	KMXK_0A08110
"cytoskeleton organization [GO:0007010]; negative regulation of actin filament polymerization [GO:0030837]; regulation of cell shape during vegetative growth phase [GO:0000903]; regulation of cytokinesis [GO:0032465]; regulation of formin-nucleated actin cable assembly [GO:0090337]; regulation of protein localization [GO:0032880]; regulation of transcription, DNA-templated [GO:0006355]; regulation of vesicle-mediated transport [GO:0060627]"	KLMA_10190	W0T2M1	W0T2M1	 Bud site selection protein 14 - BUD14 	KMXK_0A06650
	KLMA_10043	W0T2M3	W0T2M3	 Sporulation-specific protein 1 - SPS1 	KMXK_0A08090
cell division [GO:0051301]; cellular protein-containing complex localization [GO:0034629]; double-strand break repair via break-induced replication [GO:0000727]; G1/S transition of mitotic cell cycle [GO:0000082]; mitotic DNA replication checkpoint [GO:0033314]; mitotic DNA replication initiation [GO:1902975]; mitotic DNA replication preinitiation complex assembly [GO:1902977]; negative regulation of DNA binding [GO:0043392]; negative regulation of exit from mitosis [GO:0001100]; negative regulation of transcription by transcription factor catabolism [GO:0010620]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation [GO:1904968]; positive regulation of meiotic DNA double-strand break formation involved in reciprocal meiotic recombination [GO:1905263]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle [GO:0010673]; premeiotic DNA replication [GO:0006279]; protein autophosphorylation [GO:0046777]; regulation of chromatin silencing at telomere [GO:0031938]; replication fork protection [GO:0048478]; signal transduction involved in intra-S DNA damage checkpoint [GO:0072428]	KLMA_10195	W0T2M5	W0T2M5	 Cell division control protein 7 - CDC7 	KMXK_0A06610
protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]	KLMA_10048	W0T2M7	W0T2M7	 Mitochondrial inner membrane i-AAA protease complex subunit MGR1 - MGR1 	KMXK_0A08040
amino acid transmembrane export from vacuole [GO:0032974]; autophagy [GO:0006914]	KLMA_10053	W0T2N2	W0T2N2	 Autophagy-related protein - ATG22 	KMXK_0A07990
mRNA polyadenylation [GO:0006378]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; snoRNA 3'-end processing [GO:0031126]; snoRNA splicing [GO:0034247]; termination of RNA polymerase II transcription [GO:0006369]	KLMA_10210	W0T2N7	W0T2N7	 Endoribonuclease YSH1 - YSH1 	KMXK_0A06480
cell redox homeostasis [GO:0045454]	KLMA_10058	W0T2N8	W0T2N8	 Glutaredoxin-1 - GRX2 	KMXK_0A07940
chromatin silencing at rDNA [GO:0000183]; N-terminal peptidyl-glycine methylation [GO:0018013]; peptidyl-lysine dimethylation [GO:0018027]	KLMA_10215	W0T2P1	W0T2P1	 Putative nicotinamide N-methyltransferase - NNT1 	KMXK_0A06430
ribosomal small subunit assembly [GO:0000028]; rRNA processing [GO:0006364]	KLMA_10063	W0T2P3	W0T2P3	 Ribosomal RNA-processing protein 7 - RRP7 	KMXK_0A07890
L-serine biosynthetic process [GO:0006564]; purine nucleobase biosynthetic process [GO:0009113]	KLMA_10220	W0T2P5	W0T2P5	 Phosphoserine aminotransferase - SER1 	KMXK_0A06380
nucleocytoplasmic transport [GO:0006913]; protein transport [GO:0015031]	KLMA_10225 KLMA_50134	W0T2P8	W0T2P8	 GTP-binding nuclear protein - GSP1 	KMXK_0A06330
			W0T2P8	 GTP-binding nuclear protein - GSP1 	KMXK_0E01420
	KLMA_10068	W0T2Q0	W0T2Q0	 SH3 super family - KLMA_10068 	KMXK_0A07840
budding cell bud growth [GO:0007117]; morphogenesis checkpoint [GO:0044879]; protein autophosphorylation [GO:0046777]; septin ring assembly [GO:0000921]	KLMA_10073	W0T2Q5	W0T2Q5	 Serine/threonine-protein kinase GIN4 - GIN4 	KMXK_0A07790
	KLMA_10235	W0T2Q8	W0T2Q8	 WW domain-containing protein YFL010C - KLMA_10235 	KMXK_0A06240
