"orthoList$OG_IDs[converted]"	"genes"	"logFC"	"logCPM"	"PValue"	"FDR"	"Portein_names"
"OG0002675"	"YALI1_F33819g"	-0.905059156	6.243435434	0.002733844	0.024138331	"similar to uniprot|P15179 Saccharomyces cerevisiaeYPL104w MSD1 aspartyl-tRNA synthetase"
"OG0000820"	"YALI1_E34408g"	-1.015000125	5.229679605	0.00056243	0.008130396	"similar to uniprot|P48527 Saccharomyces cerevisiaeYPL097W MSY1 Tyrosyl-tRNA synthetase mitochondrialprecursor (EC 6.1.1.1) (Tyrosine--tRNA ligase) (TyrRS)"
"OG0003044"	"YALI1_E28779g"	2.044722675	5.752784678	0.000454837	0.006980092	"weakly similar to uniprot|Q2VQ77 Saccharomycescerevisiae YPL092w SSU1 Plasma membrane sulfite pumpinvolved in sulfite metabolism and required for efficientsulfite efflux"
"OG0001176"	"YALI1_B16687g"	-1.347644141	5.396486904	0.001319195	0.014574423	"highly similar to uniprot|Q02908 Saccharomycescerevisiae YPL086c ELP3 subunit of elongator/RNAPIIholoenzyme with histone acetylase activity"
"OG0003111"	"YALI1_D21022g"	1.121326671	6.316997002	1.91422e-05	0.000733826	"similar to uniprot|Q9C452 Penicillium paxilliGeranylgeranyl pyrophosphate synthase BTS1 homologue"
"OG0002625"	"YALI1_B24335g"	-1.052105985	5.204365902	0.000363743	0.006055944	"similar to uniprot|P38132 Saccharomyces cerevisiaeYBR202w CDC47 cell division control protein P6.3.f6.1"
"OG0000858"	"YALI1_F38986g"	0.718392119	7.044764122	0.004603826	0.032767771	"highly similar to uniprot|P18562 Saccharomycescerevisiae YHR128w FUR1 uracil phosphoribosyltransferase"
"OG0002693"	"YALI1_F35476g"	-1.079741754	6.172345926	0.002690153	0.023926957	"similar to uniprot|Q9P504 Neurospora crassaprobable Alp11 homologue of tubulin-folding cofactor B"
"OG0003293"	"YALI1_F39106g"	-1.107818136	6.211296074	0.002805049	0.02462345	"weakly similar to KLLA0E22583g Kluyveromyces lactisIPF 2424.1"
"OG0000758"	"YALI1_F31934g"	-0.923694566	6.418544019	0.001865807	0.018835326	"uniprot|Q8WZL7 Yarrowia lipolytica Nup85 protein"
"OG0001406"	"YALI1_C25581g"	-1.177174132	5.359051379	9.971e-05	0.002455055	"some similarities with uniprot|P38909 Saccharomycescerevisiae YOR037w CYC2 cytochrome-c mitochondrial importfactor"
"OG0001649"	"YALI1_C30653g"	1.106526794	7.395441771	0.004701716	0.033152845	"similar to uniprot|P32854 Saccharomyces cerevisiaeYOR036w PEP12 syntaxin (T-SNARE) vacuolar"
"OG0000927"	"YALI1_D33380g"	-0.925458376	8.808982294	0.006092667	0.039595797	"similar to uniprot|P06106 Saccharomyces cerevisiaeYLR303w MET25 O-acetylhomoserine sulfhydrylase P5.26.f3.1"
"OG0002171"	"YALI1_E05158g"	-1.373077211	3.614227883	3.22133e-05	0.001108613	"no similarity"
"OG0003194"	"YALI1_F29987g"	-1.238468098	7.285939224	0.003126662	0.026598581	"similar to uniprot|P20051 Saccharomyces cerevisiaeDihydroorotase (EC 3.5.2.3) (DHOase) YLR420w URA4"
"OG0002489"	"YALI1_E05119g"	-2.307021276	5.216356281	0.00018312	0.003756408	"similar to uniprot|P53960 Saccharomyces cerevisiaeYNL040w"
"OG0003288"	"YALI1_A20453g"	1.085226622	7.894659507	0.003376841	0.02767662	"similar to uniprot|Q06436 Saccharomyces cerevisiaeYLR427w"
"OG0001794"	"YALI1_E23967g"	1.338748133	8.393785064	0.004581239	0.032645368	"similar to uniprot|Q12012 Saccharomyces cerevisiaeYOR289w"
"OG0001499"	"YALI1_C06368g"	1.87842028	4.911460304	1.93128e-06	0.000146222	"similar to uniprot|Q03193 Saccharomyces cerevisiaeYDR090C Hypothetical 34.6 kDa protein"
"OG0002524"	"YALI1_F28550g"	-1.472931808	4.653471513	3.02368e-05	0.001058639	"weakly similar to uniprot|Q12495 Saccharomycescerevisiae YPR018w RLF2 chromatin assembly complex subunitp90"
"OG0002168"	"YALI1_E03941g"	-0.863194272	5.916134541	0.003773841	0.0293495	"similar to uniprot|Q03254 Saccharomyces cerevisiaeYMR277w FCP1 TFIIF interacting component of CTDphosphatase and DEHA0F03498g Debaryomyces hanseniipossible transmembrane segment"
"OG0001647"	"YALI1_B14150g"	-0.930882836	7.379592317	0.000907543	0.011475962	"similar to CAGL0K09768g Candida glabrata Similar touniprot|P27929 Saccharomyces cerevisiae YNL137c NAM9ribosomal protein mitochondrial"
"OG0002443"	"YALI1_D10067g"	-1.388714496	5.850553222	0.000260112	0.004803346	"weakly similar to uniprot|Q8J0A3 Cryptococcusneoformans Calcineurin temperature suppressor Cts1"
"OG0001156"	"YALI1_E36404g"	1.108368303	8.315096195	0.008025383	0.047424142	"similar to uniprot|O94363 Schizosaccharomyces pombeSPBC428.16C GTP-binding protein Rheb homolog"
"OG0001157"	"YALI1_E14910g"	0.964257762	8.488311145	0.00709377	0.043724351	""
"OG0001289"	"YALI1_E39656g"	-1.08044089	8.192880341	0.000473353	0.007185705	"similar to uniprot|P25618 Saccharomyces cerevisiaeYCR017c Hypothetical 107.9 kDa protein in POL4-SRD1intergenic region putative sensor/transporter proteinsingleton"
"OG0001228"	"YALI1_F32441g"	-4.386763233	7.355063815	3.35141e-05	0.001127748	"weakly similar to uniprot|Q98A31 Rhizobium lotitranscriptional regulator"
"OG0003307"	"YALI1_F30647g"	-0.846901613	6.480471758	0.003901373	0.029912172	"similar to uniprot|P40340 Saccharomyces cerevisiaeYGR270w YTA7 26S proteasome subunit"
"OG0003271"	"YALI1_A10254g"	-1.214589327	5.914482107	0.001084132	0.012721256	"similar to uniprot|P51601 Saccharomyces cerevisiaeYGR267c FOL2 GTP cyclohydrolase I"
"OG0003476"	"YALI1_E13428g"	-1.590782022	5.016279688	1.26133e-06	0.000110723	"similar to CAGL0F08481g Candida glabrata"
"OG0002552"	"YALI1_E18990g"	2.350499269	9.417426878	0.003230321	0.027175075	"similar to uniprot|P38865 Saccharomyces cerevisiaeYHR175w CTR2 copper transport protein"
"OG0001109"	"YALI1_E03449g"	-1.011769741	4.297343487	0.000716108	0.009681839	"weakly similar to uniprot|Q9Y705Schizosaccharomyces pombe SPBC365.15 Spindle pole bodycomponent alp4 (Altered polarity protein 4)"
"OG0002735"	"YALI1_D06195g"	-2.671494722	4.191688086	1.06276e-05	0.000510886	"similar to uniprot|P38929 Saccharomyces cerevisiaeYGL006w PMC1 Ca2+-transporting P-type ATPase"
"OG0000884"	"YALI1_E18854g"	-0.738367526	5.867264646	0.004189097	0.031056746	"some similarities with uniprot|P22336 Saccharomycescerevisiae YAR007c RFA1 DNA replication factor A 69 KDsubunit"
"OG0001758"	"YALI1_E28150g"	1.542233943	5.898530944	0.00046095	0.007050433	"no similarity"
"OG0003079"	"YALI1_E17162g"	-1.014359641	5.490948408	0.003124956	0.026598581	"similar to uniprot|P25578 Saccharomyces cerevisiaeYCL004w PEL1 phosphatidylglycerophosphate synthase"
"OG0002352"	"YALI1_E05907g"	-0.858239475	7.940608774	0.00567021	0.037699738	"similar to uniprot|P38707 Saccharomyces cerevisiaeYHR019c DED81 asparaginyl-tRNA-synthetase"
"OG0000842"	"YALI1_D26808g"	0.931181021	7.27127202	0.000520949	0.007752796	"similar to uniprot|O74999 Schizosaccharomyces pombePutative DNA excision repair protein"
"OG0001031"	"YALI1_C09552g"	-1.641672702	4.608341106	1.58989e-08	4.18695e-06	"weakly similar to uniprot|O01761 Caenorhabditiselegans Muscle M-line assembly protein unc-89(Uncoordinated protein 89)"
"OG0001685"	"YALI1_C15297g"	-1.342056948	5.049287569	0.001875371	0.018900367	"highly similar to uniprot|P06785 Saccharomycescerevisiae YOR074c CDC21 thymidylate synthase"
"OG0002329"	"YALI1_F35746g"	-1.446169593	5.327587051	0.000349487	0.005912969	"similar to uniprot|Q07015 Saccharomyces cerevisiaeYDR257c RMS1 transcriptional regulator"
"OG0000928"	"YALI1_F26860g"	-2.161009257	6.040931225	4.61958e-05	0.001449783	"similar to uniprot|P33753 Saccharomyces cerevisiaeYKR056w RNC1 tRNA(m5U54)methyltransferase"
"OG0002598"	"YALI1_E39057g"	-1.568349812	5.923424596	1.08379e-05	0.000516891	"similar to uniprot|P36022 Saccharomyces cerevisiaeYKR054c DYN1 dynein heavy chain cytosolic"
"OG0002724"	"YALI1_C15077g"	-0.903461311	4.144238026	0.001086031	0.012721256	"similar to uniprot|P16522 Saccharomyces cerevisiaeYHR166c CDC23 subunit of anaphase-promoting complex(cyclosome)"
"OG0001718"	"YALI1_B29662g"	-1.47456552	5.34295891	0.00020102	0.004004417	"weakly similar to uniprot|Q03660 Saccharomycescerevisiae YMR218c TRS130 TRAPP subunit of 130 kDainvolved in targeting and fusion of ER"
"OG0002956"	"YALI1_C21234g"	-1.187426987	6.977775871	0.000944009	0.011817763	"weakly similar to uniprot|P39112 Saccharomycescerevisiae YMR287C DSS1 3'-5' exoribonuclease, componentof the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p"
"OG0002678"	"YALI1_D34395g"	-1.151800158	6.274690665	9.36162e-06	0.000464782	"similar to uniprot|P32562 Saccharomyces cerevisiaeYMR001C Cell cycle protein kinase CDC5/MSD2 (EC 2.7.1.-)"
"OG0002935"	"YALI1_D34487g"	-0.918118314	6.734808772	0.001837796	0.018668758	"similar to uniprot|Q00313 Candida albicans DNAtopoisomerase I (EC 5.99.1.2)"
"OG0001206"	"YALI1_E18281g"	0.897577383	7.351252286	0.007305506	0.044651312	"weakly similar to uniprot|O94060 Candida albicansHypothetical transmembrane protein"
"OG0002482"	"YALI1_E05145g"	-0.886535956	4.302629517	0.000492902	0.007408212	"no similarity possibly noncoding"
"OG0001788"	"YALI1_E24174g"	1.235248483	6.765988327	0.00728599	0.04457701	"some similarities with uniprot|P38216 Saccharomycescerevisiae YBR016w"
"OG0000941"	"YALI1_F30520g"	-0.772799963	5.887504401	0.003704721	0.029122662	"weakly similar to uniprot|P06243 Saccharomycescerevisiae YDL017w CDC7 protein kinase P108.1.f3.4 Celldivision control protein 7"
"OG0002228"	"YALI1_F30479g"	1.191032242	7.343411929	3.53672e-05	0.001157942	"similar to uniprot|P32375 Saccharomyces cerevisiaeAllantoinase (EC 3.5.2.5) YIR027c DAL1"
"OG0001965"	"YALI1_E40422g"	-1.247416894	4.714636777	6.58378e-06	0.00036924	"some similarities with uniprot|P22209 Saccharomycescerevisiae YAR018c KIN3 ser/thr protein kinase"
"OG0000778"	"YALI1_F11553g"	-1.009209927	5.398949278	7.16931e-05	0.00199195	"some similarities with uniprot|P41892Schizosaccharomyces pombe 7 CDC7 OR SPBC21.06C gene Celldivision control protein"
"OG0003618"	"YALI1_F28064g"	1.167461566	6.514538707	0.003595924	0.028583346	"similar to uniprot|Q8TGF1 Aspergillus fumigatusCarnitine acetyl transferase"
"OG0000897"	"YALI1_F10900g"	-0.82672439	5.078779859	0.006156657	0.039883283	"some similarities with uniprot|P54199 Saccharomycescerevisiae YDL028c MPS1 serine/threonine/tyrosine proteinkinase"
"OG0001588"	"YALI1_B12057g"	0.864408175	7.221890337	0.007811633	0.046631641	"highly similar to uniprot|O93996 Candida albicansConserved hypothetical protein (CTA1P)"
"OG0001034"	"YALI1_C00913g"	-1.590060541	4.75679384	0.000802336	0.010541754	"similar to uniprot|P41411 Schizosaccharomyces pombeCell division control protein 18"
"OG0003514"	"YALI1_B19576g"	-1.399568316	6.55540399	0.002273469	0.021479332	"similar to uniprot|P25332 Saccharomyces cerevisiaeYCR036w RBK1 ribokinase"
"OG0002658"	"YALI1_E10013g"	2.083456513	8.612736845	0.002282777	0.021503548	"weakly similar to uniprot|P47139 Saccharomycescerevisiae YJR098c"
"OG0000795"	"YALI1_B23771g"	1.749692924	8.97243022	0.001794014	0.018417531	"similar to uniprot|P38636 Saccharomyces cerevisiaeYNL259c ATX1 antioxidant protein and metal homeostasisfactor"
"OG0002219"	"YALI1_B02465g"	-0.991205751	4.12793564	0.007285625	0.04457701	"similar to CA2749|IPF11465 Candida albicansIPF11465 unknown function"
"OG0002080"	"YALI1_C17238g"	1.012234439	7.895399721	0.003852325	0.029665372	"some similarities with uniprot|P53230 Saccharomycescerevisiae YGR046w similarity to proline transport helperPTH1 C. albicans"
"OG0000744"	"YALI1_E33485g"	-1.176601114	4.689001277	8.09918e-05	0.002142216	"similar to KLLA0C02277g Kluyveromyces lactis IPF6652.1"
"OG0001086"	"YALI1_B27837g"	-0.778652232	6.760809184	0.003533967	0.028164789	"weakly similar to uniprot|O42184 Gallus gallusRestin (Cytoplasmic linker protein-170) (CLIP-170)"
"OG0003432"	"YALI1_A15879g"	-1.371971421	7.233441942	0.001452815	0.015492426	"similar to uniprot|P00815 Saccharomyces cerevisiaeYCL030c HIS4 phosphoribosyl-AMPcyclohydrolase/phosphoribosyl-ATPpyrophosphatase/histidinol dehydrogenase"
"OG0001782"	"YALI1_C07077g"	1.295189705	6.81218449	0.000983384	0.012074067	"similar to uniprot|Q9ZS91 Arabidopsis thalianaT4B21.5 protein (Hypothetical protein)"
