"orthoList$OG_IDs[converted]"	"genes"	"logFC"	"logCPM"	"PValue"	"FDR"	"Portein_names"
"OG0001529"	"KMXK_0A00510"	-0.614973578	6.963974548	3.7045e-06	6.41011e-05	"nucleolar GTP-binding protein 1"
"OG0003067"	"KMXK_0A01630"	1.251029357	10.11566887	6.44682e-12	4.46212e-10	"protein MET17"
"OG0001524"	"KMXK_0A02050"	-0.52811165	5.871447376	3.262e-05	0.000390232	"diphthamide biosynthesis protein 2"
"OG0003543"	"KMXK_0A02980"	-0.745328881	5.150005147	0.000159713	0.001508398	"uncharacterized protein KLMA_10543"
"OG0002552"	"KMXK_0A03450"	-0.501588693	4.330000261	0.000231434	0.002049901	"rRNA-processing protein EFG1"
"OG0001183"	"KMXK_0A03540"	0.672484935	7.64699543	5.28361e-11	3.01166e-09	"uncharacterized protein KLMA_10486"
"OG0001706"	"KMXK_0A03990"	0.657520068	4.749777861	3.46448e-09	1.28133e-07	"histidinol-phosphatase"
"OG0001840"	"KMXK_0A04740"	-0.569674208	6.805178431	6.98646e-05	0.000748881	"rRNA-processing protein EBP2"
"OG0002985"	"KMXK_0A05010"	-0.729971942	4.88501033	1.27457e-07	3.48886e-06	"protein LAS1"
"OG0003183"	"KMXK_0A05180"	-0.531412181	5.829914035	1.70481e-06	3.21393e-05	"tRNA (uracil-5-)-methyltransferase"
"OG0002724"	"KMXK_0A05280"	-0.712473449	6.29710928	7.26223e-08	2.18544e-06	"protein SDA1"
"OG0001508"	"KMXK_0A05700"	-0.53512763	6.722968748	8.02406e-08	2.35615e-06	"U3 small nucleolar RNA-associated protein 5"
"OG0003042"	"KMXK_0A05970"	-0.562433564	5.418696287	0.001732385	0.010493889	"RNA 3\'-terminal phosphate cyclase-like protein"
"OG0003216"	"KMXK_0A06490"	-0.770125475	5.669953847	3.40022e-05	0.000402789	"ATP-dependent RNA helicase DBP9"
"OG0003546"	"KMXK_0A07230"	0.508694154	6.95764202	3.43865e-10	1.60195e-08	"protein NRD1"
"OG0003046"	"KMXK_0A07630"	0.975756133	9.507761212	1.3761e-12	1.14952e-10	"homoserine O-acetyltransferase"
"OG0001523"	"KMXK_0A08180"	-0.549344357	6.706507151	2.3401e-05	0.000297579	"adoMet-dependent rRNA methyltransferase SPB1"
"OG0003313"	"KMXK_0B00450"	0.628794236	8.723580463	2.57479e-12	1.91921e-10	"cytochrome c oxidase assembly protein COX15"
"OG0003264"	"KMXK_0B01380"	-0.546390106	6.23409356	1.24951e-05	0.000175117	"U3 small nucleolar RNA-associated protein 13"
"OG0002392"	"KMXK_0B01530"	-0.906971258	4.594414559	1.03952e-06	2.11617e-05	"ATP-dependent RNA helicase DBP7"
"OG0002461"	"KMXK_0B01860"	-0.551334506	5.809011342	0.000149186	0.001431298	"probable metalloprotease ARX1"
"OG0002641"	"KMXK_0B02060"	-0.696426362	5.603613739	4.69909e-05	0.000529467	"ribosome biogenesis protein NOP53"
"OG0002504"	"KMXK_0B02170"	-0.643577767	6.293894974	3.50056e-07	8.52271e-06	"multisubstrate pseudouridine synthase 7"
"OG0002258"	"KMXK_0B02290"	-0.592014432	5.752616078	0.009864361	0.040709393	"myb-like DNA-binding protein BAS1"
"OG0002907"	"KMXK_0B02480"	-0.523365638	5.496947665	2.93769e-05	0.000355828	"hypothetical protein KLMA_20233"
