"orthoList$OG_IDs[converted]"	"genes"	"logFC"	"logCPM"	"PValue"	"FDR"	"Portein_names"	"gene_names"	"Funcition"
"OG0001348"	"YBR166C"	0.674769675	7.340441674	9.34245e-06	3.98245e-05	"Prephenate dehydrogenase [NADP(+)] (PRDH) (EC 1.3.1.13)"	"ATP4 YPL078C LPF7C"	"FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a/ATP6 static relative to the rotary elements."
"OG0002378"	"YIR032C"	2.251554818	5.389182336	0.000263227	0.000807936	"Ureidoglycolate lyase (EC 4.3.2.3) (Degradation of allantoin protein 3) (Ureidoglycolatase) (Ureidoglycolate hydrolase)"	"KEL1 YHR158C"	"FUNCTION: Has a role in cell morphogenesis and cell fusion and may antagonize the PKC1 pathway."
"OG0000830"	"YBR171W"	0.587767156	8.010795202	0.000865656	0.002360846	"Translocation protein SEC66 (Protein HSS1) (Sec62/63 complex 31.5 kDa subunit)"	"ASP1 YDR321W D9798.6"	""
"OG0001134"	"YBR173C"	0.886739947	8.706404851	2.08611e-06	1.01506e-05	"Proteasome maturation factor UMP1"	"HUR1 YGL168W G1663"	""
"OG0001468"	"YPL104W"	-0.550087384	6.714996731	7.31675e-05	0.000254858	"Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)"	"TCD2 YKL027W"	"FUNCTION: Catalyzes the ATP-dependent dehydration of threonylcarbamoyladenosine at position 37 (t(6)A37) to form cyclic t(6)A37 (ct(6)A37) in tRNAs that read codons beginning with adenine. {ECO:0000269|PubMed:23242255}."
"OG0001446"	"YPL103C"	-0.566967951	6.297641982	0.025506458	0.046805906	"N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D, mitochondrial (NAPE-PLD) (NAPE-hydrolyzing phospholipase D) (EC 3.1.4.54) (Found in mitochondrial proteome protein 30)"	"MDR1 GYP2 MIC1 YGR100W G5717"	"FUNCTION: Stimulates specifically the GTPase activity of SEC4, YPT6 and YPT36. Inactivates YPT6 during recycling between the endosome and the Golgi compartments. {ECO:0000269|PubMed:10559187, ECO:0000269|PubMed:12807768, ECO:0000269|PubMed:15574876}."
"OG0002568"	"YPL099C"	-0.629417345	5.402525393	0.008764009	0.018379989	"Inner membrane assembly complex subunit 17 (Altered inheritance of mitochondria protein 43) (Found in mitochondrial proteome protein 14) (INA complex 17 kDa subunit)"	"ARG81 ARGR2 YML099C"	"FUNCTION: With ARG80, ARG82 and MCM1, coordinates the expression of arginine anabolic and catabolic genes in response to arginine. {ECO:0000269|PubMed:2274024, ECO:0000269|PubMed:3298999}."
"OG0001650"	"YPL097W"	-0.809122506	6.799965925	4.22214e-06	1.94736e-05	"Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)"	"YFR036W-A"	""
"OG0002626"	"YPL096W"	0.798031354	6.576530964	6.51183e-06	2.89047e-05	"Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (PNGase) (EC 3.5.1.52) (Peptide:N-glycanase 1) (yPNG1)"	"SGD1 YLR336C"	"FUNCTION: Involved in osmoregulatory glycerol response, probably through its interaction with PLC1 which regulates the expression of GDP1. {ECO:0000269|PubMed:11042259, ECO:0000269|PubMed:12073033}."
"OG0001795"	"YBR179C"	-0.516257777	7.222425517	5.04351e-05	0.000182105	"Mitofusin FZO1 (EC 3.6.5.-) (Transmembrane GTPase FZO1)"	"EPL1 YFL024C"	"FUNCTION: Component of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of selected genes principally by acetylation of nucleosomal histone H4 and H2A. The NuA4 complex is also involved in DNA repair. Involved in gene silencing by neighboring heterochromatin, blockage of the silencing spreading along the chromosome, and required for cell cycle progression through G2/M. {ECO:0000269|PubMed:10911987, ECO:0000269|PubMed:12782659, ECO:0000269|PubMed:14966276, ECO:0000269|PubMed:15045029}."
"OG0001561"	"YPL093W"	-1.268788389	8.73645902	0.002978275	0.007092997	"Nucleolar GTP-binding protein 1"	"UBP7 YIL156W"	"FUNCTION: Involved in the sorting of ubiquitinated cargo proteins at the multivesicular body (MVB). {ECO:0000269|PubMed:17079730}."
"OG0002164"	"YPL092W"	-2.441336502	6.195028103	5.09104e-19	1.16513e-17	"Sulfite efflux pump SSU1 (Sulfite sensitivity protein SSU1)"	"YEL053W-A"	""
"OG0003530"	"YPL091W"	-1.00952342	7.558307599	8.30584e-06	3.59402e-05	"Glutathione reductase (GR) (GRase) (EC 1.8.1.7)"	"LCL1 YPL056C"	""
"OG0002861"	"YBR182C"	0.692029333	4.879589261	0.001130482	0.002993565	"Transcription factor SMP1"	"MRPL7 YDR237W YD8419.04"	"FUNCTION: Component of the mitochondrial ribosome (mitoribosome), a dedicated translation machinery responsible for the synthesis of mitochondrial genome-encoded proteins, including at least some of the essential transmembrane subunits of the mitochondrial respiratory chain. The mitoribosomes are attached to the mitochondrial inner membrane and translation products are cotranslationally integrated into the membrane. {ECO:0000305|PubMed:24675956, ECO:0000305|PubMed:25609543}."
"OG0002371"	"YPL085W"	-1.270599966	7.287407022	6.00425e-17	1.1849e-15	"COPII coat assembly protein SEC16 (Protein transport protein SEC16)"	"YBR090C YBR0811B"	""
