NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C	Protein_name	ec_number	Coverage	MW
KMXK_0G03730	W0THY0	KLMA_80367	10.2372885	14.01212889	14.91688374	41.57122386	47.5352662	56.3177975	18.18752339	18.22966045	18.05363263	32.05621338	37.53456058	26.63114361	 Heat shock protein SSA3 - SSA3		63	"699,000,015,258,789"
KMXK_0E05880	W0TEK8	KLMA_50592	20.76337426	20.32631354	23.50661076	22.97130238	22.18818791	29.14893528	21.24784411	20.91983147	21.0014321	28.23688545	25.00878206	21.97441015	 Heat shock protein SSB - SSB		61	66
KMXK_0B04700	W0T5M8	KLMA_20459	17.74924544	13.8871789	21.14560576	13.46789929	7.885196957	10.89819101	17.50442716	16.30689176	17.45576898	25.09997763	25.65219962	20.49751298	 Heat shock protein SSA2 - SSA2		54	"69,5"
KMXK_0B07070	W0TAL8	KLMA_20691	4.3575038	3.438672659	4.955351035	9.120578688	7.167131739	7.723696181	4.228246882	3.539080137	4.876498271	3.32083702	4.713811698	4.056499459	 78 kDa glucose-regulated protein homolog - GRP78		35	"741,999,969,482,422"
KMXK_0G03150	W0TG45	KLMA_80306	17.1727889	52.81109791	67.67111352	125.31171	118.2608891	136.8475041	78.1084773	96.66284169	97.76107361	53.77347579	87.9566593	93.46762106	 Alcohol dehydrogenase 3 - ADH3		62	"397,000,007,629,394"
KMXK_0D01240	W0TBC6	KLMA_40102	34.09735488	41.02934669	35.53492141	78.8412464	59.87056958	79.14357499	38.0749735	47.81289882	52.37665814	34.87713353	45.11366098	40.83154315	 Alcohol dehydrogenase 1 - ADH1		69	37
KMXK_0B01710	W0T723	KLMA_20158	6.730746139	13.44484118	15.42911186	28.08619292	29.05788876	38.7304103	8.909257797	19.38187006	18.47823681	9.518239977	19.58815987	19.18156518	 Alcohol dehydrogenase 4 - ADH4b		39	"414,000,015,258,789"
KMXK_0F03070	W0THG5	KLMA_60268	9.31831768	11.31633584	20.47228779	18.61235848	10.24634796	16.94200354	16.55488372	15.37004534	23.86952035	20.74597065	12.50488191	23.98109061	 Uncharacterized protein YNL134C - KLMA_60268		55	40
KMXK_0D02430	W0TDP8	KLMA_40220	13.69073393	7.191705481	4.363523809	8.763695924	10.16409523	8.797301631	1.527265063	4.218547365	5.28109337	3.190894663	5.104908958	3.897771073	 Alcohol dehydrogenase 2 - ADH2		60	"369,000,015,258,789"
KMXK_0E00190	W0TCX8	KLMA_50012	31.72880021	90.26224784	107.3469722	161.3724858	179.1629934	210.3946746	119.7933787	111.3607872	88.29116429	96.81985646	111.992033	107.8920244	 Potassium-activated aldehyde dehydrogenase - ALD4		81	"564,000,015,258,789"
