GeneName_CENPK	uniprotID_S288c	GeneName_S288C	Standard _A	Standard _B	Standard _C	High_temperature_A	High_temperature_B	High_temperature_C	Low_pH_A	Low_pH_B	Low_pH_C	Osmotic_stress _A	Osmotic_stress _B	Osmotic_stress _C	uniprotID_CENPK	Protein_name	Coverage	MW
CENPK1137D_3157	P00359	YGR192C	173.8128676	258.7764927	249.8951847	204.0077138	242.3118824	187.795677	240.9998524	290.6152821	222.8416779	296.551797	357.2309559	417.2723331	N1P2H7	Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3	89	"355,999,984,741,211"
CENPK1137D_1304	P00358	YJR009C	77.85750039	104.7838955	94.84895595	98.26150253	100.6074518	111.5447375	125.3173214	128.6844956	87.57458211	154.2303765	166.8900193	202.9997166	N1P004	Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2	87	"357,000,007,629,395"
CENPK1137D_1249	P00360	YJL052W	42.17362054	60.67609029	55.5362007	55.36333583	51.54861205	54.73934613	67.41688997	73.02473219	52.60006111	60.53297913	70.28313473	55.58006443	N1NZW1	Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1	85	"355,999,984,741,211"
CENPK1137D_2389	P46367	YOR374W	126.9086482	123.8049244	115.5485313	105.947265	130.7674206	122.0712629	114.4416535	135.6225695	117.9771021	106.2977158	95.6831836	94.96972279	N1NZ13	"Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"	83	"565,999,984,741,211"
CENPK1137D_3481	P40047	YER073W	6.070976479	6.099043536	4.447555133	2.463803474	3.586182558	3.47845844	5.063281886	6.820659081	4.934576815	2.359868786	1.378179718	2.320642936	N1P4W5	"Aldehyde dehydrogenase 5, mitochondrial - ALD5"	50	"565,999,984,741,211"
CENPK1137D_4664	P02994	YPR080W	146.2626143	158.0196679	173.3370902	137.1246349	168.2953107	147.2748008	139.8006989	148.6547938	128.5417017	122.5084502	154.2042817	139.0345101	N1P8G0	Elongation factor 1-alpha - TEF1	68	"499,000,015,258,789"
CENPK1137D_1888	P19097	YPL231W	12.55802281	11.55488554	12.86382313	9.69332206	10.56054341	9.156491723	9.41926395	10.70016025	12.54522264	12.40113222	11.81400849	10.31411324	N1NWL3	Fatty acid synthase subunit alpha - FAS2	65	"206,600,006,103,516"
CENPK1137D_1503	P07259	YJL130C	5.080837125	4.833186775	5.836336055	4.804028159	4.919865338	4.917528567	3.303670354	4.136763795	5.201234789	4.255670426	4.477457536	4.172976131	N1P1J1	Protein URA2 - URA2	55	"244,699,996,948,242"
CENPK1137D_1403	P03965	YJR109C	4.606824787	4.478392371	4.253501963	2.759389873	2.433543629	2.261278952	2.275051977	2.792666633	3.388343036	1.727331485	1.571067339	2.18638258	N1P185	Carbamoyl-phosphate synthase arginine-specific large chain - CPA2	49	"123,699,996,948,242"
CENPK1137D_4509	P00560	YCR012W	85.99931962	104.7838955	84.80853487	101.3038318	90.24239926	90.89158276	93.83979938	91.06981437	85.43130908	132.8703601	138.0642977	150.900146	N1P832	Phosphoglycerate kinase - PGK1	83	"445,999,984,741,211"
CENPK1137D_1128	P07149	YKL182W	10.5531462	7.900609435	7.9778266	6.72361265	7.978526686	7.468397198	6.301259055	6.342722035	8.280446881	8.839234769	8.425355749	6.993985289	N1P0M8	Fatty acid synthase subunit beta - FAS1	61	"228,399,993,896,484"
CENPK1137D_3503	P05694	YER091C	42.19905113	40.57020651	33.23913904	22.33552285	27.3683519	25.11568358	34.25724046	34.20146096	34.2736008	27.05191014	26.41923889	24.49182897	N1PA49	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase - MET6	79	"856,999,969,482,422"
CENPK1137D_3329	P04806	YFR053C	23.81370746	25.37795951	18.50615977	23.79827952	29.78559506	27.95284373	26.97532452	31.44522739	31.17255797	28.11378701	29.57895582	29.55606405	N1P4S9	Hexokinase-1 - HXK1	86	"535,999,984,741,211"
