"prot"	"anaerobic_A"	"anaerobic_B"	"anaerobic_C"	"high_temp_A"	"high_temp_B"	"high_temp_C"	"low_pH_A"	"low_pH_B"	"low_pH_C"	"osmotic_stress_A"	"osmotic_stress_B"	"osmotic_stress_C"	"standard_A"	"standard_B"	"standard_C"	"Top.Protein.Description"	"ChassyID"	"uniprotID_CENPK"	"GeneName_CENPK"	"uniprotID_S288c"	"GeneName_S288C"	"Protein_name"
"a1.a1.a1"	937.475971605662	866.951313197889	909.54764092752	2376.96129356707	2386.74138380343	2372.14471889052	2535.11594911775	2560.18010230747	2492.82581523783	2257.79686881028	2447.37094199833	2174.90078429523	2568.55194642761	2533.40787109663	2478.11352459883	"Chassy_SC_4750;N1NZ13;P46367; Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"	"Chassy_SC_4750"	"N1NZ13"	"CENPK1137D_2389"	"P46367"	"YOR374W"	" Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"
"a1.a2.a1"	734.082824369668	808.177839621376	818.282270804465	741.583222911331	731.42215173894	773.197773660644	708.452277488511	799.083718227499	879.510096239493	1331.46406704626	1318.52290758509	1364.7798849693	931.322906893016	854.267841955185	884.805850774459	"Chassy_SC_3254;N1NX93;P54115; Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"	"Chassy_SC_3254"	"N1NX93"	"CENPK1137D_1639"	"P54115"	"YPL061W"	" Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"
"a1.a3.a1"	204.180930723397	220.746209912158	199.475585004262	198.069603011962	211.82022939657	176.265976828077	232.367820955119	227.239769871352	168.040974105247	132.88401384352	92.4859602332564	124.943647833883	201.629459083629	271.974902291985	265.569437292747	"Chassy_SC_2256;N1P4W5;P40047; Aldehyde dehydrogenase 5, mitochondrial - ALD5"	"Chassy_SC_2256"	"N1P4W5"	"CENPK1137D_3481"	"P40047"	"YER073W"	" Aldehyde dehydrogenase 5, mitochondrial - ALD5"
"a2.a1.a1"	4323.23024765757	4630.78702504966	4951.27451088233	3173.13778476096	3310.09661964471	3136.51672371034	3069.93776123473	3336.45426011098	3756.90308887329	4076.71770912508	4022.12903228232	4064.17705927401	3125.05445413298	3249.40866580788	3350.81149208348	"Chassy_SC_64;N1P2H7;P00359; Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3"	"Chassy_SC_64"	"N1P2H7"	"CENPK1137D_3157"	"P00359"	"YGR192C"	" Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3"
"a2.a2.a1"	3633.24173729404	3723.64414113648	4071.00498918116	2385.31382078632	2260.70098618767	2442.95070431212	2367.05018455421	2384.02191401674	2683.68310651766	3331.08437379963	3376.07727950125	3210.57872998232	2256.63339967177	2284.07423368677	2119.66390965857	"Chassy_SC_273;N1P004;P00358; Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2"	"Chassy_SC_273"	"N1P004"	"CENPK1137D_1304"	"P00358"	"YJR009C"	" Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2"
"a2.a3.a1"	1764.38972457838	1613.13197744898	1834.73250645982	1189.69896454351	1304.70206589888	1139.46973701166	1101.20490742756	1237.23188933609	1436.85791562933	1431.1224255547	1406.19618607578	1333.49033130882	1143.52270180713	1244.11734501147	1076.88087174217	"Chassy_SC_595;N1NZW1;P00360; Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1"	"Chassy_SC_595"	"N1NZW1"	"CENPK1137D_1249"	"P00360"	"YJL052W"	" Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1"
"a3.a1.a1"	1954.36424114421	2027.10849168659	1981.33713337354	1876.8714569558	1971.0077165865	1864.73018845738	1838.53798837047	1996.02016560086	2067.43967033712	1867.24553212573	1913.31331509418	2045.14985623748	2078.80656507869	2200.25396815016	2021.08190333571	"Chassy_SC_4763;N1P8G0;P02994; Elongation factor 1-alpha - TEF1"	"Chassy_SC_4763"	"N1P8G0"	"CENPK1137D_4664"	"P02994"	"YPR080W"	" YBR118W"
"a4.a1.a1"	2430.01006553296	2273.11223940653	2358.30810706676	1659.08975608882	1678.50957419261	1781.31404055224	1499.16010844688	1617.19261575941	1716.70650397037	2049.59309368492	2099.99942851097	2011.21175512355	1739.30964122476	1582.9253971577	1498.2776652396	"Chassy_SC_3041;N1P832;P00560; Phosphoglycerate kinase - PGK1"	"Chassy_SC_3041"	"N1P832"	"CENPK1137D_4509"	"P00560"	"YCR012W"	" Phosphoglycerate kinase - PGK1"
"a5.a1.a1"	1370.96232788025	1651.52969611261	1692.97182582739	1231.45846256342	1692.62916863801	1142.84534158877	1015.80856828582	1242.68099957722	1665.76676081331	1526.17525120425	1353.49674012884	1535.31234686429	1662.41905371366	1477.74590822232	1515.04404677527	"Chassy_SC_5336;N1P439;P00924; Enolase 1 - ENO1"	"Chassy_SC_5336"	"N1P439"	"CENPK1137D_3221"	"P00924"	"YGR254W"	" Enolase 1 - ENO1"
"a5.a2.a1"	149.27317647959	125.728288946935	108.111409416618	163.691741066085	134.42197035619	128.865032465003	114.881993325894	103.344548073025	138.875017687936	143.017041070012	127.766708470428	165.044937039535	95.5171280728274	115.17830123077	178.819162289202	"Chassy_SC_5072;N1P336;P38689; Ribose-phosphate pyrophosphokinase 3 - PRS3"	"Chassy_SC_5072"	"N1P336"	"CENPK1137D_5376"	"P38689"	"YHL011C"	" Ribose-phosphate pyrophosphokinase 3 - PRS3"
"a5.a3.a1"	87.7893715864042	56.778910790942	89.9018112466185	146.086469245893	145.570469685399	75.7870937456132	77.8351739985683	85.9378497085807	94.0909959242357	107.962964260894	92.2254635023311	116.944557847394	64.7150355608975	67.7377605535269	78.6929211750925	"Chassy_SC_3651;N1P9M4;P38063; Ribose-phosphate pyrophosphokinase 4 - PRS4"	"Chassy_SC_3651"	"N1P9M4"	"CENPK1137D_4810"	"P38063"	"YBL068W"	" Ribose-phosphate pyrophosphokinase 4 - PRS4"
"a5.a4.a1"	68.9671935863912	75.6484264213636	57.5434744799435	103.002444825718	93.1753264057873	77.5357479877089	79.6310840997487	55.0062606414166	50.9424105838822	58.452922080452	59.0307751518962	71.5737519849427	50.8400311430162	36.674336117444	65.5948012627591	"Chassy_SC_1368;N1P3H7;P38620; Ribose-phosphate pyrophosphokinase 2 - PRS2"	"Chassy_SC_1368"	"N1P3H7"	"CENPK1137D_3512"	"P38620"	"YER099C"	" Ribose-phosphate pyrophosphokinase 2 - PRS2"
"a6.a1.a1"	354.256980880968	321.132824045381	303.107447751926	721.894477529325	635.190992386208	759.775089376983	698.672508998209	695.295471078933	643.927199409508	653.613725134422	674.490173552162	574.134818098987	624.171705416889	608.035014102018	654.92266895228	"Chassy_SC_5025;N1P731;P22202; Heat shock protein SSA4 - SSA4"	"Chassy_SC_5025"	"N1P731"	"CENPK1137D_3515"	"P22202"	"YER103W"	" Heat shock protein SSA4 - SSA4"
"a6.a2.a1"	359.682359953245	295.423953774562	300.104609518857	662.59256743375	599.37682886216	687.916249604812	684.362504415565	734.358391009426	649.732004008062	438.675723245454	465.148998385155	398.672016744272	562.855355988654	576.254248835776	594.105405192733	"Chassy_SC_4931;N1P8N4;P09435; Heat shock protein SSA3 - SSA3"	"Chassy_SC_4931"	"N1P8N4"	"CENPK1137D_4754"	"P09435"	"YBL075C"	" Heat shock protein SSA3 - SSA3"
"a6.a3.a1"	335.134332850327	374.625811745883	357.177452949344	410.402768467763	400.529906061339	369.559032852238	342.307688788025	301.192365448349	340.827431913258	327.224917136296	344.879461756911	300.939716212593	303.218119160086	310.899693747196	318.746766636338	"Chassy_SC_244;N1P0X7;P16474; 78 kDa glucose-regulated protein homolog - KAR2"	"Chassy_SC_244"	"N1P0X7"	"CENPK1137D_1268"	"P16474"	"YJL034W"	" 78 kDa glucose-regulated protein homolog - KAR2"
"a7.a1.a1"	342.518989765989	337.477818153044	316.509429852342	321.484697901043	365.981187996405	293.028328488285	390.137394716536	398.768622505372	410.937376867962	395.8825514539	384.36849016008	400.808830358733	420.980930212859	445.187683979286	408.467581535802	"Chassy_SC_3878;N1NWL3;P19097; Fatty acid synthase subunit alpha - FAS2"	"Chassy_SC_3878"	"N1NWL3"	"CENPK1137D_1888"	"P19097"	"YPL231W"	" Fatty acid synthase subunit alpha - FAS2"
