"prot"	"HighTemp_A"	"HighTemp_B"	"HighTemp_C"	"LowpH_A"	"LowpH_B"	"LowpH_C"	"OsmoticStress_A"	"OsmoticStress_B"	"OsmoticStress_C"	"standard_A"	"standard_B"	"standard_C"	"Top.Protein.Description"	"ChassyID"	"NCBI_CBS6556"	"Uniprot_DMKU3_1042"	"Gene_name_DMKU3_1042"	"Protein_name"	"ec_number"
"a1.a1.a1"	218147.49991152	210528.658958646	157075.056465517	102565.842921262	254819.661007054	69374.3882852395	66783.065106769	132139.065676382	142441.918530773	2064.34269316479	94843.943648729	77381.6471218377	"Chassy_KM_4545;KMXK_0G03150;W0TG45; Alcohol dehydrogenase 3 - ADH3"	"Chassy_KM_4545"	"KMXK_0G03150"	"W0TG45"	"KLMA_80306"	" Alcohol dehydrogenase 3 - ADH3"	""
"a1.a2.a1"	101834.428988321	35921.9909555861	25088.4160151267	32021.0856788566	48942.4836631634	20030.6030277275	18373.2394349541	18746.5537440931	20505.5968953146	18912.388983286	49401.0544353321	6322.31082404566	"Chassy_KM_2506;KMXK_0D01240;W0TBC6; Alcohol dehydrogenase 1 - ADH1"	"Chassy_KM_2506"	"KMXK_0D01240"	"W0TBC6"	"KLMA_40102"	" Alcohol dehydrogenase 1 - ADH1"	""
"a1.a4.a1"	740.047541281987	272.339550337727	171.841211678704	2290.11095066803	1214.56884209727	2443.37638617353	1518.76519132091	224.724957525028	1563.59461832175	462.418440516771	1059.43385420392	1351.74134197674	"Chassy_KM_3961;KMXK_0F03070;W0THG5; Uncharacterized protein YNL134C - KLMA_60268"	"Chassy_KM_3961"	"KMXK_0F03070"	"W0THG5"	"KLMA_60268"	" Uncharacterized protein YNL134C - KLMA_60268"	""
"a1.a5.a1"	NA	NA	NA	5.13967655754845	0.109737841907359	5.0178403060897	NA	NA	NA	1481.37041579068	1.28720106449084	NA	"Chassy_KM_2625;KMXK_0D02430;W0TDP8; Alcohol dehydrogenase 2 - ADH2"	"Chassy_KM_2625"	"KMXK_0D02430"	"W0TDP8"	"KLMA_40220"	" Alcohol dehydrogenase 2 - ADH2"	""
"a2.a1.a1"	165441.256238269	142801.353826377	116344.073345832	233500.153743092	194167.130396459	139695.026001508	187032.047772769	262741.841982255	229589.612362559	377733.835548618	260250.982806776	292320.213809908	"Chassy_KM_4298;KMXK_0G00680;W0TG93; Glyceraldehyde-3-phosphate dehydrogenase - GAP3"	"Chassy_KM_4298"	"KMXK_0G00680"	"W0TG93"	"KLMA_80059"	" Glyceraldehyde-3-phosphate dehydrogenase - GAP3"	"1.2.1.12"
"a2.a2.a1"	62806.7279856794	23552.3411568895	11064.1638591974	16664.0795958205	14685.1115097501	7077.61800329896	2174.7994994648	4592.31601498477	3156.6910016073	8048.2290566033	14350.3792045843	7738.90427643941	"Chassy_KM_2624;KMXK_0D02420;W0T9E0; Glyceraldehyde-3-phosphate dehydrogenase - GAP1"	"Chassy_KM_2624"	"KMXK_0D02420"	"W0T9E0"	"KLMA_40218"	" Glyceraldehyde-3-phosphate dehydrogenase - GAP1"	"1.2.1.12"
"a3.a1.a1"	75454.8147814041	51036.7101807908	38843.8069116498	34083.4069838138	48597.209134725	30184.5096493566	24344.3244849044	37488.1933065094	33385.8597893839	6047.88622672673	53762.6513630315	43092.4029315167	"Chassy_KM_3051;KMXK_0E00190;W0TCX8; Potassium-activated aldehyde dehydrogenase - ALD4"	"Chassy_KM_3051"	"KMXK_0E00190"	"W0TCX8"	"KLMA_50012"	" Potassium-activated aldehyde dehydrogenase - ALD4"	""
"a4.a1.a1"	40719.6496640579	34955.9767755497	26481.270085287	63377.3983074765	62068.5428924877	48447.7805698258	86832.8918204012	61394.3396252643	47303.4758960224	96713.4385642671	80641.9927715043	64966.4462764876	"Chassy_KM_3619;KMXK_0E05880;W0TEK8; Heat shock protein SSB - SSB"	"Chassy_KM_3619"	"KMXK_0E05880"	"W0TEK8"	"KLMA_50592"	" Heat shock protein SSB - SSB"	""
"a4.a2.a1"	18147.4860787169	23049.54045047	14877.9156702044	1879.19979434144	4776.57405926554	987.531055460827	8501.23662248713	13289.8447848314	7569.23759169747	2241.58996235892	2152.08154392129	1530.61748636884	"Chassy_KM_4603;KMXK_0G03730;W0THY0; Heat shock protein SSA3 - SSA3"	"Chassy_KM_4603"	"KMXK_0G03730"	"W0THY0"	"KLMA_80367"	" Heat shock protein SSA3 - SSA3"	""
"a4.a3.a1"	9.85805118706595	0.895365621834128	1.57173950119444	838.136287096737	470.960153975261	682.632925218613	1168.0135915527	1003.88597911155	464.352415794689	1770.73528432984	1011.10543456296	2199.51982072348	"Chassy_KM_1288;KMXK_0B04700;W0T5M8; Heat shock protein SSA2 - SSA2"	"Chassy_KM_1288"	"KMXK_0B04700"	"W0T5M8"	"KLMA_20459"	" Heat shock protein SSA2 - SSA2"	""
"a4.a4.a1"	584.121000688062	304.002893635919	197.660644181332	125.50356408507	217.694564560477	30.7384999452607	118.529761787821	180.946768385049	127.394510912345	184.15699080667	163.313358155971	261.991357462927	"Chassy_KM_1525;KMXK_0B07070;W0TAL8; 78 kDa glucose-regulated protein homolog - GRP78"	"Chassy_KM_1525"	"KMXK_0B07070"	"W0TAL8"	"KLMA_20691"	" 78 kDa glucose-regulated protein homolog - GRP78"	""
"a5.a1.a1"	45692.0404159198	37790.5639325443	24212.2027324385	41484.0204487152	49590.8045924086	34456.9146561774	61644.0107160839	81613.3618318104	64330.2241780965	59669.6746247765	57129.4520765265	76444.739825806	"Chassy_KM_4548;KMXK_0G03180;W0TGV8; Elongation factor 1-alpha - TEF"	"Chassy_KM_4548"	"KMXK_0G03180"	"W0TGV8"	"KLMA_80309"	" Elongation factor 1-alpha - TEF"	""
"a6.a1.a1"	578235.380557414	499800.567406956	263715.645453702	419325.831049599	469712.953728329	208783.211739035	396747.684196744	250396.691572079	395486.845678977	379714.420315633	498315.813442933	271415.551011555	"Chassy_KM_365;KMXK_0A03750;W0T7K9; Enolase - ENO"	"Chassy_KM_365"	"KMXK_0A03750"	"W0T7K9"	"KLMA_10462"	" Enolase - ENO"	""
"a7.a1.a1"	24717.6242046524	41913.5000869428	36911.1280261364	54034.9506064017	56029.8826137459	27792.4139884625	55962.2006742579	124579.115894372	105408.08891125	9675.48611624412	68264.4910629	73824.6247595364	"Chassy_KM_5080;KMXK_0H04250;W0TJE4; Peroxisomal hydratase-dehydrogenase-epimerase - FOX2"	"Chassy_KM_5080"	"KMXK_0H04250"	"W0TJE4"	"KLMA_70426"	" Peroxisomal hydratase-dehydrogenase-epimerase - FOX2"	""
"a8.a1.a1"	18823.4963291347	6974.65051825561	3654.7666084662	29959.2139866694	26826.7552971201	24400.1002099772	17942.9174407437	30936.0072877858	17551.1467751865	42111.7333639194	36575.503705827	46249.7075365201	"Chassy_KM_1961;KMXK_0C03060;W0T7K6; Aconitate hydratase, mitochondrial - ACO2b"	"Chassy_KM_1961"	"KMXK_0C03060"	"W0T7K6"	"KLMA_30312"	" Aconitate hydratase, mitochondrial - ACO2b"	"4.2.1.-"
