genes	logFC	logCPM	PValue	FDR	Portein_names	gene_names	Funcition
YPL198W	-4.131896769	6.997804774	5.385E-145	3.2412E-141	60S ribosomal protein L7-B (L6) (Large ribosomal subunit protein uL30-B) (RP11) (YL8)	ADE17 YMR120C YM8564.02C	
YPR043W	-5.114938841	5.571679987	9.6068E-132	2.8912E-128	60S ribosomal protein L43-A (L37a) (Large ribosomal subunit protein eL43-A) (YL35)	RPL43A YPR043W YP9499.02	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
YDR399W	-4.106748897	8.58832655	6.8902E-131	1.3824E-127	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8) (Bypass of repression by adenine protein 6)	RPL39 RPL46 SPB2 YJL189W J0360	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
YMR120C	-5.554065829	10.35557231	2.6253E-126	3.9505E-123	Bifunctional purine biosynthesis protein ADE17 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	RPL8A MAK7 RPL4A YHL033C	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
YLR058C	-4.164205137	10.48457843	2.56351E-89	3.08595E-86	"Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)"	YPL197C P1895	
YBL098W	-2.683775068	6.844168244	1.17207E-84	1.17579E-81	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Biosynthesis of nicotinic acid protein 4) (Kynurenine 3-hydroxylase)	SHM2 SHMT2 YLR058C L2156	FUNCTION: Interconversion of serine and glycine.
YGL103W	-3.240867718	6.96144894	2.21061E-83	1.90081E-80	60S ribosomal protein L28 (L27a) (L29) (Large ribosomal subunit protein uL15) (RP44) (RP62) (YL24)	RPL7B RPL6B YL8B YPL198W	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
YFL034C-A	-3.283354287	7.240688712	2.13422E-78	1.60573E-75	60S ribosomal protein L22-B (L1c) (Large ribosomal subunit protein eL22-B) (RP4) (YL31)	HPT1 BRA6 YDR399W D9509.18	"FUNCTION: Converts guanine to guanosine monophosphate, and hypoxanthine to inosine monophosphate. Transfers the 5-phosphoribosyl group from 5-phosphoribosylpyrophosphate onto the purine. Plays a central role in the generation of purine nucleotides through the purine salvage pathway. {ECO:0000269|PubMed:11035032, ECO:0000269|PubMed:18245832, ECO:0000269|PubMed:371963, ECO:0000269|PubMed:6170313, ECO:0000269|PubMed:6392474, ECO:0000269|PubMed:7035445, ECO:0000269|PubMed:9335580}."
YLR367W	-3.936320005	7.584883554	1.18643E-75	7.93459E-73	40S ribosomal protein S22-B (RP50) (S24) (Small ribosomal subunit protein uS8-B) (YP58) (YS22)		
YPL143W	-3.539258726	5.489724623	2.3402E-74	1.40857E-71	60S ribosomal protein L33-A (L37) (Large ribosomal subunit protein eL33-A) (RP47) (YL37)	RPS22B RPS24B YLR367W L8039.6	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
YBR067C	3.008540821	8.493365746	7.07258E-73	3.86999E-70	Temperature shock-inducible protein 1 (EC 3.1.1.-)	RPL31B RPL34 RPL34B YLR406C	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
YDR471W	-2.924452537	8.950632598	5.86307E-70	2.94082E-67	60S ribosomal protein L27-B (Large ribosomal subunit protein eL27-B)	YKL030W YKL243	
YIL133C	-3.810167438	8.829136768	1.81949E-69	8.42424E-67	60S ribosomal protein L16-A (L13a) (L21) (Large ribosomal subunit protein uL13-A) (RP22) (YL15)	RPL18A RP28A YOL120C	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}."
YIL069C	-3.078773685	8.497340113	9.98684E-68	4.29363E-65	40S ribosomal protein S24-B (RP50) (Small ribosomal subunit protein eS24-B)	GCV2 GSD2 YMR189W YM9646.01	FUNCTION: The glycine cleavage system (glycine decarboxylase complex) catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor; CO(2) is released and the remaining methylamine moiety is then transferred to the lipoamide cofactor of the H protein.
YLR029C	-2.849957858	10.11108392	6.12294E-66	2.45693E-63	60S ribosomal protein L15-A (L13) (Large ribosomal subunit protein eL15-A) (RP15R) (YL10) (YP18)		
