"prot"	"anaerobic_A"	"anaerobic_B"	"anaerobic_C"	"high_temp_A"	"high_temp_B"	"high_temp_C"	"low_pH_A"	"low_pH_B"	"low_pH_C"	"osmotic_stress_A"	"osmotic_stress_B"	"osmotic_stress_C"	"standard_A"	"standard_B"	"standard_C"	"Top.Protein.Description"	"ChassyID"	"uniprotID_CENPK"	"GeneName_CENPK"	"uniprotID_S288c"	"GeneName_S288C"	"Protein_name"
"a1.a1.a1"	743.398424835211	894.401162478597	955.932140839176	2377.85438497817	2614.79809531664	1774.69639650755	2259.9891167609	3014.4810458958	3042.42960659414	2957.74788091432	2308.43275072278	2491.00934035491	3910.46456734726	3488.46710077252	3497.36320076998	"Chassy_SC_4750;N1NZ13;P46367; Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"	"Chassy_SC_4750"	"N1NZ13"	"CENPK1137D_2389"	"P46367"	"YOR374W"	" Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"
"a1.a2.a1"	576.793281840845	830.27753320463	859.483958755596	777.979645974166	845.516174253408	602.756711162995	650.92332954841	886.847373368246	993.241557786676	1608.23326577025	1239.61017188152	1491.7364100529	1287.15720869082	1083.95042871384	1158.3398487902	"Chassy_SC_3254;N1NX93;P54115; Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"	"Chassy_SC_3254"	"N1NX93"	"CENPK1137D_1639"	"P54115"	"YPL061W"	" Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"
"a1.a3.a1"	152.909052642955	209.865037812454	207.807160382605	219.293289830249	259.034451027374	145.073255974874	219.209316174129	236.593014662005	167.751224909459	112.626308137668	85.7378833742709	107.43755073695	240.836819487514	316.630599949738	318.444603373413	"Chassy_SC_2256;N1P4W5;P40047; Aldehyde dehydrogenase 5, mitochondrial - ALD5"	"Chassy_SC_2256"	"N1P4W5"	"CENPK1137D_3481"	"P40047"	"YER073W"	" Aldehyde dehydrogenase 5, mitochondrial - ALD5"
"a2.a1.a1"	3630.65315161653	5280.33982124241	5255.29218493106	3137.12294052201	3572.93029596018	2322.62052828575	2724.39215508655	3981.70676830486	4727.51175278965	5848.38077652399	3803.76771832794	4956.25999198691	4847.50439201937	4558.9572749382	4834.24824567757	"Chassy_SC_64;N1P2H7;P00359; Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3"	"Chassy_SC_64"	"N1P2H7"	"CENPK1137D_3157"	"P00359"	"YGR192C"	" Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3"
"a2.a2.a1"	3031.35339579626	4191.01084632435	4316.0577081521	2385.86846598543	2482.82284247981	1825.69729298698	2113.5931340953	2796.91768806209	3293.42105057045	4632.60719355031	3189.83615271181	3823.76394754262	3393.43795013616	3120.72160418798	2957.57749746666	"Chassy_SC_273;N1P004;P00358; Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2"	"Chassy_SC_273"	"N1P004"	"CENPK1137D_1304"	"P00358"	"YJR009C"	" Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2"
"a2.a3.a1"	1432.72658910892	1727.10035581482	1936.18154278545	1224.243121248	1469.10641877116	875.735846815802	1001.27067941038	1403.94923020406	1683.11014676945	1747.89409464419	1322.48624699145	1454.14814097733	1611.66861527495	1623.89651964176	1430.14577201938	"Chassy_SC_595;N1NZW1;P00360; Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1"	"Chassy_SC_595"	"N1NZW1"	"CENPK1137D_1249"	"P00360"	"YJL052W"	" Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1"
"a3.a1.a1"	1593.09288707232	2200.14428239304	2091.82713849357	1895.7648592312	2178.18588452108	1407.45724458267	1651.52417288379	2320.68312925652	2488.32097925783	2375.73663960335	1802.34671415344	2327.98692139734	3101.65976947498	2997.75531099854	2810.24428660908	"Chassy_SC_4763;N1P8G0;P02994; Elongation factor 1-alpha - TEF1"	"Chassy_SC_4763"	"N1P8G0"	"CENPK1137D_4664"	"P02994"	"YPR080W"	" YBR118W"
"a4.a1.a1"	1997.07416968512	2484.08631018975	2492.34247317714	1684.24743770177	1868.52107953809	1346.75680484271	1353.19030949592	1860.24409302128	2037.76208797811	2645.36141576693	1979.17941361459	2285.51458183774	2551.37084987846	2103.90357594562	2038.30289662934	"Chassy_SC_3041;N1P832;P00560; Phosphoglycerate kinase - PGK1"	"Chassy_SC_3041"	"N1P832"	"CENPK1137D_4509"	"P00560"	"YCR012W"	" Phosphoglycerate kinase - PGK1"
"a5.a1.a1"	1102.7627436739	1770.69752125687	1785.74736965047	1265.43221033277	1883.52253724886	878.234803922396	925.391118353179	1410.44741410813	1972.8625001866	1882.50349091849	1272.6669592538	1698.07552462794	2428.09080264772	1953.97456295423	2062.78645559838	"Chassy_SC_5336;N1P439;P00924; Enolase 1 - ENO1"	"Chassy_SC_5336"	"N1P439"	"CENPK1137D_3221"	"P00924"	"YGR254W"	" Enolase 1 - ENO1"
"a5.a2.a1"	110.482710397059	115.578252140323	112.226583174974	182.647250731587	167.813713125018	107.286901496722	110.199325211105	103.376921138389	136.680145335234	122.591654324329	118.646942224512	145.939882074235	106.2460260291	125.696799000121	208.323631770514	"Chassy_SC_5072;N1P336;P38689; Ribose-phosphate pyrophosphokinase 3 - PRS3"	"Chassy_SC_5072"	"N1P336"	"CENPK1137D_5376"	"P38689"	"YHL011C"	" Ribose-phosphate pyrophosphokinase 3 - PRS3"
