"prot"	"anaerobic_A"	"anaerobic_B"	"anaerobic_C"	"high_temp_A"	"high_temp_B"	"high_temp_C"	"low_pH_A"	"low_pH_B"	"low_pH_C"	"osmotic_stress_A"	"osmotic_stress_B"	"osmotic_stress_C"	"standard_A"	"standard_B"	"standard_C"	"Top.Protein.Description"	"ChassyID"	"uniprotID_CENPK"	"GeneName_CENPK"	"uniprotID_S288c"	"GeneName_S288C"	"Protein_name"
"a1.a1.a1"	84932.7655011439	96967.3045419176	96639.947994099	587474.765234333	737065.872069679	478137.286051055	508260.752221459	572699.018943643	688889.192453118	467057.555013083	445635.121316652	494315.387673893	682829.223036992	612857.740609359	656932.221387553	"Chassy_SC_4750;N1NZ13;P46367; Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"	"Chassy_SC_4750"	"N1NZ13"	"CENPK1137D_2389"	"P46367"	"YOR374W"	" Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"
"a1.a2.a1"	73937.4963630322	84084.9905931948	82171.1483736786	83515.0874827053	92551.5110070422	71808.7951424026	78955.1571141561	88047.0020278753	104818.81091643	187873.739502031	188173.425122784	205011.518217542	97576.5245761705	97854.0254823928	104354.335928076	"Chassy_SC_3254;N1NX93;P54115; Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"	"Chassy_SC_3254"	"N1NX93"	"CENPK1137D_1639"	"P54115"	"YPL061W"	" Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"
"a1.a3.a1"	1902.91961262223	2067.62392911857	2038.44641807962	1899.39196303492	1928.28705831097	1416.9245380807	1691.73268753658	1737.85002355917	1969.34547512471	840.218490149098	728.75466129748	908.021005244789	2349.70516979458	2438.72728422412	2653.17091139996	"Chassy_SC_2256;N1P4W5;P40047; Aldehyde dehydrogenase 5, mitochondrial - ALD5"	"Chassy_SC_2256"	"N1P4W5"	"CENPK1137D_3481"	"P40047"	"YER073W"	" Aldehyde dehydrogenase 5, mitochondrial - ALD5"
"a2.a1.a1"	66814.0587088974	85352.9524735967	95454.9740974031	55863.1580467632	82150.5394789221	53119.9363503417	38285.6738264536	60538.538594612	87911.9924188885	71498.8804299164	68109.2267911097	78326.7132109422	62564.9259480461	63707.3702617196	81385.6518624061	"Chassy_SC_64;N1P2H7;P00359; Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3"	"Chassy_SC_64"	"N1P2H7"	"CENPK1137D_3157"	"P00359"	"YGR192C"	" Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3"
"a2.a2.a1"	7014.71653232794	10978.2955990608	11821.9066286446	1320.03968261132	2112.59796667433	1095.86681764657	1056.45920544749	2099.48693865985	3028.86743223347	10667.5782860528	9969.80912984671	11703.2105297941	1115.33538133797	1596.11649068535	2176.74820551631	"Chassy_SC_273;N1P004;P00358; Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2"	"Chassy_SC_273"	"N1P004"	"CENPK1137D_1304"	"P00358"	"YJR009C"	" Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2"
"a2.a3.a1"	14240.9501583061	16498.029517867	22726.0876045538	19415.2020370692	21566.2587808376	19658.137753143	17980.5945424891	20786.1825330545	20854.3245933717	9300.1825687426	9222.00533471623	7806.01579390138	15496.2794800562	15494.9489970472	17350.9337093658	"Chassy_SC_595;N1NZW1;P00360; Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1"	"Chassy_SC_595"	"N1NZW1"	"CENPK1137D_1249"	"P00360"	"YJL052W"	" Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1"
"a3.a1.a1"	496133.70947949	588092.158096883	560267.765987038	619815.112500642	692555.297883109	574953.79753096	595904.399475525	641204.524865785	647162.370705291	539046.403996543	505113.680824345	565546.822722328	731737.139894736	638713.036425402	687703.949889421	"Chassy_SC_4763;N1P8G0;P02994; Elongation factor 1-alpha - TEF1"	"Chassy_SC_4763"	"N1P8G0"	"CENPK1137D_4664"	"P02994"	"YPR080W"	" YBR118W"
"a4.a1.a1"	564660.087985535	610307.90556118	652127.707724822	376505.427062552	471183.576662189	366208.259246054	337456.302300932	379048.892885621	418927.444895288	496356.962751851	508322.991551343	466593.640682773	371023.349533715	356764.212067585	342435.916961733	"Chassy_SC_3041;N1P832;P00560; Phosphoglycerate kinase - PGK1"	"Chassy_SC_3041"	"N1P832"	"CENPK1137D_4509"	"P00560"	"YCR012W"	" Phosphoglycerate kinase - PGK1"
"a5.a1.a1"	263253.510519372	366959.986219827	391976.39712313	271115.000930048	393471.325146173	220919.837006488	196251.956034042	260959.472404877	384189.63374475	354038.976944389	327014.166908338	325337.365085204	318909.685139782	286247.323928484	335717.801543181	"Chassy_SC_5336;N1P439;P00924; Enolase 1 - ENO1"	"Chassy_SC_5336"	"N1P439"	"CENPK1137D_3221"	"P00924"	"YGR254W"	" Enolase 1 - ENO1"
"a5.a2.a1"	961.396801224928	1391.92462224105	1248.85441215153	1003.1268089598	1574.06594341481	815.748388173066	596.35006002226	1093.72602181165	1252.77070540061	896.838733218274	819.622661439021	1148.48898283113	1228.71135768165	1396.78992007243	2039.70869263402	"Chassy_SC_5072;N1P336;P38689; Ribose-phosphate pyrophosphokinase 3 - PRS3"	"Chassy_SC_5072"	"N1P336"	"CENPK1137D_5376"	"P38689"	"YHL011C"	" Ribose-phosphate pyrophosphokinase 3 - PRS3"
