"prot"	"HighTemp_A"	"HighTemp_B"	"HighTemp_C"	"LowpH_A"	"LowpH_B"	"LowpH_C"	"LowpH_D"	"standard_A"	"standard_B"	"standard_C"	"standard_D"	"Top.Protein.Description"	"Chassy_ID"	"W29_NCBI"	"CLIB122_NCBI"	"CLIB122_UNIPROT"	"Protein_name"	"ec_number"
"a1.a1.a1"	1356.89683463702	1995.70781308182	1144.21619663533	1214.95471402155	1169.87618286909	1449.38470302636	1157.89917492628	1231.28522933675	113.712443792158	592.79322608171	1134.94587307596	"Chassy_YL_F_1264;YALI1_F32597g;YALI0F25289g1_1;Q6C0E9;uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein"	"Chassy_YL_F_1264"	"YALI1_F32597g"	"YALI0F25289g1_1"	"Q6C0E9"	"uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein"	""
"a1.a2.a1"	3389.4738506211	3172.6615659065	2135.59715709841	835.302369999819	986.790610932181	1430.23472571814	688.396869641471	3187.85296771222	446.221221451519	2066.42467224558	3527.64646664392	"Chassy_YL_D_405;YALI1_D10458g;YALI0D08184g1_1;Q6C9V0;uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein"	"Chassy_YL_D_405"	"YALI1_D10458g"	"YALI0D08184g1_1"	"Q6C9V0"	"uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein"	""
"a1.a3.a1"	1111.12921957955	2095.46654607701	1640.23145283779	336.985447727378	553.304948676933	333.748875049344	366.108683319895	1383.11169287701	132.864164343149	1465.33883352636	1187.66380190324	"Chassy_YL_D_1098;YALI1_D28273g;YALI0D22352g1_1;Q6C864;uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein"	"Chassy_YL_D_1098"	"YALI1_D28273g"	"YALI0D22352g1_1"	"Q6C864"	"uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein"	""
"a1.a4.a1"	47292.0483017452	75258.8992349247	61078.1713318474	52809.6412110021	36211.3389449361	39221.7246831151	44264.991633308	44050.6843286503	19690.9977189252	37177.8761479424	40945.0026898683	"Chassy_YL_C_888;YALI1_C24707g;YALI0C17347g1_1;Q6CBM2;uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein"	"Chassy_YL_C_888"	"YALI1_C24707g"	"YALI0C17347g1_1"	"Q6CBM2"	"uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein"	""
"a1.a5.a1"	24850.6188067997	35116.0324880199	31182.3580291807	30241.4764256604	26443.4182937981	28784.1224563277	31789.6175846585	31812.8746092165	16005.9749362698	26998.0191602651	31296.9553658958	"Chassy_YL_A_5;YALI1_A00102g;YALI0A00132g1_1;Q6CIA7;uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein"	"Chassy_YL_A_5"	"YALI1_A00102g"	"YALI0A00132g1_1"	"Q6CIA7"	"uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein"	""
"a1.a6.a1"	13.5283681669898	9.19031098170801	7.31208987116664	2.38186924056902	4.22571937968628	2.71964752347292	NA	4.44590826364183	8.26714518432624	NA	6.31402045128422	"Chassy_YL_A_906;YALI1_A22539g;W29 specific;No Uniprot ID;No description in CLIB122"	"Chassy_YL_A_906"	"YALI1_A22539g"	""	""	"No description in CLIB122"	""
"a1.a7.a1"	18549.9512166013	27110.6710022483	22168.7254801077	22899.8035131702	15759.2291617161	20632.5527528723	24523.3056220328	15502.2100964654	4891.52382705419	14960.4885424984	14299.8951621932	"Chassy_YL_E_648;YALI1_E16731g;YALI0E13706g1_1;Q99170;uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins"	"Chassy_YL_E_648"	"YALI1_E16731g"	"YALI0E13706g1_1"	"Q99170"	"uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins"	""
"a2.a1.a1"	135772.819337806	174220.469633383	117640.751338101	257882.741275876	268329.530597001	293176.401571657	252221.699035268	200682.471026117	128737.61368303	144903.781321359	221578.731287008	"Chassy_YL_C_302;YALI1_C08262g;YALI0C06369g1_1;Q6CCU7;uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase"	"Chassy_YL_C_302"	"YALI1_C08262g"	"YALI0C06369g1_1"	"Q6CCU7"	"uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase"	"1.2.1.12"
"a4.a1.a1"	179287.117991244	216794.019759932	208685.784634029	184452.34114957	157236.695623538	165132.460503047	166965.671209456	207024.848683721	146342.021141582	165019.150310061	232969.418988877	"Chassy_YL_F_865;YALI1_F22436g;YALI0F16819g1_1;Q6C1F3;uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase"	"Chassy_YL_F_865"	"YALI1_F22436g"	"YALI0F16819g1_1"	"Q6C1F3"	"uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase"	"4.2.1.11"
"a4.a2.a1"	102.990707157394	152.216426392841	127.832752399056	21.6303626413175	18.9910782195451	33.3373288102203	22.398113923499	101.356497496696	108.0318502644	74.156739488196	49.6020958079842	"Chassy_YL_E_404;YALI1_E10587g;YALI0E08756g1_1;Q6C6K7;uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation"	"Chassy_YL_E_404"	"YALI1_E10587g"	"YALI0E08756g1_1"	"Q6C6K7"	"uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation"	""
