"prot"	"HighTemp_A"	"HighTemp_B"	"HighTemp_C"	"LowpH_A"	"LowpH_B"	"LowpH_C"	"LowpH_D"	"standard_A"	"standard_B"	"standard_C"	"standard_D"	"Top.Protein.Description"	"Chassy_ID"	"W29_NCBI"	"CLIB122_NCBI"	"CLIB122_UNIPROT"	"Protein_name"	"ec_number"
"a1.a1.a1"	874.443169728026	1083.38715549938	1203.19097900539	770.02993188624	934.20129752764	908.445636617437	847.716684879474	907.688663070808	864.319324238153	974.047266688979	1010.66625458179	"Chassy_YL_F_1264;YALI1_F32597g;YALI0F25289g1_1;Q6C0E9;uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein"	"Chassy_YL_F_1264"	"YALI1_F32597g"	"YALI0F25289g1_1"	"Q6C0E9"	"uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein"	""
"a1.a2.a1"	753.473437453835	892.401876941819	997.407931781337	554.862422295315	666.535156384352	658.093639909952	605.997226615	821.611480682573	743.143309505451	828.402809734062	910.463854945438	"Chassy_YL_D_405;YALI1_D10458g;YALI0D08184g1_1;Q6C9V0;uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein"	"Chassy_YL_D_405"	"YALI1_D10458g"	"YALI0D08184g1_1"	"Q6C9V0"	"uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein"	""
"a1.a3.a1"	680.245773440747	884.099662762058	1012.38139330987	523.501109144345	706.769417917337	626.003279653369	596.826413323806	813.702324242091	678.13505747865	843.140072906827	875.899074074563	"Chassy_YL_D_1098;YALI1_D28273g;YALI0D22352g1_1;Q6C864;uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein"	"Chassy_YL_D_1098"	"YALI1_D28273g"	"YALI0D22352g1_1"	"Q6C864"	"uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein"	""
"a1.a4.a1"	654.554832086803	770.954620770058	899.574607399378	709.427850971953	667.620875514388	659.127794385263	722.454882144018	696.39224511342	530.449502217462	613.568224430575	795.273305322398	"Chassy_YL_C_888;YALI1_C24707g;YALI0C17347g1_1;Q6CBM2;uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein"	"Chassy_YL_C_888"	"YALI1_C24707g"	"YALI0C17347g1_1"	"Q6CBM2"	"uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein"	""
"a1.a5.a1"	516.632297502319	569.340122411592	584.700011582926	596.179014885888	621.508253435494	715.153318525146	672.357670978701	589.595785013763	584.033471977689	542.296021377935	682.432091606257	"Chassy_YL_A_5;YALI1_A00102g;YALI0A00132g1_1;Q6CIA7;uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein"	"Chassy_YL_A_5"	"YALI1_A00102g"	"YALI0A00132g1_1"	"Q6CIA7"	"uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein"	""
"a1.a6.a1"	502.046572584939	599.558706345782	746.931658237792	381.774688836464	514.725888943573	444.405237108119	416.385626639958	546.770087182207	469.004565031064	577.638963618559	615.292291996865	"Chassy_YL_A_906;YALI1_A22539g;W29 specific;No Uniprot ID;No description in CLIB122"	"Chassy_YL_A_906"	"YALI1_A22539g"	""	""	"No description in CLIB122"	""
"a1.a7.a1"	417.401674773678	484.082070748159	509.104460340617	465.339771872828	477.162675094954	501.016480211495	467.212538750366	415.550688154525	377.698328675993	341.608131352234	453.14300417053	"Chassy_YL_E_648;YALI1_E16731g;YALI0E13706g1_1;Q99170;uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins"	"Chassy_YL_E_648"	"YALI1_E16731g"	"YALI0E13706g1_1"	"Q99170"	"uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins"	""
"a2.a1.a1"	2086.53554674821	2437.86881391746	2377.26606536408	3906.35799876018	4107.92416110644	4481.57797562862	4167.57423555834	2845.06851645605	3232.24656393743	2169.14499244646	3313.22475520746	"Chassy_YL_C_302;YALI1_C08262g;YALI0C06369g1_1;Q6CCU7;uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase"	"Chassy_YL_C_302"	"YALI1_C08262g"	"YALI0C06369g1_1"	"Q6CCU7"	"uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase"	"1.2.1.12"
"a4.a1.a1"	1419.99636935823	1753.75164814839	1857.46322986037	1762.15658781558	1768.17490772135	1666.82831054519	1927.89312361873	1660.73482925212	2142.8074809053	1714.25037807998	2203.18630276387	"Chassy_YL_F_865;YALI1_F22436g;YALI0F16819g1_1;Q6C1F3;uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase"	"Chassy_YL_F_865"	"YALI1_F22436g"	"YALI0F16819g1_1"	"Q6C1F3"	"uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase"	"4.2.1.11"
"a4.a2.a1"	96.1534427411391	46.5279842390898	95.0735511771673	0	0	107.926032902667	0	95.5476520415377	95.9507456129522	122.262615431489	101.260191418399	"Chassy_YL_E_404;YALI1_E10587g;YALI0E08756g1_1;Q6C6K7;uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation"	"Chassy_YL_E_404"	"YALI1_E10587g"	"YALI0E08756g1_1"	"Q6C6K7"	"uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation"	""
