"prot"	"HighTemp_A"	"HighTemp_B"	"HighTemp_C"	"LowpH_A"	"LowpH_B"	"LowpH_C"	"OsmoticStress_A"	"OsmoticStress_B"	"OsmoticStress_C"	"standard_A"	"standard_B"	"standard_C"	"Top.Protein.Description"	"ChassyID"	"NCBI_CBS6556"	"Uniprot_DMKU3_1042"	"Gene_name_DMKU3_1042"	"Protein_name"	"ec_number"
"a1.a1.a1"	3372.70757344186	3289.7972051394	3749.88822235409	2386.80475567373	2929.26304880272	3254.5379291805	1562.49867785946	2375.12783291801	2616.55820143042	425.874572116491	1925.97572774706	2040.03388253985	"Chassy_KM_4545;KMXK_0G03150;W0TG45; Alcohol dehydrogenase 3 - ADH3"	"Chassy_KM_4545"	"KMXK_0G03150"	"W0TG45"	"KLMA_80306"	" Alcohol dehydrogenase 3 - ADH3"	""
"a1.a2.a1"	1599.8543702535	893.249283696368	1317.02426373455	1041.79860047616	1004.24199661084	1063.29632357052	560.422748358633	826.535718855459	786.579298399501	946.826074072024	1043.19462174694	603.32634252581	"Chassy_KM_2506;KMXK_0D01240;W0TBC6; Alcohol dehydrogenase 1 - ADH1"	"Chassy_KM_2506"	"KMXK_0D01240"	"W0TBC6"	"KLMA_40102"	" Alcohol dehydrogenase 1 - ADH1"	""
"a1.a3.a1"	318.901881697816	267.864919728362	420.762084280263	295.194054586342	284.902936528765	630.420385246627	126.845411254228	270.602073469972	275.07115201536	162.523122903788	233.349800708227	327.472281767755	"Chassy_KM_989;KMXK_0B01710;W0T723; Alcohol dehydrogenase 4 - ADH4b"	"Chassy_KM_989"	"KMXK_0B01710"	"W0T723"	"KLMA_20158"	" Alcohol dehydrogenase 4 - ADH4b"	""
"a1.a4.a1"	278.286205105363	75.3934206683294	163.160770281669	382.309982310396	240.44662204243	479.411249410888	425.143827503824	168.892231194267	468.344529191908	222.632192127436	227.977356512381	411.034205413089	"Chassy_KM_3961;KMXK_0F03070;W0THG5; Uncharacterized protein YNL134C - KLMA_60268"	"Chassy_KM_3961"	"KMXK_0F03070"	"W0THG5"	"KLMA_60268"	" Uncharacterized protein YNL134C - KLMA_60268"	""
"a1.a5.a1"	36.4645744616249	41.4720378681352	58.3753950183378	43.2098112676452	46.7832317575253	103.519828005295	12.7733982651645	34.2815323435725	37.7662302500047	428.828005907813	44.3571110069686	12.7424562964036	"Chassy_KM_2625;KMXK_0D02430;W0TDP8; Alcohol dehydrogenase 2 - ADH2"	"Chassy_KM_2625"	"KMXK_0D02430"	"W0TDP8"	"KLMA_40220"	" Alcohol dehydrogenase 2 - ADH2"	""
"a2.a1.a1"	2626.58815742607	2932.78278347391	3117.61816652474	2961.43549986021	2866.48867221377	2835.05184982128	2859.42249198702	3170.54093543049	3204.4262070623	3991.03588072286	3145.12279418546	3515.97842615671	"Chassy_KM_4298;KMXK_0G00680;W0TG93; Glyceraldehyde-3-phosphate dehydrogenase - GAP3"	"Chassy_KM_4298"	"KMXK_0G00680"	"W0TG93"	"KLMA_80059"	" Glyceraldehyde-3-phosphate dehydrogenase - GAP3"	"1.2.1.12"
"a2.a2.a1"	3086.8726642872	2415.23765465311	2420.61669353427	1662.4062212245	1587.45614754037	1715.73801640646	1029.37489996095	1181.51923533162	1024.91867551309	1417.34883219065	1475.6676028776	1581.44844973515	"Chassy_KM_2624;KMXK_0D02420;W0T9E0; Glyceraldehyde-3-phosphate dehydrogenase - GAP1"	"Chassy_KM_2624"	"KMXK_0D02420"	"W0T9E0"	"KLMA_40218"	" Glyceraldehyde-3-phosphate dehydrogenase - GAP1"	"1.2.1.12"
"a3.a1.a1"	3426.28259173994	3078.19297082157	4113.00230461884	2180.28367323593	2207.20425689394	2273.64439834037	1978.41505804394	2177.59523617781	2485.75586917091	1039.2113569173	2402.05236687211	2355.96511650673	"Chassy_KM_3051;KMXK_0E00190;W0TCX8; Potassium-activated aldehyde dehydrogenase - ALD4"	"Chassy_KM_3051"	"KMXK_0E00190"	"W0TCX8"	"KLMA_50012"	" Potassium-activated aldehyde dehydrogenase - ALD4"	""
"a3.a2.a1"	29.8173818175521	42.2517120870293	47.7340396182055	21.66801487353	34.3363694819524	34.930668666706	24.0956898955967	21.418426398423	29.3982547674737	20.5756257049502	27.7134495572676	29.9486081263434	"Chassy_KM_2808;KMXK_0D04260;W0TBN1; Aldehyde dehydrogenase 5 - ALD5"	"Chassy_KM_2808"	"KMXK_0D04260"	"W0TBN1"	"KLMA_40404"	" Aldehyde dehydrogenase 5 - ALD5"	""
"a3.a3.a1"	4.35222305764724	0	6.96738530338397	7.29617629283158	10.6961783644441	4.09221044623678	3.51706993575813	11.7604883345551	12.9559351619408	15.9832024369599	18.7778405235042	3.50855027123163	"Chassy_KM_87;KMXK_0A00970;W0T8F8; Magnesium-activated aldehyde dehydrogenase - ALD6"	"Chassy_KM_87"	"KMXK_0A00970"	"W0T8F8"	"KLMA_10742"	" Magnesium-activated aldehyde dehydrogenase - ALD6"	""
