"prot"	"anaerobic_A"	"anaerobic_B"	"anaerobic_C"	"high_temp_A"	"high_temp_B"	"high_temp_C"	"low_pH_A"	"low_pH_B"	"low_pH_C"	"osmotic_stress_A"	"osmotic_stress_B"	"osmotic_stress_C"	"standard_A"	"standard_B"	"standard_C"	"Top.Protein.Description"	"ChassyID"	"uniprotID_CENPK"	"GeneName_CENPK"	"uniprotID_S288c"	"GeneName_S288C"	"Protein_name"
"a1.a1.a1"	64869.6730936791	90989.9154433877	89614.8102904202	658533.696030777	886965.751243149	401804.514564526	532413.731707639	679869.141566335	688951.062358459	441101.754766022	373819.135726334	377441.136812439	851886.990829663	773535.362824906	817674.22209037	"Chassy_SC_4750;N1NZ13;P46367; Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"	"Chassy_SC_4750"	"N1NZ13"	"CENPK1137D_2389"	"P46367"	"YOR374W"	" Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"
"a1.a2.a1"	56355.0697091879	78769.5269424083	76094.4343362213	91451.3093532671	109458.641809075	59285.1721563387	77741.9473515749	100307.381633484	105881.311306523	177864.687669498	160451.879177711	160166.927631906	110773.593417359	118037.994445225	127027.155503185	"Chassy_SC_3254;N1NX93;P54115; Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"	"Chassy_SC_3254"	"N1NX93"	"CENPK1137D_1639"	"P54115"	"YPL061W"	" Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"
"a1.a3.a1"	1547.57351686866	2051.05949055328	2051.1061780806	1987.42692990527	2205.11524615411	1127.07932086689	1460.63060550392	1812.20497093628	2030.14683639758	809.416868983564	705.176389120927	864.915742605115	2226.27743530853	2702.1531440102	3094.75065010491	"Chassy_SC_2256;N1P4W5;P40047; Aldehyde dehydrogenase 5, mitochondrial - ALD5"	"Chassy_SC_2256"	"N1P4W5"	"CENPK1137D_3481"	"P40047"	"YER073W"	" Aldehyde dehydrogenase 5, mitochondrial - ALD5"
"a2.a1.a1"	50081.5795541594	78558.1139020665	85848.7909813063	61421.6629089158	97649.5501098479	44008.6901170116	37815.0411653145	69470.8210840681	88555.4779199427	67729.2122464803	58419.0494210195	61833.0370296757	71977.7628762155	77449.6339716423	99575.13313535	"Chassy_SC_64;N1P2H7;P00359; Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3"	"Chassy_SC_64"	"N1P2H7"	"CENPK1137D_3157"	"P00359"	"YGR192C"	" Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3"
"a2.a2.a1"	5458.89543386878	10445.5614440522	11161.3693764186	1393.52812351446	2438.71388150143	880.407479181324	940.161835840917	2245.31274458332	3101.08083029228	10158.0602275558	8867.49953075885	9772.37214236139	1073.82735313018	1791.88774720366	2560.94075425446	"Chassy_SC_273;N1P004;P00358; Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2"	"Chassy_SC_273"	"N1P004"	"CENPK1137D_1304"	"P00358"	"YJR009C"	" Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2"
"a2.a3.a1"	11090.0365242244	15756.6126433428	21440.9149974541	20985.7275095157	25277.3640899801	16080.1926863576	17030.9706870241	23085.2262194929	21196.3341609368	8883.78435148249	8394.14331032067	6837.34747988783	16337.1192406659	18018.4917915505	20762.3352044293	"Chassy_SC_595;N1NZW1;P00360; Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1"	"Chassy_SC_595"	"N1NZW1"	"CENPK1137D_1249"	"P00360"	"YJL052W"	" Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1"
"a3.a1.a1"	364502.846075172	533408.996044534	494865.13036978	695862.579830316	833884.633662322	483811.345470397	627520.220287127	763108.869628751	647414.414187769	508757.143249491	421558.3733372	427509.985329872	921462.695713422	807804.880835357	856887.596868392	"Chassy_SC_4763;N1P8G0;P02994; Elongation factor 1-alpha - TEF1"	"Chassy_SC_4763"	"N1P8G0"	"CENPK1137D_4664"	"P02994"	"YPR080W"	" YBR118W"
"a4.a1.a1"	415089.998243129	554031.366799671	575448.37810187	419517.384654387	564239.968463228	306411.812387863	345591.548394821	443723.637042418	420468.917268226	468777.09331791	425686.202467029	357334.49487401	445150.087539877	442100.745501822	422025.52891318	"Chassy_SC_3041;N1P832;P00560; Phosphoglycerate kinase - PGK1"	"Chassy_SC_3041"	"N1P832"	"CENPK1137D_4509"	"P00560"	"YCR012W"	" Phosphoglycerate kinase - PGK1"
"a5.a1.a1"	194400.760503401	333867.129230874	347515.228764973	302281.072365315	471569.729860085	184836.335674965	201389.526999964	306166.775171062	385198.452482076	334309.603021432	273897.804916461	248363.203652602	386016.063770855	355147.648841418	414926.098721365	"Chassy_SC_5336;N1P439;P00924; Enolase 1 - ENO1"	"Chassy_SC_5336"	"N1P439"	"CENPK1137D_3221"	"P00924"	"YGR254W"	" Enolase 1 - ENO1"
"a5.a2.a1"	780.389423879891	1375.90516947679	1254.18990800071	1051.64408139665	1808.24211385148	650.137390990991	512.452862061715	1145.156113453	1289.56772326915	861.693998392248	780.446618024727	1060.15162693087	1164.02435958102	1549.86752183323	2393.39332562748	"Chassy_SC_5072;N1P336;P38689; Ribose-phosphate pyrophosphokinase 3 - PRS3"	"Chassy_SC_5072"	"N1P336"	"CENPK1137D_5376"	"P38689"	"YHL011C"	" Ribose-phosphate pyrophosphokinase 3 - PRS3"
"a5.a3.a1"	NA	NA	NA	NA	38.4729516106745	NA	NA	NA	5.94150386688708	3.51296184486609	NA	NA	3.25275183047746	NA	16.299119514218	"Chassy_SC_3651;N1P9M4;P38063; Ribose-phosphate pyrophosphokinase 4 - PRS4"	"Chassy_SC_3651"	"N1P9M4"	"CENPK1137D_4810"	"P38063"	"YBL068W"	" Ribose-phosphate pyrophosphokinase 4 - PRS4"
"a5.a4.a1"	52.901160856768	197.353723291777	102.896818772483	86.8217023586201	182.432173962196	86.1447966958409	61.3766379304218	76.2661339395928	100.700737609686	98.3556971920084	102.409102239721	96.1015621183664	56.3116808804306	92.3422758136098	85.7386344192975	"Chassy_SC_1368;N1P3H7;P38620; Ribose-phosphate pyrophosphokinase 2 - PRS2"	"Chassy_SC_1368"	"N1P3H7"	"CENPK1137D_3512"	"P38620"	"YER099C"	" Ribose-phosphate pyrophosphokinase 2 - PRS2"
"a6.a1.a1"	172.191574744629	158.894519853126	352.00196334341	4109.1685972587	5590.77973576583	2944.12554532158	2883.36766432985	4520.0788534934	4974.81529173242	3947.02827963689	4469.62728254783	3119.45492307324	3084.39805154536	3926.96827113612	5015.9826093982	"Chassy_SC_5025;N1P731;P22202; Heat shock protein SSA4 - SSA4"	"Chassy_SC_5025"	"N1P731"	"CENPK1137D_3515"	"P22202"	"YER103W"	" Heat shock protein SSA4 - SSA4"
"a6.a2.a1"	2082.39635569897	2571.73085541367	2027.40206433059	14746.4976365941	22456.5856734683	11709.3843368015	14749.9034776347	20253.5387797806	19457.1702698188	5465.06523182092	5336.05214826282	3892.04269268002	11382.7855270372	14158.3584619315	19448.5765824142	"Chassy_SC_4931;N1P8N4;P09435; Heat shock protein SSA3 - SSA3"	"Chassy_SC_4931"	"N1P8N4"	"CENPK1137D_4754"	"P09435"	"YBL075C"	" Heat shock protein SSA3 - SSA3"
"a6.a3.a1"	12489.3047352334	18069.5870127852	17822.0815705803	19893.5990261858	25808.7684769403	13504.9211040018	12858.2889493054	17514.5610315189	15484.8895397157	15199.5758610216	13855.6092905918	13268.9442910276	14408.9888854441	14674.2957901096	16911.9117336862	"Chassy_SC_244;N1P0X7;P16474; 78 kDa glucose-regulated protein homolog - KAR2"	"Chassy_SC_244"	"N1P0X7"	"CENPK1137D_1268"	"P16474"	"YJL034W"	" 78 kDa glucose-regulated protein homolog - KAR2"
"a7.a1.a1"	24754.6041374968	36074.8097208007	37881.211305743	48991.3930508676	58833.7538028546	34494.7412401552	53442.8763040931	70575.2176444564	74814.8192517728	54655.0581401447	46513.1606628203	50507.4703994857	70507.5356929273	82103.7753301718	85732.8523387422	"Chassy_SC_3878;N1NWL3;P19097; Fatty acid synthase subunit alpha - FAS2"	"Chassy_SC_3878"	"N1NWL3"	"CENPK1137D_1888"	"P19097"	"YPL231W"	" Fatty acid synthase subunit alpha - FAS2"
"a8.a1.a1"	25713.8152995228	34533.8006003118	33286.9464029941	44652.9802892316	50013.9415220755	32768.0816134978	52327.5593797532	69230.8980495073	64203.2811027453	51060.2625873302	47555.1130001828	50746.9138420542	60138.1861096751	74603.1054847205	72348.9833677551	"Chassy_SC_3037;N1P0M8;P07149; Fatty acid synthase subunit beta - FAS1"	"Chassy_SC_3037"	"N1P0M8"	"CENPK1137D_1128"	"P07149"	"YKL182W"	" Fatty acid synthase subunit beta - FAS1"
"a9.a1.a1"	13241.9150654856	17591.3372213414	17352.003672218	15941.2114298463	18874.5994215087	11852.430271744	13392.6768342435	19457.2689094094	17275.7385418748	12570.8642289603	12450.9240891401	12841.4450669183	16450.6243400952	20414.1489045012	21635.1474703602	"Chassy_SC_1029;N1P1J1;P07259; Protein URA2 - URA2"	"Chassy_SC_1029"	"N1P1J1"	"CENPK1137D_1503"	"P07259"	"YJL130C"	" Protein URA2 - URA2"
"a9.a2.a1"	5381.17628999386	7614.33738919066	7133.70511432011	7309.03866088873	8101.43408270489	4384.76734323133	6605.92704840722	9249.42835266318	10133.1429323897	3925.41042871205	4324.95838130779	4648.37602155412	11899.0484956734	15201.1174589679	13790.5958478913	"Chassy_SC_3818;N1P185;P03965; Carbamoyl-phosphate synthase arginine-specific large chain - CPA2"	"Chassy_SC_3818"	"N1P185"	"CENPK1137D_1403"	"P03965"	"YJR109C"	" Carbamoyl-phosphate synthase arginine-specific large chain - CPA2"
"b10.a1.a1"	58177.9503848527	75845.8566171486	80899.4937323141	99794.8350802491	130514.214204407	63787.3488066405	53147.0720584349	71755.2039248303	81913.8100174636	69946.7937105566	59384.2788151411	60712.3631144632	105624.460535877	93771.2282756194	104600.437493278	"Chassy_SC_557;N1P0G2;P06169; Pyruvate decarboxylase isozyme 1 - PDC1"	"Chassy_SC_557"	"N1P0G2"	"CENPK1137D_891"	"P06169"	"YLR044C"	" Pyruvate decarboxylase isozyme 1 - PDC1"
"b10.a2.a1"	21.9698366628419	24.9886612190462	21.1196701111519	317.415663039	389.062876608874	253.552370024512	207.135339267877	391.20108571104	299.847716076695	17.5535201268236	6.50269887723709	39.0528626089167	55.5176817564048	97.1692880004908	177.178788720965	"Chassy_SC_941;N1P9V9;P26263; Pyruvate decarboxylase isozyme 3 - PDC6"	"Chassy_SC_941"	"N1P9V9"	"CENPK1137D_3053"	"P26263"	"YGR087C"	" Pyruvate decarboxylase isozyme 3 - PDC6"
"b11.a1.a1"	95848.6347412825	147157.753163163	143867.852634558	191269.600710399	254287.892450958	134860.862515907	106919.032371705	144089.666806032	149717.902706957	150257.94588451	138926.401552238	136264.252249562	168158.469227263	164278.064630267	180255.461984008	"Chassy_SC_4969;N1NXP6;P02829; ATP-dependent molecular chaperone HSP82 - HSP82"	"Chassy_SC_4969"	"N1NXP6"	"CENPK1137D_1799"	"P02829"	"YPL240C"	" ATP-dependent molecular chaperone HSP82 - HSP82"
"b12.a1.a1"	185012.565267619	263502.662754493	250872.663332581	43037.0551870085	54970.784201613	29851.1013258864	34320.8186016496	47806.5551728468	51853.1467431508	42356.2662915237	39942.558485385	39236.2672162638	38797.5717699939	43053.641011483	53009.6402643244	"Chassy_SC_635;N1P4S9;P04806; Hexokinase-1 - HXK1"	"Chassy_SC_635"	"N1P4S9"	"CENPK1137D_3329"	"P04806"	"YFR053C"	" Hexokinase-1 - HXK1"
"b12.a2.a1"	9790.36732571941	12008.7464910588	12895.6399700868	6336.2353401354	7783.60539053524	4039.43584308797	5442.77512470096	6954.84532214528	7031.11640275727	12855.193913232	13526.6148648901	12846.4257719912	8375.34706254329	7107.97957566532	8678.92838776253	"Chassy_SC_2437;N1P4P1;P04807; Hexokinase-2 - HXK2"	"Chassy_SC_2437"	"N1P4P1"	"CENPK1137D_3299"	"P04807"	"YGL253W"	" Hexokinase-2 - HXK2"
"b13.a1.a1"	91253.8641235729	129547.139141047	126618.838038456	93324.4306458035	105461.72874215	60472.0871316516	106500.959750239	134048.117057045	129273.67490597	77079.8603636588	71792.2176209524	68335.030749318	167062.676659146	156965.29784877	170386.106907617	"Chassy_SC_4389;N1PA49;P05694; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase - MET6"	"Chassy_SC_4389"	"N1PA49"	"CENPK1137D_3503"	"P05694"	"YER091C"	" 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase - MET6"
"b14.a1.a1"	2621.16412317865	4274.02774141101	4887.87342520167	122138.215637661	149314.034995219	87352.7222846938	57247.5852604758	77758.0989885434	76178.7535494485	48915.2899444604	44003.2178135777	53235.5660396156	100525.168272483	120000.162533347	115257.151750261	"Chassy_SC_3446;N1P7N2;Q01574; Acetyl-coenzyme A synthetase 1 - ACS1"	"Chassy_SC_3446"	"N1P7N2"	"CENPK1137D_4997"	"Q01574"	"YAL054C"	" Acetyl-coenzyme A synthetase 1 - ACS1"
"b14.a2.a1"	5140.53241668222	6238.95145812453	6078.28042871312	5275.32984968575	5991.8648613018	3308.29397467944	5385.62354850153	6843.3516825397	5669.48272326903	7179.24842423665	7065.0464771606	6805.96733107321	6707.30156817496	7024.05381799607	7313.41440058593	"Chassy_SC_2625;N1NZR0;P52910; Acetyl-coenzyme A synthetase 2 - ACS2"	"Chassy_SC_2625"	"N1NZR0"	"CENPK1137D_541"	"P52910"	"YLR153C"	" Acetyl-coenzyme A synthetase 2 - ACS2"
"b15.a1.a1"	14050.7695898256	18751.9739635795	19579.1934650526	23854.0375806363	27570.4864490955	15023.4749753031	20215.8926068302	28068.1639609317	26342.0096186797	24013.2386461844	23483.6053577468	25676.8480805031	23049.1768358214	27453.8477063862	31413.610040887	"Chassy_SC_4324;N1P4Q3;Q00955; Acetyl-CoA carboxylase - ACC1"	"Chassy_SC_4324"	"N1P4Q3"	"CENPK1137D_2692"	"Q00955"	"YNR016C"	" Acetyl-CoA carboxylase - ACC1"
"b16.a1.a1"	64685.5267774247	92465.6349451674	90012.4298339567	89397.8884323415	103237.210122015	60474.9173922735	70560.2588429224	95287.3638011735	95285.9465699075	78630.2869227645	71248.8010227627	76726.6732129165	105614.07360421	113121.700183481	128213.684101218	"Chassy_SC_893;N1P7B9;P32324; Elongation factor 2 - EFT1"	"Chassy_SC_893"	"N1P7B9"	"CENPK1137D_4214"	"P32324"	"YOR133W"	" YDR385W"
