Orthogroup	A_s288c	B_s288c
OG0000000	O74302 YD13A_YEAST Transposon Ty1-DR4 Gag polyprotein GN=TY1A-DR4 PE=2 SV=1, P0C2I8 YL14A_YEAST Transposon Ty1-LR4 Gag polyprotein GN=TY1A-LR4 PE=2 SV=1, P0CX57 YA11A_YEAST Transposon Ty1-A Gag polyprotein GN=TY1A-A PE=2 SV=1, P0CX58 YP12A_YEAST Transposon Ty1-PR1 Gag polyprotein GN=TY1A-PR1 PE=2 SV=1, P0CX59 YO12A_YEAST Transposon Ty1-OR Gag polyprotein GN=TY1A-OR PE=2 SV=1, P0CX60 YP13A_YEAST Transposon Ty1-PR2 Gag polyprotein GN=TY1A-PR2 PE=2 SV=1, P0CX65 YD14A_YEAST Transposon Ty1-DR5 Gag polyprotein GN=TY1A-DR5 PE=2 SV=1, P0CX66 YE12A_YEAST Transposon Ty1-ER2 Gag polyprotein GN=TY1A-ER2 PE=2 SV=1, P0CX67 YG13A_YEAST Transposon Ty1-GR3 Gag polyprotein GN=TY1A-GR3 PE=2 SV=1, P0CX68 YL11A_YEAST Transposon Ty1-LR1 Gag polyprotein GN=TY1A-LR1 PE=2 SV=1, P0CX69 YM14A_YEAST Transposon Ty1-MR2 Gag polyprotein GN=TY1A-MR2 PE=2 SV=1, P0CX70 YD15A_YEAST Transposon Ty1-DR6 Gag polyprotein GN=TY1A-DR6 PE=2 SV=1, P0CX71 YE11A_YEAST Transposon Ty1-ER1 Gag polyprotein GN=TY1A-ER1 PE=2 SV=1, P0CX72 YL12A_YEAST Transposon Ty1-LR2 Gag polyprotein GN=TY1A-LR2 PE=2 SV=1, P0CX73 YP11A_YEAST Transposon Ty1-PL Gag polyprotein GN=TY1A-PL PE=2 SV=1, P0CX74 YJ11A_YEAST Transposon Ty1-JR1 Gag polyprotein GN=TY1A-JR1 PE=2 SV=1, P0CX75 YL13A_YEAST Transposon Ty1-LR3 Gag polyprotein GN=TY1A-LR3 PE=2 SV=1, P0CX76 YM12A_YEAST Transposon Ty1-ML2 Gag polyprotein GN=TY1A-ML2 PE=2 SV=1, P47099 YJ12A_YEAST Transposon Ty1-JR2 Gag polyprotein GN=TY1A-JR2 PE=2 SV=1, Q03856 YD11A_YEAST Transposon Ty1-DR1 Gag polyprotein GN=TY1A-DR1 PE=2 SV=1, Q04706 YM11A_YEAST Transposon Ty1-ML1 Gag polyprotein GN=TY1A-ML1 PE=2 SV=1, Q12085 YG11A_YEAST Transposon Ty1-GR1 Gag polyprotein GN=TY1A-GR1 PE=2 SV=1, Q12217 YB12A_YEAST Transposon Ty1-BR Gag polyprotein GN=TY1A-BR PE=2 SV=1, Q12441 YD12A_YEAST Transposon Ty1-DR3 Gag polyprotein GN=TY1A-DR3 PE=1 SV=1, Q12470 YN12A_YEAST Transposon Ty1-NL2 Gag polyprotein GN=TY1A-NL2 PE=2 SV=1, Q12485 YG12A_YEAST Transposon Ty1-GR2 Gag polyprotein GN=TY1A-GR2 PE=2 SV=1, Q6Q5H1 YP14A_YEAST Transposon Ty1-PR3 Gag polyprotein GN=TY1A-PR3 PE=1 SV=2, Q92392 YO11A_YEAST Transposon Ty1-OL Gag polyprotein GN=TY1A-OL PE=2 SV=1	O74302 YD13A_YEAST Transposon Ty1-DR4 Gag polyprotein GN=TY1A-DR4 PE=2 SV=1, P0C2I8 YL14A_YEAST Transposon Ty1-LR4 Gag polyprotein GN=TY1A-LR4 PE=2 SV=1, P0CX57 YA11A_YEAST Transposon Ty1-A Gag polyprotein GN=TY1A-A PE=2 SV=1, P0CX58 YP12A_YEAST Transposon Ty1-PR1 Gag polyprotein GN=TY1A-PR1 PE=2 SV=1, P0CX59 YO12A_YEAST Transposon Ty1-OR Gag polyprotein GN=TY1A-OR PE=2 SV=1, P0CX60 YP13A_YEAST Transposon Ty1-PR2 Gag polyprotein GN=TY1A-PR2 PE=2 SV=1, P0CX65 YD14A_YEAST Transposon Ty1-DR5 Gag polyprotein GN=TY1A-DR5 PE=2 SV=1, P0CX66 YE12A_YEAST Transposon Ty1-ER2 Gag polyprotein GN=TY1A-ER2 PE=2 SV=1, P0CX67 YG13A_YEAST Transposon Ty1-GR3 Gag polyprotein GN=TY1A-GR3 PE=2 SV=1, P0CX68 YL11A_YEAST Transposon Ty1-LR1 Gag polyprotein GN=TY1A-LR1 PE=2 SV=1, P0CX69 YM14A_YEAST Transposon Ty1-MR2 Gag polyprotein GN=TY1A-MR2 PE=2 SV=1, P0CX70 YD15A_YEAST Transposon Ty1-DR6 Gag polyprotein GN=TY1A-DR6 PE=2 SV=1, P0CX71 YE11A_YEAST Transposon Ty1-ER1 Gag polyprotein GN=TY1A-ER1 PE=2 SV=1, P0CX72 YL12A_YEAST Transposon Ty1-LR2 Gag polyprotein GN=TY1A-LR2 PE=2 SV=1, P0CX73 YP11A_YEAST Transposon Ty1-PL Gag polyprotein GN=TY1A-PL PE=2 SV=1, P0CX74 YJ11A_YEAST Transposon Ty1-JR1 Gag polyprotein GN=TY1A-JR1 PE=2 SV=1, P0CX75 YL13A_YEAST Transposon Ty1-LR3 Gag polyprotein GN=TY1A-LR3 PE=2 SV=1, P0CX76 YM12A_YEAST Transposon Ty1-ML2 Gag polyprotein GN=TY1A-ML2 PE=2 SV=1, P47099 YJ12A_YEAST Transposon Ty1-JR2 Gag polyprotein GN=TY1A-JR2 PE=2 SV=1, Q03856 YD11A_YEAST Transposon Ty1-DR1 Gag polyprotein GN=TY1A-DR1 PE=2 SV=1, Q04706 YM11A_YEAST Transposon Ty1-ML1 Gag polyprotein GN=TY1A-ML1 PE=2 SV=1, Q12085 YG11A_YEAST Transposon Ty1-GR1 Gag polyprotein GN=TY1A-GR1 PE=2 SV=1, Q12217 YB12A_YEAST Transposon Ty1-BR Gag polyprotein GN=TY1A-BR PE=2 SV=1, Q12441 YD12A_YEAST Transposon Ty1-DR3 Gag polyprotein GN=TY1A-DR3 PE=1 SV=1, Q12470 YN12A_YEAST Transposon Ty1-NL2 Gag polyprotein GN=TY1A-NL2 PE=2 SV=1, Q12485 YG12A_YEAST Transposon Ty1-GR2 Gag polyprotein GN=TY1A-GR2 PE=2 SV=1, Q6Q5H1 YP14A_YEAST Transposon Ty1-PR3 Gag polyprotein GN=TY1A-PR3 PE=1 SV=2, Q92392 YO11A_YEAST Transposon Ty1-OL Gag polyprotein GN=TY1A-OL PE=2 SV=1
OG0000001	O13527 YA11B_YEAST Truncated transposon Ty1-A Gag-Pol polyprotein GN=TY1B-A PE=3 SV=3, O13535 YH11B_YEAST Transposon Ty1-H Gag-Pol polyprotein GN=TY1B-H PE=3 SV=1, P0C2I2 YD14B_YEAST Transposon Ty1-DR5 Gag-Pol polyprotein GN=TY1B-DR5 PE=3 SV=1, P0C2I3 YD15B_YEAST Transposon Ty1-DR6 Gag-Pol polyprotein GN=TY1B-DR6 PE=3 SV=1, P0C2I5 YL12B_YEAST Transposon Ty1-LR2 Gag-Pol polyprotein GN=TY1B-LR2 PE=3 SV=1, P0C2I6 YL13B_YEAST Transposon Ty1-LR3 Gag-Pol polyprotein GN=TY1B-LR3 PE=3 SV=1, P0C2I9 YP12B_YEAST Transposon Ty1-PR1 Gag-Pol polyprotein GN=TY1B-PR1 PE=3 SV=1, P0C2J0 YP13B_YEAST Transposon Ty1-PR2 Gag-Pol polyprotein GN=TY1B-PR2 PE=3 SV=1, P0C2J1 YP14B_YEAST Transposon Ty1-PR3 Gag-Pol polyprotein GN=TY1B-PR3 PE=1 SV=1, P0C2J3 YL21B_YEAST Transposon Ty2-LR1 Gag-Pol polyprotein GN=TY2B-LR1 PE=3 SV=1, P0CX63 YF21B_YEAST Transposon Ty2-F Gag-Pol polyprotein GN=TY2B-F PE=3 SV=1, P0CX64 YG22B_YEAST Transposon Ty2-GR2 Gag-Pol polyprotein GN=TY2B-GR2 PE=3 SV=1, P25384 YC21B_YEAST Transposon Ty2-C Gag-Pol polyprotein GN=TY2B-C PE=3 SV=2, P47098 YJ11B_YEAST Transposon Ty1-JR1 Gag-Pol polyprotein GN=TY1B-JR1 PE=3 SV=3, P47100 YJ12B_YEAST Transposon Ty1-JR2 Gag-Pol polyprotein GN=TY1B-JR2 PE=3 SV=3, Q03434 YM12B_YEAST Transposon Ty1-ML2 Gag-Pol polyprotein GN=TY1B-ML2 PE=3 SV=2, Q03494 YD22B_YEAST Transposon Ty2-DR2 Gag-Pol polyprotein GN=TY2B-DR2 PE=3 SV=2, Q03612 YE11B_YEAST Transposon Ty1-ER1 Gag-Pol polyprotein GN=TY1B-ER1 PE=3 SV=1, Q03619 YE12B_YEAST Transposon Ty1-ER2 Gag-Pol polyprotein GN=TY1B-ER2 PE=3 SV=1, Q03855 YD11B_YEAST Transposon Ty1-DR1 Gag-Pol polyprotein GN=TY1B-DR1 PE=3 SV=2, Q04214 YM13B_YEAST Transposon Ty1-MR1 Gag-Pol polyprotein GN=TY1B-MR1 PE=1 SV=2, Q04670 YM14B_YEAST Transposon Ty1-MR2 Gag-Pol polyprotein GN=TY1B-MR2 PE=3 SV=2, Q04711 YM11B_YEAST Transposon Ty1-ML1 Gag-Pol polyprotein GN=TY1B-ML1 PE=3 SV=2, Q07791 YD23B_YEAST Transposon Ty2-DR3 Gag-Pol polyprotein GN=TY2B-DR3 PE=3 SV=1, Q07793 YD13B_YEAST Transposon Ty1-DR4 Gag-Pol polyprotein GN=TY1B-DR4 PE=3 SV=2, Q12088 YL11B_YEAST Transposon Ty1-LR1 Gag-Pol polyprotein GN=TY1B-LR1 PE=3 SV=1, Q12112 YN11B_YEAST Transposon Ty1-NL1 Gag-Pol polyprotein GN=TY1B-NL1 PE=3 SV=1, Q12113 YO21B_YEAST Transposon Ty2-OR1 Gag-Pol polyprotein GN=TY2B-OR1 PE=3 SV=1, Q12141 YG11B_YEAST Transposon Ty1-GR1 Gag-Pol polyprotein GN=TY1B-GR1 PE=3 SV=1, Q12193 YB12B_YEAST Transposon Ty1-BR Gag-Pol polyprotein GN=TY1B-BR PE=3 SV=1, Q12269 YG12B_YEAST Transposon Ty1-GR2 Gag-Pol polyprotein GN=TY1B-GR2 PE=3 SV=3, Q12273 YO11B_YEAST Transposon Ty1-OL Gag-Pol polyprotein GN=TY1B-OL PE=3 SV=1, Q12316 YG13B_YEAST Transposon Ty1-GR3 Gag-Pol polyprotein GN=TY1B-GR3 PE=3 SV=3, Q12414 YP11B_YEAST Transposon Ty1-PL Gag-Pol polyprotein GN=TY1B-PL PE=3 SV=1, Q12472 YD21B_YEAST Transposon Ty2-DR1 Gag-Pol polyprotein GN=TY2B-DR1 PE=1 SV=3, Q12490 YB11B_YEAST Transposon Ty1-BL Gag-Pol polyprotein GN=TY1B-BL PE=1 SV=1, Q12491 YB21B_YEAST Transposon Ty2-B Gag-Pol polyprotein GN=TY2B-B PE=3 SV=1, Q12501 YO22B_YEAST Transposon Ty2-OR2 Gag-Pol polyprotein GN=TY2B-OR2 PE=1 SV=1, Q92393 YO12B_YEAST Transposon Ty1-OR Gag-Pol polyprotein GN=TY1B-OR PE=3 SV=1, Q99231 YD12B_YEAST Transposon Ty1-DR3 Gag-Pol polyprotein GN=TY1B-DR3 PE=1 SV=2, Q99337 YN12B_YEAST Transposon Ty1-NL2 Gag-Pol polyprotein GN=TY1B-NL2 PE=3 SV=1	
OG0000002		O13527 YA11B_YEAST Truncated transposon Ty1-A Gag-Pol polyprotein GN=TY1B-A PE=3 SV=3, O13535 YH11B_YEAST Transposon Ty1-H Gag-Pol polyprotein GN=TY1B-H PE=3 SV=1, P0C2I2 YD14B_YEAST Transposon Ty1-DR5 Gag-Pol polyprotein GN=TY1B-DR5 PE=3 SV=1, P0C2I3 YD15B_YEAST Transposon Ty1-DR6 Gag-Pol polyprotein GN=TY1B-DR6 PE=3 SV=1, P0C2I5 YL12B_YEAST Transposon Ty1-LR2 Gag-Pol polyprotein GN=TY1B-LR2 PE=3 SV=1, P0C2I6 YL13B_YEAST Transposon Ty1-LR3 Gag-Pol polyprotein GN=TY1B-LR3 PE=3 SV=1, P0C2I9 YP12B_YEAST Transposon Ty1-PR1 Gag-Pol polyprotein GN=TY1B-PR1 PE=3 SV=1, P0C2J0 YP13B_YEAST Transposon Ty1-PR2 Gag-Pol polyprotein GN=TY1B-PR2 PE=3 SV=1, P0C2J1 YP14B_YEAST Transposon Ty1-PR3 Gag-Pol polyprotein GN=TY1B-PR3 PE=1 SV=1, P0C2J3 YL21B_YEAST Transposon Ty2-LR1 Gag-Pol polyprotein GN=TY2B-LR1 PE=3 SV=1, P0CX63 YF21B_YEAST Transposon Ty2-F Gag-Pol polyprotein GN=TY2B-F PE=3 SV=1, P0CX64 YG22B_YEAST Transposon Ty2-GR2 Gag-Pol polyprotein GN=TY2B-GR2 PE=3 SV=1, P25384 YC21B_YEAST Transposon Ty2-C Gag-Pol polyprotein GN=TY2B-C PE=3 SV=2, P47098 YJ11B_YEAST Transposon Ty1-JR1 Gag-Pol polyprotein GN=TY1B-JR1 PE=3 SV=3, P47100 YJ12B_YEAST Transposon Ty1-JR2 Gag-Pol polyprotein GN=TY1B-JR2 PE=3 SV=3, Q03434 YM12B_YEAST Transposon Ty1-ML2 Gag-Pol polyprotein GN=TY1B-ML2 PE=3 SV=2, Q03494 YD22B_YEAST Transposon Ty2-DR2 Gag-Pol polyprotein GN=TY2B-DR2 PE=3 SV=2, Q03612 YE11B_YEAST Transposon Ty1-ER1 Gag-Pol polyprotein GN=TY1B-ER1 PE=3 SV=1, Q03619 YE12B_YEAST Transposon Ty1-ER2 Gag-Pol polyprotein GN=TY1B-ER2 PE=3 SV=1, Q03855 YD11B_YEAST Transposon Ty1-DR1 Gag-Pol polyprotein GN=TY1B-DR1 PE=3 SV=2, Q04214 YM13B_YEAST Transposon Ty1-MR1 Gag-Pol polyprotein GN=TY1B-MR1 PE=1 SV=2, Q04670 YM14B_YEAST Transposon Ty1-MR2 Gag-Pol polyprotein GN=TY1B-MR2 PE=3 SV=2, Q04711 YM11B_YEAST Transposon Ty1-ML1 Gag-Pol polyprotein GN=TY1B-ML1 PE=3 SV=2, Q07791 YD23B_YEAST Transposon Ty2-DR3 Gag-Pol polyprotein GN=TY2B-DR3 PE=3 SV=1, Q07793 YD13B_YEAST Transposon Ty1-DR4 Gag-Pol polyprotein GN=TY1B-DR4 PE=3 SV=2, Q12088 YL11B_YEAST Transposon Ty1-LR1 Gag-Pol polyprotein GN=TY1B-LR1 PE=3 SV=1, Q12112 YN11B_YEAST Transposon Ty1-NL1 Gag-Pol polyprotein GN=TY1B-NL1 PE=3 SV=1, Q12113 YO21B_YEAST Transposon Ty2-OR1 Gag-Pol polyprotein GN=TY2B-OR1 PE=3 SV=1, Q12141 YG11B_YEAST Transposon Ty1-GR1 Gag-Pol polyprotein GN=TY1B-GR1 PE=3 SV=1, Q12193 YB12B_YEAST Transposon Ty1-BR Gag-Pol polyprotein GN=TY1B-BR PE=3 SV=1, Q12269 YG12B_YEAST Transposon Ty1-GR2 Gag-Pol polyprotein GN=TY1B-GR2 PE=3 SV=3, Q12273 YO11B_YEAST Transposon Ty1-OL Gag-Pol polyprotein GN=TY1B-OL PE=3 SV=1, Q12316 YG13B_YEAST Transposon Ty1-GR3 Gag-Pol polyprotein GN=TY1B-GR3 PE=3 SV=3, Q12414 YP11B_YEAST Transposon Ty1-PL Gag-Pol polyprotein GN=TY1B-PL PE=3 SV=1, Q12472 YD21B_YEAST Transposon Ty2-DR1 Gag-Pol polyprotein GN=TY2B-DR1 PE=1 SV=3, Q12490 YB11B_YEAST Transposon Ty1-BL Gag-Pol polyprotein GN=TY1B-BL PE=1 SV=1, Q12491 YB21B_YEAST Transposon Ty2-B Gag-Pol polyprotein GN=TY2B-B PE=3 SV=1, Q12501 YO22B_YEAST Transposon Ty2-OR2 Gag-Pol polyprotein GN=TY2B-OR2 PE=1 SV=1, Q92393 YO12B_YEAST Transposon Ty1-OR Gag-Pol polyprotein GN=TY1B-OR PE=3 SV=1, Q99231 YD12B_YEAST Transposon Ty1-DR3 Gag-Pol polyprotein GN=TY1B-DR3 PE=1 SV=2, Q99337 YN12B_YEAST Transposon Ty1-NL2 Gag-Pol polyprotein GN=TY1B-NL2 PE=3 SV=1
OG0000003	O13559 YRF14_YEAST Y' element ATP-dependent helicase protein 1 copy 4 GN=YRF1-4 PE=2 SV=1, P0CX14 YRF13_YEAST Y' element ATP-dependent helicase protein 1 copy 3 GN=YRF1-3 PE=2 SV=1, P0CX15 YRF17_YEAST Y' element ATP-dependent helicase protein 1 copy 7 GN=YRF1-7 PE=2 SV=1, P0CX20 YRF11_YEAST Y' element ATP-dependent helicase protein 1 copy 1 GN=YRF1-1 PE=2 SV=1, P0CX21 YRF15_YEAST Y' element ATP-dependent helicase protein 1 copy 5 GN=YRF1-5 PE=2 SV=1, P0CX22 YRF18_YEAST Y' element ATP-dependent helicase protein 1 copy 8 GN=YRF1-8 PE=2 SV=1, P38899 YH18_YEAST Putative uncharacterized protein YHR218W GN=YHR218W PE=4 SV=1, P40105 YRF12_YEAST Y' element ATP-dependent helicase protein 1 copy 2 GN=YRF1-2 PE=2 SV=2, P40434 YIR7_YEAST Y' element ATP-dependent helicase YIL177C GN=YIL177C PE=2 SV=1, P40889 YJW5_YEAST Y' element ATP-dependent helicase YJL225C GN=YJL225C PE=2 SV=2, P53819 YRF16_YEAST Y' element ATP-dependent helicase protein 1 copy 6 GN=YRF1-6 PE=2 SV=1, Q03099 YMN3_YEAST Y' element ATP-dependent helicase YML133C GN=YML133C PE=2 SV=1, Q07888 YL067_YEAST Y' element ATP-dependent helicase YLL067C GN=YLL067C PE=2 SV=2, Q08995 YP204_YEAST Y' element ATP-dependent helicase YPR204W GN=YPR204W PE=2 SV=1, Q3E7X8 YE077_YEAST Y' element ATP-dependent helicase YEL077C GN=YEL077C PE=2 SV=1, Q3E7Y5 YB111_YEAST Uncharacterized helicase-like protein YBL111C GN=YBL111C PE=1 SV=1, Q99208 YL066_YEAST Y' element ATP-dependent helicase YLL066C GN=YLL066C PE=2 SV=2	
OG0000004		O13559 YRF14_YEAST Y' element ATP-dependent helicase protein 1 copy 4 GN=YRF1-4 PE=2 SV=1, P0CX14 YRF13_YEAST Y' element ATP-dependent helicase protein 1 copy 3 GN=YRF1-3 PE=2 SV=1, P0CX15 YRF17_YEAST Y' element ATP-dependent helicase protein 1 copy 7 GN=YRF1-7 PE=2 SV=1, P0CX20 YRF11_YEAST Y' element ATP-dependent helicase protein 1 copy 1 GN=YRF1-1 PE=2 SV=1, P0CX21 YRF15_YEAST Y' element ATP-dependent helicase protein 1 copy 5 GN=YRF1-5 PE=2 SV=1, P0CX22 YRF18_YEAST Y' element ATP-dependent helicase protein 1 copy 8 GN=YRF1-8 PE=2 SV=1, P38899 YH18_YEAST Putative uncharacterized protein YHR218W GN=YHR218W PE=4 SV=1, P40105 YRF12_YEAST Y' element ATP-dependent helicase protein 1 copy 2 GN=YRF1-2 PE=2 SV=2, P40434 YIR7_YEAST Y' element ATP-dependent helicase YIL177C GN=YIL177C PE=2 SV=1, P40889 YJW5_YEAST Y' element ATP-dependent helicase YJL225C GN=YJL225C PE=2 SV=2, P53819 YRF16_YEAST Y' element ATP-dependent helicase protein 1 copy 6 GN=YRF1-6 PE=2 SV=1, Q03099 YMN3_YEAST Y' element ATP-dependent helicase YML133C GN=YML133C PE=2 SV=1, Q07888 YL067_YEAST Y' element ATP-dependent helicase YLL067C GN=YLL067C PE=2 SV=2, Q08995 YP204_YEAST Y' element ATP-dependent helicase YPR204W GN=YPR204W PE=2 SV=1, Q3E7X8 YE077_YEAST Y' element ATP-dependent helicase YEL077C GN=YEL077C PE=2 SV=1, Q3E7Y5 YB111_YEAST Uncharacterized helicase-like protein YBL111C GN=YBL111C PE=1 SV=1, Q99208 YL066_YEAST Y' element ATP-dependent helicase YLL066C GN=YLL066C PE=2 SV=2
OG0000005	P0CX94 YE190_YEAST UPF0479 membrane protein YER190C-B GN=YER190C-B PE=3 SV=1, P0CX95 YE07A_YEAST UPF0479 membrane protein YEL077W-A GN=YEL077W-A PE=3 SV=1, P0CX96 YG296_YEAST UPF0479 membrane protein YGR296C-B GN=YGR296C-B PE=3 SV=1, P0CX97 YP283_YEAST UPF0479 membrane protein YPL283W-B GN=YPL283W-B PE=3 SV=1, P0CX98 YP20A_YEAST UPF0479 membrane protein YPR204C-A GN=YPR204C-A PE=3 SV=1, P0CX99 YFG8_YEAST UPF0479 membrane protein YFL068W GN=YFL068W PE=3 SV=1, P0CY00 YL66A_YEAST UPF0479 membrane protein YLL066W-A GN=YLL066W-A PE=3 SV=1, P0CY01 YL67A_YEAST UPF0479 membrane protein YLL067W-A GN=YLL067W-A PE=3 SV=1	P0CX94 YE190_YEAST UPF0479 membrane protein YER190C-B GN=YER190C-B PE=3 SV=1, P0CX95 YE07A_YEAST UPF0479 membrane protein YEL077W-A GN=YEL077W-A PE=3 SV=1, P0CX96 YG296_YEAST UPF0479 membrane protein YGR296C-B GN=YGR296C-B PE=3 SV=1, P0CX97 YP283_YEAST UPF0479 membrane protein YPL283W-B GN=YPL283W-B PE=3 SV=1, P0CX98 YP20A_YEAST UPF0479 membrane protein YPR204C-A GN=YPR204C-A PE=3 SV=1, P0CX99 YFG8_YEAST UPF0479 membrane protein YFL068W GN=YFL068W PE=3 SV=1, P0CY00 YL66A_YEAST UPF0479 membrane protein YLL066W-A GN=YLL066W-A PE=3 SV=1, P0CY01 YL67A_YEAST UPF0479 membrane protein YLL067W-A GN=YLL067W-A PE=3 SV=1
OG0000006	P0CX12 COS2_YEAST Protein COS2 GN=COS2 PE=1 SV=1, P0CX13 COS3_YEAST Protein COS3 GN=COS3 PE=1 SV=1, P43542 COS4_YEAST Protein COS4 GN=COS4 PE=3 SV=1, P47187 COS5_YEAST Protein COS5 GN=COS5 PE=1 SV=1, P53344 COS6_YEAST Protein COS6 GN=COS6 PE=1 SV=1, P53822 COS1_YEAST Protein COS1 GN=COS1 PE=1 SV=1, Q07788 COS7_YEAST Protein COS7 GN=COS7 PE=1 SV=1	P0CX12 COS2_YEAST Protein COS2 GN=COS2 PE=1 SV=1, P0CX13 COS3_YEAST Protein COS3 GN=COS3 PE=1 SV=1, P43542 COS4_YEAST Protein COS4 GN=COS4 PE=3 SV=1, P47187 COS5_YEAST Protein COS5 GN=COS5 PE=1 SV=1, P53344 COS6_YEAST Protein COS6 GN=COS6 PE=1 SV=1, P53822 COS1_YEAST Protein COS1 GN=COS1 PE=1 SV=1, Q07788 COS7_YEAST Protein COS7 GN=COS7 PE=1 SV=1
OG0000007	P0CE88 PAU1_YEAST Seripauperin-1 GN=PAU1 PE=3 SV=1, P0CE89 PAU14_YEAST Seripauperin-14 GN=PAU14 PE=3 SV=1, P0CE90 PAU6_YEAST Seripauperin-6 GN=PAU6 PE=3 SV=1, P0CE91 PAU18_YEAST Seripauperin-18 GN=PAU18 PE=3 SV=1, P0CE92 PAU8_YEAST Seripauperin-8 GN=PAU8 PE=3 SV=1, P0CE93 PAU11_YEAST Seripauperin-11 GN=PAU11 PE=3 SV=1, P32612 PAU2_YEAST Seripauperin-2 GN=PAU2 PE=3 SV=1, P38155 PAU24_YEAST Seripauperin-24 GN=PAU24 PE=2 SV=1, P38725 PAU13_YEAST Seripauperin-13 GN=PAU13 PE=3 SV=1, P53343 PAU12_YEAST Seripauperin-12 GN=PAU12 PE=3 SV=1, P53427 PAU4_YEAST Seripauperin-4 GN=PAU4 PE=3 SV=1, Q03050 PAU10_YEAST Seripauperin-10 GN=PAU10 PE=3 SV=1, Q08322 PAU20_YEAST Seripauperin-20 GN=PAU20 PE=3 SV=1, Q3E770 PAU9_YEAST Seripauperin-9 GN=PAU9 PE=3 SV=2	
OG0000008		P0CE88 PAU1_YEAST Seripauperin-1 GN=PAU1 PE=3 SV=1, P0CE89 PAU14_YEAST Seripauperin-14 GN=PAU14 PE=3 SV=1, P0CE90 PAU6_YEAST Seripauperin-6 GN=PAU6 PE=3 SV=1, P0CE91 PAU18_YEAST Seripauperin-18 GN=PAU18 PE=3 SV=1, P0CE92 PAU8_YEAST Seripauperin-8 GN=PAU8 PE=3 SV=1, P0CE93 PAU11_YEAST Seripauperin-11 GN=PAU11 PE=3 SV=1, P32612 PAU2_YEAST Seripauperin-2 GN=PAU2 PE=3 SV=1, P38155 PAU24_YEAST Seripauperin-24 GN=PAU24 PE=2 SV=1, P38725 PAU13_YEAST Seripauperin-13 GN=PAU13 PE=3 SV=1, P53343 PAU12_YEAST Seripauperin-12 GN=PAU12 PE=3 SV=1, P53427 PAU4_YEAST Seripauperin-4 GN=PAU4 PE=3 SV=1, Q03050 PAU10_YEAST Seripauperin-10 GN=PAU10 PE=3 SV=1, Q08322 PAU20_YEAST Seripauperin-20 GN=PAU20 PE=3 SV=1, Q3E770 PAU9_YEAST Seripauperin-9 GN=PAU9 PE=3 SV=2
OG0000009	P0CE85 PAU19_YEAST Seripauperin-19 GN=PAU19 PE=3 SV=1, P25610 PAU3_YEAST Seripauperin-3 GN=PAU3 PE=3 SV=1, P35994 PAU16_YEAST Seripauperin-16 GN=PAU16 PE=3 SV=1, P40585 PAU15_YEAST Seripauperin-15 GN=PAU15 PE=3 SV=1, Q07987 PAU23_YEAST Seripauperin-23 GN=PAU23 PE=2 SV=1, Q12370 PAU17_YEAST Seripauperin-17 GN=PAU17 PE=3 SV=1	P0CE85 PAU19_YEAST Seripauperin-19 GN=PAU19 PE=3 SV=1, P25610 PAU3_YEAST Seripauperin-3 GN=PAU3 PE=3 SV=1, P35994 PAU16_YEAST Seripauperin-16 GN=PAU16 PE=3 SV=1, P40585 PAU15_YEAST Seripauperin-15 GN=PAU15 PE=3 SV=1, Q07987 PAU23_YEAST Seripauperin-23 GN=PAU23 PE=2 SV=1, Q12370 PAU17_YEAST Seripauperin-17 GN=PAU17 PE=3 SV=1
