originalGene	condition	significance	direction	P_ref	P_cond	orthoGroup	protName	shortName	MWeigth	SeqLength	GOterms
YHR092C	HiT	TRUE	-1	NaN	NaN	5	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	HXT4	63910	576	glucose transport//transmembrane transport//fructose transport//mannose transport//hexose transport//pentose transport
RDN5-1	HiT	TRUE	-1	NaN	NaN	NaN	NA	NA	NA	NA	
YLR053C	HiT	TRUE	1	NaN	NaN	4	Putative uncharacterized protein YLR053C		12693	108	biological_process
YJR094C	HiT	TRUE	1	NaN	NaN	3	Meiosis-inducing protein 1	IME1	41858	360	transcription, DNA-templated//regulation of transcription from RNA polymerase II promoter//positive regulation of transcription from RNA polymerase II promoter//pseudohyphal growth//sporulation resulting in formation of a cellular spore//regulation of meiotic nuclear division//meiotic cell cycle
YBR001C	HiT	TRUE	1	NaN	NaN	WGD	Probable trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	NTH2	89679	780	trehalose catabolic process//metabolic process//trehalose metabolic process
YCL025C	HiT	TRUE	1	NaN	NaN	WGD	General amino acid permease AGP1 (Asparagine/glutamine permease)	AGP1	69671	633	amino acid transmembrane transport//amino acid transport//transmembrane transport//transport//proline transmembrane transport
YLL055W	HiT	TRUE	-1	NaN	NaN	1	High affinity cysteine transporter	YCT1	58905	531	amino acid transport//transmembrane transport//transport//cysteine transport//ion transmembrane transport
YLR136C	HiT	TRUE	1	NaN	NaN	WGD	mRNA decay factor CTH2 (Cysteine-three-histidine protein 2) (Protein TIS11 homolog) (Protein YTIS11) (TPA-induced sequence protein 11)	TIS11	32314	285	cellular iron ion homeostasis//nuclear-transcribed mRNA catabolic process
YPL265W	HiT	TRUE	1	NaN	NaN	1	Dicarboxylic amino acid permease	DIP5	68097	608	amino acid transmembrane transport//amino acid transport//transmembrane transport//transport
YPL187W	HiT	TRUE	1	NaN	NaN	WGD	Mating factor alpha-1 (Alpha-1 mating pheromone) [Cleaved into: Mating factor alpha]	MF(ALPHA)1	18642	165	mating//sexual reproduction//pheromone-dependent signal transduction involved in conjugation with cellular fusion
YNL270C	HiT	TRUE	1	NaN	NaN	WGD	Basic amino-acid permease	ALP1	64014	573	basic amino acid transport//amino acid transmembrane transport//amino acid transport//transmembrane transport//transport
YDR248C	HiT	TRUE	-1	NaN	NaN	1	Probable gluconokinase (EC 2.7.1.12) (Gluconate kinase)		22175	193	sulfate assimilation//carbohydrate metabolic process//phosphorylation//biological_process//D-gluconate metabolic process//D-gluconate catabolic process
YGR059W	HiT	TRUE	1	NaN	NaN	3	Sporulation-regulated protein 3	SPR3	59845	512	ascospore formation//cell cycle
YBR076W	HiT	TRUE	1	NaN	NaN	4	Protein ECM8 (Extracellular mutant protein 8)	ECM8	41770	354	fungal-type cell wall organization//cell wall organization
YOR100C	HiT	TRUE	1	NaN	NaN	1	Mitochondrial carnitine carrier	CRC1	34754	327	fatty acid metabolic process//transport//transmembrane transport
YBR019C	HiT	TRUE	1	NaN	NaN	1	Bifunctional protein GAL10 [Includes: UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase); Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)]	GAL10	78195	699	galactose catabolic process via UDP-galactose//galactose metabolic process//cellular metabolic process//carbohydrate metabolic process//metabolic process
YAR035W	HiT	TRUE	1	NaN	NaN	1	Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)	YAT1	77766	687	carnitine metabolic process//lipid metabolic process//alcohol metabolic process//fatty acid metabolic process//transport
YLR213C	HiT	TRUE	1	NaN	NaN	3	Probable glycosidase CRR1 (EC 3.2.-.-) (CRH-related protein 1)	CRR1	47356	422	carbohydrate metabolic process//sporulation resulting in formation of a cellular spore//ascospore wall assembly//metabolic process
YOR178C	HiT	TRUE	1	NaN	NaN	WGD	Serine/threonine-protein phosphatase 1 regulatory subunit GAC1	GAC1	88533	793	glycogen biosynthetic process//response to heat//mitotic spindle assembly checkpoint//meiotic nuclear division//negative regulation of transcription from RNA polymerase II promoter//glycogen metabolic process//regulation of catalytic activity
YGR225W	HiT	TRUE	1	NaN	NaN	2	Meiosis-specific APC/C activator protein AMA1 (Activator of meiotic APC/C protein 1) (Sporulation-specific protein 70)	AMA1	67027	593	positive regulation of protein catabolic process//meiosis I//meiotic nuclear division//ascospore formation//ascospore wall assembly//cell division//cell cycle//synaptonemal complex assembly//proteolysis//meiotic chromosome segregation//positive regulation of catalytic activity//meiotic DNA integrity checkpoint//positive regulation of ubiquitin protein ligase activity
YNL196C	HiT	TRUE	1	NaN	NaN	5	Sporulation-specific with a leucine zipper motif protein 1	SLZ1	34318	298	meiotic nuclear division//negative regulation of pseudohyphal growth//sporulation resulting in formation of a cellular spore//mRNA methylation
YKL221W	HiT	TRUE	1	NaN	NaN	1	Probable transporter MCH2	MCH2	52257	473	transmembrane transport//transport
YMR202W	HiT	TRUE	-1	0.107640381695833	0.0759699023583333	1	C-8 sterol isomerase (EC 5.-.-.-) (Delta-8--delta-7 sterol isomerase)	ERG2	24896	222	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process
YML008C	HiT	TRUE	-1	0.739616288666667	0.582830549375	1	Sterol 24-C-methyltransferase (EC 2.1.1.41) (Delta(24)-sterol C-methyltransferase)	ERG6	43431	383	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process//metabolic process//methylation
YGL001C	HiT	TRUE	-1	0.139489458666667	0.0624936611458333	1	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170)	ERG26	38706	349	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process//oxidation-reduction process
YMR189W	HiT	TRUE	-1	0.0996417040041667	0.0567354665458333	1	Glycine dehydrogenase (decarboxylating), mitochondrial (EC 1.4.4.2) (Glycine cleavage system P protein) (Glycine decarboxylase) (Glycine decarboxylase complex subunit P) (Glycine dehydrogenase (aminomethyl-transferring))	GCV2	114451	1034	glycine decarboxylation via glycine cleavage system//glycine metabolic process//one-carbon metabolic process//oxidation-reduction process//glycine catabolic process
YFR023W	HiT	TRUE	1	NaN	NaN	WGD	Protein PES4 (DNA polymerase epsilon suppressor 4)	PES4	70842	611	
YPR192W	HiT	TRUE	-1	NaN	NaN	3	Aquaporin-1	AQY1	32713	305	water transport//ascospore formation//transmembrane transport//transport
YPL272C	HiT	TRUE	-1	NaN	NaN	3	Uncharacterized protein YPL272C		59389	517	alcohol metabolic process//biological_process
YPL171C	HiT	TRUE	-1	0.0672477170541667	0.0187501089041667	1	NADPH dehydrogenase 3 (EC 1.6.99.1) (Old yellow enzyme 3)	OYE3	44920	400	apoptotic process//metabolic process//oxidation-reduction process
YJR115W	HiT	TRUE	1	NaN	NaN	WGD	Uncharacterized protein YJR115W		19049	169	biological_process
YER091C	HiT	TRUE	-1	0.981752144541667	0.778669832833333	1	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Delta-P8 protein) (Methionine synthase, vitamin-B12 independent isozyme)	MET6	85860	767	methionine biosynthetic process//cellular amino acid biosynthetic process//methylation
YGR174W-A	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein YGR174W-A		3395	28	biological_process
