originalGene	condition	significance	direction	P_ref	P_cond	orthoGroup	protName	shortName	MWeigth	SeqLength	GOterms
KMXK_0F02400	HiT	TRUE	-1	NaN	NaN	3	Transcriptional activator/repressor MOT3	MOT3	51,953	461	cellular hyperosmotic response//negative regulation of ergosterol biosynthetic process//negative regulation of transcription by RNA polymerase II//positive regulation of transcription by RNA polymerase II
KMXK_0C03420	HiT	TRUE	-1	NaN	NaN	1	Aquaporin-2	AQY1	33,943	309	cellular response to freezing//cellular response to osmotic stress//single-species biofilm formation on inanimate substrate//water transport
KMXK_0A02940	HiT	TRUE	-1	NaN	NaN	2	NA	NA	NA	NA	carbohydrate transport//transmembrane transport
KMXK_0C00190	HiT	TRUE	-1	NaN	NaN	2	Probable proline-specific permease put4	PUT4	63,153	569	amino acid transmembrane transport
KMXK_0B03310	HiT	TRUE	-1	NaN	NaN	3	Uncharacterized protein		39,605	351	cellular process
KMXK_0F03060	HiT	TRUE	1	NaN	NaN	4	Lysine-rich arabinogalactan protein 19		25,853	268	
KMXK_0G00120	HiT	TRUE	-1	NaN	NaN	5	NA	NA	NA	NA	flocculation
KMXK_0A04050	HiT	TRUE	1	NaN	NaN	3	RRM	PES4	104,924	926	
KMXK_0A04840	HiT	TRUE	1	NaN	NaN	2	Cell wall synthesis protein KRE9	KRE9	30,920	274	(1->6)-beta-D-glucan biosynthetic process//cell wall biogenesis//fungal-type cell wall organization
KMXK_0F02790	HiT	TRUE	-1	NaN	NaN	2	Pheromone alpha factor receptor	STE2	48,544	433	cell projection assembly//cytogamy//pheromone-dependent signal transduction involved in conjugation with cellular fusion//protein homooligomerization
KMXK_0D03410	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein YOL098C		118,610	1038	metabolic process
KMXK_0A08350	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein C11D3.14c		140,148	1275	metabolic process
KMXK_0D02960	HiT	TRUE	1	NaN	NaN	4	V-type proton ATPase catalytic subunit A		39,226	353	
KMXK_0D01300	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein	MUM2	34,017	303	meiotic cell cycle//mRNA methylation//negative regulation of pseudohyphal growth//premeiotic DNA replication
KMXK_0A08360	HiT	TRUE	1	NaN	NaN	5	Probable transporter SEO1	FEN2	58,401	513	transmembrane transport
KMXK_0C07260	HiT	TRUE	1	NaN	NaN	2	Phosphoenolpyruvate carboxykinase [ATP]	PCK1	60,453	543	gluconeogenesis//phosphorylation
KMXK_0E02710	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		57,699	499	
KMXK_0A00370	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		19,752	177	
KMXK_0F03310	HiT	TRUE	1	NaN	NaN	2	Malate synthase (EC 2.3.3.9)	MLS1	62,793	555	allantoin catabolic process//glyoxylate cycle//purine nucleobase metabolic process//tricarboxylic acid cycle
KMXK_0D01720	HiT	TRUE	-1	NaN	NaN	1	Putative aryl-alcohol dehydrogenase YPL088W		45,695	405	cellular aldehyde metabolic process//oxidation-reduction process
KMXK_0C00140	HiT	TRUE	-1	NaN	NaN	5	Siderophore iron transporter mirA	mirA	70,480	631	transmembrane transport
KMXK_0D05590	HiT	TRUE	1	NaN	NaN	2	Cell membrane protein YLR414C	PUN1	30,440	270	fungal-type cell wall organization//protein complex oligomerization
KMXK_0H01000	HiT	TRUE	1	NaN	NaN	1	Protein yippee-like	MOH1	14,389	124	
KMXK_0C07380	HiT	TRUE	-1	NaN	NaN	5	NA	NA	NA	NA	
KMXK_0E04050	HiT	TRUE	1	NaN	NaN	1	Probable 26S proteasome regulatory subunit p27	NAS2	25,066	222	
KMXK_0F05840	HiT	TRUE	1	NaN	NaN	4	DUP super family		22,050	193	
KMXK_0H02920	HiT	TRUE	-1	NaN	NaN	4	NA	NA	NA	NA	
KMXK_0A01830	HiT	TRUE	1	NaN	NaN	2	Uncharacterized hydrolase HI0588		50,266	455	metabolic process
KMXK_0A08370	HiT	TRUE	1	NaN	NaN	3	Siderophore iron transporter ARN2	ARN2	69,880	619	siderophore metabolic process//siderophore transport//transmembrane transport
KMXK_0H02210	HiT	TRUE	-1	NaN	NaN	2	NA	NA	NA	NA	carbon catabolite activation of transcription from RNA polymerase II promoter//regulation of transcription from RNA polymerase II promoter in response to salt stress
