originalGene	condition	significance	direction	P_ref	P_cond	orthoGroup	protName	shortName	MWeigth	SeqLength	GOterms
CENPK1137D_438	HiT	TRUE	1	NaN	NaN	5	Aim6p		44,383	390	biological_process
CENPK1137D_1386	HiT	TRUE	1	NaN	NaN	3	Ime1p		41,858	360	transcription, DNA-templated//regulation of transcription from RNA polymerase II promoter//positive regulation of transcription from RNA polymerase II promoter//pseudohyphal growth//sporulation resulting in formation of a cellular spore//regulation of meiotic nuclear division//meiotic cell cycle
CENPK1137D_4545	HiT	TRUE	1	NaN	NaN	1	Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase)		89,673	780	trehalose catabolic process//metabolic process//response to stress//trehalose metabolic process
CENPK1137D_4476	HiT	TRUE	1	NaN	NaN	3	Agp1p		69,671	633	amino acid transmembrane transport//amino acid transport//transmembrane transport//transport//proline transmembrane transport
CENPK1137D_870	HiT	TRUE	-1	NaN	NaN	3	Yct1p		58,905	531	amino acid transport//transmembrane transport//transport//cysteine transport//ion transmembrane transport
CENPK1137D_521	HiT	TRUE	1	NaN	NaN	1	Tis11p		32,314	285	cellular iron ion homeostasis//nuclear-transcribed mRNA catabolic process
CENPK1137D_1525	HiT	TRUE	1	NaN	NaN	2	Dip5p		68,140	608	amino acid transmembrane transport//amino acid transport//transmembrane transport//transport
CENPK1137D_2770	HiT	TRUE	1	NaN	NaN	2	Alp1p		64,067	574	basic amino acid transport//amino acid transmembrane transport//amino acid transport//transmembrane transport//transport
CENPK1137D_1940	HiT	TRUE	1	NaN	NaN	2	Mating factor alpha		16,105	144	mating//sexual reproduction//pheromone-dependent signal transduction involved in conjugation with cellular fusion
CENPK1137D_3026	HiT	TRUE	1	NaN	NaN	3	Spr3p		59,845	512	ascospore formation//cell cycle
CENPK1137D_4620	HiT	TRUE	1	NaN	NaN	4	Ecm8p		41,770	354	fungal-type cell wall organization//cell wall organization
CENPK1137D_4072	HiT	TRUE	-1	NaN	NaN	1	Gluconokinase (EC 2.7.1.12)		22,175	193	sulfate assimilation//carbohydrate metabolic process//phosphorylation//biological_process//D-gluconate metabolic process//D-gluconate catabolic process
CENPK1137D_4336	HiT	FALSE	1	NaN	NaN	3	Gnp1p		73,598	663	amino acid transmembrane transport//amino acid transport//transmembrane transport//transport//proline transmembrane transport
CENPK1137D_4563	HiT	TRUE	1	NaN	NaN	1	Gal10p		78,114	699	galactose catabolic process via UDP-galactose//galactose metabolic process//cellular metabolic process//carbohydrate metabolic process//metabolic process
CENPK1137D_2119	HiT	TRUE	1	NaN	NaN	1	Crc1p		34,754	327	fatty acid metabolic process//transport//transmembrane transport
CENPK1137D_4859	HiT	TRUE	-1	NaN	NaN	5	Uncharacterized protein (Fragment)		8,659	81	
CENPK1137D_591	HiT	TRUE	1	NaN	NaN	3	Crr1p		47,356	422	carbohydrate metabolic process//sporulation resulting in formation of a cellular spore//ascospore wall assembly//metabolic process
CENPK1137D_3192	HiT	TRUE	1	NaN	NaN	2	Ama1p		67,027	593	positive regulation of protein catabolic process//meiosis I//meiotic nuclear division//ascospore formation//ascospore wall assembly//cell division//cell cycle//synaptonemal complex assembly//proteolysis//meiotic chromosome segregation//positive regulation of catalytic activity//meiotic DNA integrity checkpoint//positive regulation of ubiquitin protein ligase activity
CENPK1137D_2486	HiT	TRUE	1	NaN	NaN	4	Slz1p		34,318	298	meiotic nuclear division//negative regulation of pseudohyphal growth//sporulation resulting in formation of a cellular spore//mRNA methylation
CENPK1137D_2196	HiT	TRUE	1	NaN	NaN	2	Gac1p		88,533	793	glycogen biosynthetic process//response to heat//mitotic spindle assembly checkpoint//meiotic nuclear division//negative regulation of transcription from RNA polymerase II promoter//glycogen metabolic process//regulation of catalytic activity
CENPK1137D_1113	HiT	TRUE	1	NaN	NaN	1	Mch2p		52,257	473	transmembrane transport//transport
CENPK1137D_3406	HiT	TRUE	1	NaN	NaN	3	Pes4p		70,842	611	
CENPK1137D_239	HiT	TRUE	-1	0.107640381695833	0.0759699023583333	1	Fit3p		19,836	204	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process
CENPK1137D_20	HiT	TRUE	-1	0.739616288666667	0.582830549375	2	Esc8p		82,232	714	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process//metabolic process//methylation
CENPK1137D_225	HiT	TRUE	-1	0.0996417040041667	0.0567354665458333	1	Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)		54,520	486	glycine decarboxylation via glycine cleavage system//glycine metabolic process//one-carbon metabolic process//oxidation-reduction process//glycine catabolic process
CENPK1137D_2545	HiT	FALSE	-1	NaN	NaN	1	Uncharacterized protein		39,329	360	
CENPK1137D_2971	HiT	TRUE	-1	0.139489458666667	0.0624936611458333	1	Erg26p		38,706	349	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process//oxidation-reduction process
CENPK1137D_1410	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein		19,049	169	biological_process
CENPK1137D_3805	HiT	FALSE	1	NaN	NaN	3	Phosphoglycerate mutase (EC 5.4.2.11)		36,073	311	glycolytic process//biological_process//metabolic process
CENPK1137D_5081	HiT	FALSE	-1	NaN	NaN	5	Uncharacterized protein		28,882	265	biological_process
CENPK1137D_1744	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		59,402	517	alcohol metabolic process//biological_process
CENPK1137D_1885	HiT	TRUE	-1	NaN	NaN	1	Aqy1p		32,713	305	water transport//ascospore formation//transmembrane transport//transport
CENPK1137D_1527	HiT	TRUE	-1	NaN	NaN	2	Oye3p		44,920	400	apoptotic process//metabolic process//oxidation-reduction process
CENPK1137D_4614	HiT	TRUE	1	NaN	NaN	3	Tat1p		68,758	619	amino acid transport//transmembrane transport//transport//tyrosine transport//tryptophan transport//amino acid transmembrane transport
CENPK1137D_3516	HiT	FALSE	1	NaN	NaN	4	Uncharacterized protein		27,215	233	biological_process
CENPK1137D_3503	HiT	TRUE	-1	0.981752144541667	0.778669832833333	2	Met6p		85,830	767	methionine biosynthetic process//cellular amino acid biosynthetic process//methylation
CENPK1137D_3292	HiT	TRUE	1	NaN	NaN	4	Spo74p		47,700	413	ascospore formation
CENPK1137D_1642	HiT	TRUE	-1	NaN	NaN	2	Pdr12p		171,065	1511	transport//organic acid transport
CENPK1137D_5334	HiT	TRUE	-1	0.636062651875	0.5126073645	2	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)		53,543	489	pentose-phosphate shunt//pentose-phosphate shunt, oxidative branch//cellular response to oxidative stress//oxidation-reduction process//D-gluconate metabolic process
CENPK1137D_442	HiT	FALSE	-1	0.0795536570916667	0.0840287253458333	1	6-phosphogluconolactonase-like protein		34,559	315	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process//fatty acid biosynthetic process//oxidation-reduction process
CENPK1137D_2195	HiT	FALSE	1	NaN	NaN	4	Mpc54p		54,358	464	vesicle docking//sporulation resulting in formation of a cellular spore//meiotic nuclear division//ascospore wall assembly//cell division//cell cycle
CENPK1137D_3459	HiT	FALSE	-1	0.262544014375	0.215996967958333	2	His1p		32,281	297	histidine biosynthetic process
CENPK1137D_5119	HiT	TRUE	-1	NaN	NaN	5	Uncharacterized protein		10,271	95	nitrogen compound metabolic process//autophagy of mitochondrion
CENPK1137D_3027	HiT	TRUE	-1	NaN	NaN	1	Erg25p		36,469	309	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process//fatty acid biosynthetic process//oxidation-reduction process
CENPK1137D_2605	HiT	TRUE	1	NaN	NaN	3	Mlf3p		49,210	452	response to drug
CENPK1137D_5408	HiT	TRUE	1	NaN	NaN	3	Mip6p		75,906	659	mRNA export from nucleus
CENPK1137D_2393	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein		56,110	515	biological_process//transmembrane transport//transport
CENPK1137D_5214	HiT	TRUE	-1	NaN	NaN	2	Pcl5p		26,467	229	cell division//negative regulation of sequence-specific DNA binding transcription factor activity//regulation of cyclin-dependent protein serine/threonine kinase activity//cell cycle//negative regulation of macroautophagy//regulation of protein stability
CENPK1137D_2568	HiT	TRUE	-1	0.172950942875	0.0950788070375	1	Cyb5p		13,297	120	sterol biosynthetic process//electron transport chain//transport//oxidation-reduction process
CENPK1137D_3402	HiT	TRUE	-1	NaN	NaN	5	Uncharacterized protein		25,635	232	
CENPK1137D_91	HiT	TRUE	-1	0.284662760083333	0.205566316	2	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS); Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase)]	ARG7	47,849	441	ornithine biosynthetic process//arginine biosynthetic process//cellular amino acid biosynthetic process//fungal-type cell wall organization//metabolic process
CENPK1137D_2456	HiT	TRUE	-1	0.238008190041667	0.198849381166667	2	Met22p		39,122	357	sulfur compound metabolic process//hyperosmotic salinity response//sulfate assimilation//methionine biosynthetic process//response to stress//dephosphorylation//phosphatidylinositol phosphorylation
CENPK1137D_3861	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		23,245	200	biological_process
CENPK1137D_3412	HiT	FALSE	1	NaN	NaN	2	Ptr3p		76,286	678	response to amino acid
CENPK1137D_723	HiT	TRUE	-1	0.950581215083333	0.703286002458333	2	Transaldolase (EC 2.2.1.2)		37,036	335	carbohydrate metabolic process//pentose-phosphate shunt
CENPK1137D_2567	HiT	TRUE	-1	0.112688707704167	0.0648189987541667	1	Dbp2p		49,062	434	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay//rRNA processing//ribosome biogenesis//obsolete ATP catabolic process//nuclear polyadenylation-dependent mRNA catabolic process//messenger ribonucleoprotein complex assembly
CENPK1137D_57	HiT	FALSE	-1	NaN	NaN	2	Yke2p		13,284	114	borate transport//drug transmembrane transport//transmembrane transport//transport//borate transmembrane transport
CENPK1137D_648	HiT	FALSE	1	NaN	NaN	2	Pig1p		74,272	648	regulation of catalytic activity//glycogen biosynthetic process//regulation of glycogen biosynthetic process
CENPK1137D_3615	HiT	TRUE	-1	NaN	NaN	1	Yef1p		55,849	495	phosphorylation//metabolic process//NADP biosynthetic process//NAD metabolic process
CENPK1137D_1024	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		66,584	568	biological_process
CENPK1137D_4844	HiT	FALSE	1	NaN	NaN	5	Uncharacterized protein		16,811	144	biological_process
CENPK1137D_1111	HiT	TRUE	1	NaN	NaN	2	Pck1p		60,983	549	gluconeogenesis
CENPK1137D_3570	HiT	FALSE	-1	0.118842371	0.0923504117125	1	Uncharacterized protein		36,789	326	biological_process
CENPK1137D_4075	HiT	FALSE	-1	0.308180003875	0.295374684	2	Ggc1p		33,215	300	guanine nucleotide transport//cellular iron ion homeostasis//mitochondrial genome maintenance//transmembrane transport//transport
CENPK1137D_4595	HiT	FALSE	1	NaN	NaN	4	Reg2p		38,747	338	negative regulation of transcription from RNA polymerase II promoter//regulation of catalytic activity
CENPK1137D_3141	HiT	TRUE	-1	0.37610615725	0.184947083	1	Erg1p		55,126	496	ergosterol biosynthetic process//metabolic process//oxidation-reduction process
CENPK1137D_5187	HiT	FALSE	1	NaN	NaN	3	Pci8p		51,288	444	
CENPK1137D_3444	HiT	TRUE	-1	0.566845452791667	0.428653264208333	1	Adenosylhomocysteinase (EC 3.3.1.1)		49,126	449	one-carbon metabolic process//phosphatidylcholine biosynthetic process//triglyceride metabolic process//methionine metabolic process//S-adenosylhomocysteine catabolic process
CENPK1137D_1913	HiT	FALSE	-1	0.0706296729791667	0.0751790111458333	1	Pus1p		62,143	544	RNA modification//tRNA pseudouridine synthesis//pseudouridine synthesis//snRNA pseudouridine synthesis//mRNA pseudouridine synthesis
CENPK1137D_3491	HiT	TRUE	-1	0.221211547708333	0.195379344791667	1	Ser3p		51,193	469	serine family amino acid biosynthetic process//oxidation-reduction process//metabolic process//L-serine biosynthetic process
CENPK1137D_4349	HiT	TRUE	1	NaN	NaN	1	Sps1p		55,704	490	ascospore formation//ascospore wall assembly//protein phosphorylation
CENPK1137D_1820	HiT	FALSE	-1	NaN	NaN	2	Ant1p		36,367	328	fatty acid beta-oxidation//ATP transport//proton transport//ion transport//peroxisome organization//transport
CENPK1137D_4096	HiT	TRUE	1	NaN	NaN	2	Don1p		40,162	365	sporulation resulting in formation of a cellular spore//meiotic nuclear division//ascospore wall assembly//cell division//cell cycle
CENPK1137D_3475	HiT	FALSE	1	NaN	NaN	3	Rgi1p		19,017	161	energy reserve metabolic process
CENPK1137D_555	HiT	FALSE	1	NaN	NaN	1	Rfx1p		85,786	771	regulation of transcription, DNA-templated//negative regulation of transcription from RNA polymerase II promoter//positive regulation of transcription from RNA polymerase II promoter
CENPK1137D_363	HiT	FALSE	-1	0.275853218875	0.20525177975	3	Tim9p		10,202	87	alcohol metabolic process//furaldehyde metabolic process//oxidation-reduction process//cellular aldehyde metabolic process
CENPK1137D_5314	HiT	TRUE	-1	0.301313633208333	0.292454478625	1	6-phosphogluconolactonase-like protein		27,784	249	carbohydrate metabolic process//pentose-phosphate shunt//pentose-phosphate shunt, oxidative branch
CENPK1137D_73	HiT	FALSE	1	NaN	NaN	2	Cox19p		11,105	98	dehydro-D-arabinono-1,4-lactone biosynthetic process//oxidation-reduction process
CENPK1137D_3054	HiT	TRUE	-1	NaN	NaN	2	Catalase (EC 1.11.1.6)		64,537	562	response to reactive oxygen species//response to oxidative stress//hydrogen peroxide catabolic process//oxidation-reduction process//cellular response to salt stress
CENPK1137D_5342	HiT	FALSE	-1	0.129571740741667	0.0934954845208333	1	Erg9p		51,750	444	cholesterol biosynthetic process//ergosterol biosynthetic process//isoprenoid biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process//metabolic process//biosynthetic process//oxidation-reduction process
CENPK1137D_4755	HiT	FALSE	1	NaN	NaN	5	Uncharacterized protein		7,718	67	biological_process
CENPK1137D_4806	HiT	FALSE	-1	0.411382358041667	0.343007769416667	2	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)		39,749	370	aromatic amino acid family biosynthetic process//cellular amino acid biosynthetic process//metabolic process//biosynthetic process//response to stress//chorismate biosynthetic process
CENPK1137D_1314	HiT	FALSE	-1	0.338368255666667	0.242080222625	2	Ilv3p		62,861	585	metabolic process//isoleucine biosynthetic process//valine biosynthetic process//branched-chain amino acid biosynthetic process
CENPK1137D_1759	HiT	FALSE	-1	0.0794274758166667	0.0767156858083333	1	Ymc1p		33,376	307	mitochondrial transport//transport//organic acid transport
CENPK1137D_1495	HiT	FALSE	1	NaN	NaN	1	Glg2p		44,576	380	glycogen biosynthetic process
CENPK1137D_1214	HiT	TRUE	-1	0.304351805083333	0.266280777125	1	Arg3p		37,845	338	ornithine metabolic process//arginine biosynthetic process//cellular amino acid biosynthetic process//cellular amino acid metabolic process
CENPK1137D_5100	HiT	FALSE	-1	0.571605875916667	0.4458265825	1	Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)		41,465	373	lysine biosynthetic process//lysine biosynthetic process via aminoadipic acid//cellular amino acid biosynthetic process//oxidation-reduction process
CENPK1137D_5174	HiT	FALSE	1	NaN	NaN	1	Bnr1p		156,852	1375	barbed-end actin filament capping//cellular component organization//formin-nucleated actin cable assembly//actin cytoskeleton organization//actin filament bundle assembly//positive regulation of actin cytoskeleton reorganization
CENPK1137D_5399	HiT	TRUE	-1	0.157822975	0.0690326007916667	1	Erg11p		60,720	530	ergosterol biosynthetic process//steroid biosynthetic process//sterol biosynthetic process//lipid biosynthetic process//oxidation-reduction process//demethylation
CENPK1137D_3477	HiT	TRUE	-1	0.379867271	0.289282516791667	1	Arg5,6p		94,894	863	ornithine biosynthetic process//arginine biosynthetic process//phosphorylation//cellular amino acid biosynthetic process//metabolic process//regulation of transcription, DNA-templated//cellular amino acid metabolic process//oxidation-reduction process
CENPK1137D_4612	HiT	FALSE	-1	NaN	NaN	3	Bap2p		34,558	306	amino acid transmembrane transport//amino acid transport//transmembrane transport//transport
