originalGene	condition	significance	direction	P_ref	P_cond	orthoGroup	protName	shortName	MWeigth	SeqLength	GOterms
YALI1_D34933g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		21,671	215	
YALI1_E27625g	HiT	TRUE	1	NaN	NaN	3	Uncharacterized protein		56,974	510	monooxygenase activity//oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen//oxidation-reduction process
YALI1_A22454g	HiT	TRUE	1	0.266949268413021	0.424705320040692	3	Uncharacterized protein		41,316	372	sulfonate dioxygenase activity//taurine dioxygenase activity//cytoplasm//sulfur compound catabolic process//oxidation-reduction process
YALI1_A22496g	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein		67,917	603	
YALI1_E00239g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		43,481	408	integral component of membrane
YALI1_E09329g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		35,384	334	alcohol dehydrogenase (NAD) activity//cytosol//ethanol metabolic process//NADH oxidation//zinc ion binding//carboxylic acid metabolic process//alcohol biosynthetic process
YALI1_E14350g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		22,598	224	structural constituent of cell wall//cell wall
YALI1_E12561g	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein		24,393	217	
YALI1_B17292g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		10,984	104	
YALI1_C31408g	HiT	TRUE	1	0.128608702616989	0.204653494370973	3	Beta-lactamase/transpeptidase-like protein		43,647	395	
YALI1_A15105g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		64,115	587	catalytic activity//metabolic process
YALI1_B12966g	HiT	TRUE	1	NaN	NaN	1	Proline dehydrogenase (EC 1.5.5.2)		54,599	502	proline dehydrogenase activity//mitochondrion//proline catabolic process to glutamate//oxidation-reduction process//FAD binding
YALI1_F15357g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		28,210	253	
YALI1_C30454g	HiT	TRUE	1	NaN	NaN	3	HotDog domain-containing protein		22,921	205	
YALI1_E02744g	HiT	TRUE	1	NaN	NaN	4	Transposase	tra1	85,499	759	nucleic acid binding//transferase activity, transferring alkyl or aryl (other than methyl) groups
YALI1_C06222g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		67,619	608	carbohydrate:proton symporter activity//glucose transmembrane transporter activity//integral component of membrane//glucose import//proton transmembrane transport
YALI1_F17988g	HiT	TRUE	-1	NaN	NaN	2	Uncharacterized protein		44,549	422	RNA binding//nucleus//single-species biofilm formation on inanimate substrate
YALI1_C25391g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		73,877	655	
YALI1_C01161g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		59,931	526	glycolipid metabolic process//endomembrane system//integral component of membrane//glucosyltransferase activity
YALI1_B27968g	HiT	TRUE	1	NaN	NaN	3	Uncharacterized protein		38,609	345	sulfonate dioxygenase activity//taurine dioxygenase activity//cytoplasm//sulfur compound catabolic process//oxidation-reduction process
YALI1_D35025g	HiT	TRUE	1	NaN	NaN	1	Alkaline-phosphatase-like protein		62,599	556	arylsulfatase activity//nucleus//cytoplasm//sulfolipid metabolic process
YALI1_F29798g	HiT	TRUE	1	NaN	NaN	1	Uncharacterized protein		22,550	199	
YALI1_C04720g	HiT	TRUE	1	NaN	NaN	1	Uncharacterized protein		53,633	493	protein dimerization activity
YALI1_C20793g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		112,207	1001	integral component of membrane
YALI1_C08922g	HiT	TRUE	1	NaN	NaN	2	1,3-beta-glucanosyltransferase (EC 2.4.1.-)		49,569	435	fungal-type cell wall//integral component of membrane//ascospore wall assembly//anchored component of external side of plasma membrane//1,3-beta-glucanosyltransferase activity//fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process
YALI1_B13328g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		60,910	549	
YALI1_B21155g	HiT	TRUE	1	NaN	NaN	1	Tryptophan synthase beta subunit-like PLP-dependent enzyme		38,968	364	cellular amino acid metabolic process//lyase activity//pyridoxal phosphate binding
YALI1_E10295g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		42,171	378	
YALI1_D26671g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		44,947	399	sulfonate dioxygenase activity//taurine dioxygenase activity//cytoplasm//sulfur compound catabolic process//oxidation-reduction process
YALI1_A16681g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		77,017	668	nucleic acid binding//RNA-DNA hybrid ribonuclease activity//RNA phosphodiester bond hydrolysis, endonucleolytic
YALI1_E20794g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		101,011	883	integral component of plasma membrane//oligopeptide transmembrane transport//oligopeptide transmembrane transporter activity
YALI1_C15465g	HiT	TRUE	1	NaN	NaN	1	Uncharacterized protein		53,658	480	protein tyrosine phosphatase activity//protein tyrosine/serine/threonine phosphatase activity//peptidyl-tyrosine dephosphorylation
YALI1_C21789g	HiT	TRUE	-1	NaN	NaN	3	P-loop containing nucleoside triphosphate hydrolase protein		37,774	329	branched-chain-amino-acid transaminase activity//mitochondrion//leucine biosynthetic process//valine biosynthetic process
YALI1_E02850g	HiT	TRUE	-1	0.0539361654577823	0.0154029593421499	2	Superoxide dismutase		24,593	244	superoxide dismutase activity//copper ion binding//extracellular space//cytoplasm//zinc ion binding//removal of superoxide radicals
YALI1_D11256g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		36,751	333	catalytic activity//coenzyme binding
YALI1_D00094g	HiT	TRUE	1	NaN	NaN	2	And other transporter-domain-containing protein		74,111	659	carbohydrate:proton symporter activity//glucose transmembrane transporter activity//integral component of membrane//glucose import//proton transmembrane transport
YALI1_A12772g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		21,186	196	magnesium ion binding//nucleic acid binding//RNA-DNA hybrid ribonuclease activity//nucleus//DNA replication, removal of RNA primer//RNA phosphodiester bond hydrolysis, endonucleolytic
YALI1_E20463g	HiT	TRUE	1	NaN	NaN	4	Proline dehydrogenase (EC 1.5.5.2)		16,354	149	proline dehydrogenase activity//proline catabolic process//oxidation-reduction process
YALI1_D01234g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		70,533	633	carbohydrate:proton symporter activity//glucose transmembrane transporter activity//integral component of membrane//glucose import//proton transmembrane transport
YALI1_B21381g	HiT	TRUE	1	NaN	NaN	3	Major facilitator superfamily domain-containing protein		66,153	578	integral component of membrane//transmembrane transport
YALI1_B03910g	HiT	TRUE	-1	NaN	NaN	3	ABC-2 type transporter-domain-containing protein		167,108	1485	ATP binding//plasma membrane//integral component of membrane//ATPase activity, coupled to transmembrane movement of substances//transmembrane transport
YALI1_F37171g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		20,639	188	
YALI1_D00376g	HiT	TRUE	1	NaN	NaN	2	General substrate transporter		59,789	539	carbohydrate:proton symporter activity//glucose transmembrane transporter activity//integral component of membrane//glucose import//proton transmembrane transport
YALI1_B05832g	HiT	TRUE	-1	NaN	NaN	2	P-loop containing nucleoside triphosphate hydrolase protein		121,663	1102	ATP binding//cytoplasm//polysome//plasma membrane//ATPase activity//poly(A)+ mRNA export from nucleus//ribosomal small subunit biogenesis
YALI1_E09568g	HiT	TRUE	-1	NaN	NaN	2	Permease family-domain-containing protein		64,382	607	fungal-type vacuole//integral component of plasma membrane//xanthine transport//xanthine transmembrane transporter activity//transmembrane transport
YALI1_D31482g	HiT	TRUE	-1	NaN	NaN	2	Uncharacterized protein		74,231	644	integral component of membrane
YALI1_B02047g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		50,914	459	nucleic acid binding
YALI1_C24891g	HiT	TRUE	-1	0.614232120803662	0.309867790776534	2	Uncharacterized protein		27,248	262	GTPase activity//DNA repair//ATPase activity//cellular response to oxidative stress
YALI1_A19398g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		32,804	332	
YALI1_E21983g	HiT	TRUE	-1	NaN	NaN	1	S-adenosyl-L-methionine-dependent methyltransferase		37,455	326	nucleus//mRNA export from nucleus//peptidyl-arginine methylation, to asymmetrical-dimethyl arginine//positive regulation of transcription elongation from RNA polymerase II promoter//protein-arginine omega-N monomethyltransferase activity//protein-arginine omega-N asymmetric methyltransferase activity//identical protein binding//negative regulation of DNA-templated transcription, termination
YALI1_F18835g	HiT	TRUE	1	NaN	NaN	2	Major facilitator superfamily domain-containing protein		58,678	531	integral component of membrane//transmembrane transport
YALI1_A12540g	HiT	TRUE	1	NaN	NaN	3	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)		40,269	368	cytosol//formate dehydrogenase (NAD+) activity//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//formate catabolic process//NAD binding//oxidation-reduction process
YALI1_C04553g	HiT	TRUE	1	NaN	NaN	2	HSP20-like chaperone		17,154	149	
YALI1_F03120g	HiT	TRUE	-1	NaN	NaN	1	Uncharacterized protein		28,022	246	nucleolus//ribosomal small subunit biogenesis
YALI1_F12649g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		36,137	323	catalytic activity//coenzyme binding
YALI1_E28779g	HiT	TRUE	-1	NaN	NaN	2	Voltage-dependent anion channel		47,372	428	integral component of membrane//transmembrane transport
YALI1_E32664g	HiT	TRUE	-1	NaN	NaN	1	ATP-dependent RNA helicase DBP2		60,710	552	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay//RNA binding//ATP-dependent RNA helicase activity//ATP binding//nucleolus//cytoplasm//rRNA processing//phosphomethylpyrimidine kinase activity//thiamine biosynthetic process//RNA secondary structure unwinding//phosphorylation//thiaminase activity
YALI1_B04228g	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein		40,866	379	serine-type endopeptidase activity//proteolysis
YALI1_F18664g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		9,062	86	
YALI1_F09720g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		65,013	593	catalytic activity//metabolic process
YALI1_D16206g	HiT	TRUE	-1	NaN	NaN	1	Uncharacterized protein		20,105	172	acyl binding//acyl carrier activity//ribosomal large subunit export from nucleus//nucleic acid binding//nucleus//cytosol//fatty acid biosynthetic process//zinc ion binding//lipid A biosynthetic process//preribosome, large subunit precursor//phosphopantetheine binding//ribosomal large subunit binding
YALI1_B26033g	HiT	TRUE	1	NaN	NaN	1	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)		40,876	371	cytosol//formate dehydrogenase (NAD+) activity//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//formate catabolic process//NAD binding//oxidation-reduction process
YALI1_B25676g	HiT	TRUE	-1	NaN	NaN	2	Uncharacterized protein		50,573	452	DNA-binding transcription factor activity//asparaginase activity//nucleus//asparagine catabolic process//pathogenesis//sequence-specific DNA binding//positive regulation of transcription by RNA polymerase II
YALI1_E41251g	HiT	TRUE	-1	0.220396128560529	0.0454918420888437	1	Catalase (EC 1.11.1.6)		59,893	532	catalase activity//mitochondrion//peroxisome//heme binding//response to hydrogen peroxide//hydrogen peroxide catabolic process//metal ion binding//oxidation-reduction process//cellular oxidant detoxification
YALI1_F32287g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		39,068	355	pyruvate metabolic process//methylglyoxal metabolic process//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//coenzyme binding//fungal biofilm matrix
YALI1_A21477g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		54,699	508	budding cell bud growth//fungal-type cell wall biogenesis//hydrolase activity//filamentous growth//anchored component of plasma membrane
YALI1_D21256g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		11,902	97	
YALI1_E21779g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		21,082	187	
YALI1_D18845g	HiT	TRUE	-1	NaN	NaN	2	Uncharacterized protein		42,364	384	biotin synthase activity//biotin biosynthetic process//metal ion binding//2 iron, 2 sulfur cluster binding//4 iron, 4 sulfur cluster binding
YALI1_D12567g	HiT	TRUE	1	NaN	NaN	3	Alternative oxidase (EC 1.-.-.-)		40,588	349	mitochondrion//alternative oxidase activity//integral component of membrane//metal ion binding//oxidation-reduction process//respiratory chain
YALI1_A21594g	HiT	TRUE	1	NaN	NaN	3	Uncharacterized protein		45,214	396	catalytic activity//integral component of membrane
YALI1_D26666g	HiT	TRUE	1	NaN	NaN	2	Uncharacterized protein		56,705	507	N,N-dimethylaniline monooxygenase activity//flavin adenine dinucleotide binding//NADP binding//oxidation-reduction process
YALI1_E24735g	HiT	TRUE	-1	NaN	NaN	4	Aspartic peptidase domain-containing protein		51,065	476	aspartic-type endopeptidase activity//extracellular region//proteolysis//fungal-type cell wall//protein catabolic process//anchored component of external side of plasma membrane//fungal-type cell wall organization
YALI1_E24532g	HiT	TRUE	1	NaN	NaN	4	Dak1 domain-containing protein (Dak1 domain-domain-containing protein)		60,211	563	glycerone kinase activity//ATP binding//glycerol metabolic process//phosphorylation
YALI1_B07696g	HiT	TRUE	1	NaN	NaN	4	Acid extracellular protease		42,081	397	aspartic-type endopeptidase activity//extracellular region//proteolysis//fungal-type cell wall//protein catabolic process//anchored component of external side of plasma membrane//fungal-type cell wall organization
YALI1_E24245g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		62,250	566	carbohydrate:proton symporter activity//glucose transmembrane transporter activity//integral component of membrane//glucose import//proton transmembrane transport
YALI1_E40603g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		33,350	293	transferase activity
YALI1_C05972g	HiT	TRUE	1	NaN	NaN	5	Major facilitator superfamily domain-containing protein		61,388	546	drug transport//integral component of membrane//transmembrane transport
YALI1_E32247g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		14,429	128	
YALI1_B13259g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		81,621	936	
YALI1_A12037g	HiT	TRUE	1	NaN	NaN	5	Histone H4		73,651	665	nuclear nucleosome//DNA binding//nucleosome assembly//DNA-templated transcription, initiation//histone binding//protein heterodimerization activity
YALI1_C05323g	HiT	TRUE	-1	NaN	NaN	3	Uncharacterized protein		17,889	162	integral component of membrane
YALI1_A04261g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		102,338	903	integral component of plasma membrane//oligopeptide transmembrane transport//oligopeptide transmembrane transporter activity
YALI1_F36584g	HiT	TRUE	1	NaN	NaN	3	Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)		40,014	365	cytosol//formate dehydrogenase (NAD+) activity//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//formate catabolic process//NAD binding//oxidation-reduction process
YALI1_B24836g	HiT	TRUE	-1	NaN	NaN	3	Major facilitator superfamily domain-containing protein		60,725	554	integral component of membrane//transmembrane transport
YALI1_B29364g	HiT	TRUE	-1	NaN	NaN	5	Uncharacterized protein		8,967	77	
YALI1_C09750g	HiT	TRUE	1	NaN	NaN	4	Major facilitator superfamily domain-containing protein		59,008	525	integral component of membrane//transmembrane transport
YALI1_A02190g	HiT	TRUE	1	NaN	NaN	3	Uncharacterized protein		39,292	328	
YALI1_F01755g	HiT	TRUE	1	NaN	NaN	3	Uncharacterized protein		60,861	556	integral component of plasma membrane//cation transmembrane transporter activity//L-amino acid transmembrane transporter activity//antiporter activity//L-alpha-amino acid transmembrane transport
YALI1_F12810g	HiT	TRUE	1	NaN	NaN	4	Aspartic peptidase domain-containing protein		42,548	388	aspartic-type endopeptidase activity//proteolysis//protein catabolic process
YALI1_D00062g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		19,852	174	
YALI1_D32111g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		33,108	404	
YALI1_F07042g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		23,448	221	
YALI1_D02804g	HiT	TRUE	1	NaN	NaN	1	Uncharacterized protein		71,838	619	integral component of membrane
YALI1_E14619g	HiT	TRUE	1	NaN	NaN	4	Amidase signature domain-containing protein		59,737	540	amidase activity
