originalGene	condition	significance	direction	P_ref	P_cond	orthoGroup	protName	shortName	MWeigth	SeqLength	GOterms
YALI1_D34933g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		21,671	215	
YALI1_E27625g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		56,974	510	monooxygenase activity//oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen//oxidation-reduction process
YALI1_A22454g	HiT	TRUE	1	0.266949268413021	0.424705320040692	3	Uncharacterized protein		41,316	372	sulfonate dioxygenase activity//taurine dioxygenase activity//cytoplasm//sulfur compound catabolic process//oxidation-reduction process
YALI1_A22496g	HiT	TRUE	1	NaN	NaN	3	Uncharacterized protein		67,917	603	
YALI1_E00239g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		43,481	408	integral component of membrane
YALI1_E09329g	HiT	TRUE	-1	NaN	NaN	4	Uncharacterized protein		35,384	334	alcohol dehydrogenase (NAD) activity//cytosol//ethanol metabolic process//NADH oxidation//zinc ion binding//carboxylic acid metabolic process//alcohol biosynthetic process
YALI1_E14350g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		22,598	224	structural constituent of cell wall//cell wall
YALI1_E12561g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		24,393	217	
YALI1_B17292g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		10,984	104	
YALI1_C31408g	HiT	TRUE	1	0.128608702616989	0.204653494370973	3	Beta-lactamase/transpeptidase-like protein		43,647	395	
YALI1_A15105g	HiT	TRUE	1	NaN	NaN	4	Uncharacterized protein		64,115	587	catalytic activity//metabolic process
YALI1_F18152g	HiT	FALSE	1	NaN	NaN	3	Major facilitator superfamily domain-containing protein		68,597	600	integral component of membrane//transmembrane transport
YALI1_B12966g	HiT	TRUE	1	NaN	NaN	2	Proline dehydrogenase (EC 1.5.5.2)		54,599	502	proline dehydrogenase activity//mitochondrion//proline catabolic process to glutamate//oxidation-reduction process//FAD binding
YALI1_B10231g	HiT	FALSE	1	NaN	NaN	5	Uncharacterized protein		65,541	598	catalytic activity//metabolic process
YALI1_F15357g	HiT	TRUE	1	NaN	NaN	5	Uncharacterized protein		28,210	253	
YALI1_C30454g	HiT	TRUE	1	NaN	NaN	4	HotDog domain-containing protein		22,921	205	
