W29_NCBI	CLIB122_NCBI	CLIB122_UNIPROT	standard_A	standard_B	standard_C	standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D	Protein_name	ec_number
YALI1_F32597g	YALI0F25289g1_1	Q6C0E9	829.5216262	1042.772091	892.7283071	781.9956942	954.5851537	982.7452366	918.5736525	778.3481061	791.0587061	797.4478676	774.9639127	uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein	
YALI1_D10458g	YALI0D08184g1_1	Q6C9V0	749.9407018	892.9840743	763.1639069	702.1880833	820.8707899	817.0274011	759.6906989	564.3175027	571.3269842	577.8501813	567.115525	uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein	
YALI1_D28273g	YALI0D22352g1_1	Q6C864	742.6334212	812.8874263	776.305095	674.7201619	740.0669892	809.7874973	771.2386964	533.0036534	604.5335623	549.6970781	559.1276272	uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein	
YALI1_C24707g	YALI0C17347g1_1	Q6CBM2	634.3575713	631.7166921	570.670699	610.7814173	711.74537	710.7821376	684.2933205	718.1957625	572.2239931	578.7574319	667.8606664	uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein	
YALI1_A00102g	YALI0A00132g1_1	Q6CIA7	535.9797456	697.312	506.3660996	521.6370861	559.9737268	532.5516846	442.3906624	605.5211389	534.0787109	627.9060743	624.6731646	uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein	
YALI1_A22539g			496.5892743	556.7163099	538.2854489	468.8090895	543.9532409	559.4354272	566.8646143	391.0153497	445.338476	390.3534166	400.00586	No description in CLIB122	
YALI1_E16731g	YALI0E13706g1_1	Q99170	376.1454098	445.7610072	323.6976598	342.0039679	451.1127793	456.3213289	384.5300413	474.8352893	413.9699592	440.0323795	445.2414849	uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins	
YALI1_C08262g	YALI0C06369g1_1	Q6CCU7	2636.726198	4038.76402	1938.070744	2659.709377	2304.766074	2127.455012	1830.39013	3829.991074	3297.3833	3928.433851	3409.284762	uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12
YALI1_F22436g	YALI0F16819g1_1	Q6C1F3	1528.998106	2648.385008	1543.142512	1746.387915	1560.355201	1554.689614	1425.77296	1753.722457	1463.152837	1462.38053	1664.25467	uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase	4.2.1.11
YALI1_E10587g	YALI0E08756g1_1	Q6C6K7	84.94282617	109.190433	119.7007054	72.95544384	101.8722903	49.04604643	70.32329498	0	0	94.91837241	0	uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation	
YALI1_F00654g	YALI0F00484g1_1	Q6C3E1	1432.374599	917.3740128	1089.313006	1182.183878	1523.076839	1700.335782	1205.706736	1475.902185	960.2277361	1172.76735	1204.643842	uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase	
YALI1_E15659g	YALI0E12683g1_1	Q6C638	788.5722379	1282.903898	800.0931509	775.8392815	633.7913799	611.9009915	578.7486368	1060.082737	1011.411636	1022.681788	1011.264806	uniprot|Q6C638 Yarrowia lipolytica YALI0E12683g MET6 Homocysteine methyltransferase	
YALI1_D11984g	YALI0D09361g1_1	Q6C9P6	647.5002506	697.0623927	680.6380482	576.930162	635.1016364	603.4388133	540.2802558	747.339221	661.2615639	706.4522668	630.0263838	uniprot|Q6C9P6 Yarrowia lipolytica YALI0D09361g ACO1 Aconitase	4.2.1.-
YALI1_E17935g	YALI0E14949g1_1	Q6C5V2	130.3442718	61.08966382	123.9601821	145.7164839	100.6279989	97.96140023	104.8664618	100.6732618	140.2475662	112.8355291	106.309979	uniprot|Q6C5V2 Yarrowia lipolytica YALI0E14949g ACO2 Aconitase	4.2.1.-
YALI1_C12642g	YALI0C09141g1_1	O59949	1062.175724	1637.952624	1152.106059	994.54148	1119.230412	1140.282202	1039.862653	1215.305183	1051.472335	1148.03312	1258.228561	uniprot|O59949 Yarrowia lipolytica YALI0C09141g TEF Elongation factor 1-alpha (EF-1-alpha)	
YALI1_B05364g	YALI0B03982g1_1	Q6CFT7	934.8396674	1275.713167	1067.083999	1091.794676	923.7885653	937.3844095	1036.084751	1049.505576	1132.976838	1062.167447	1107.831941	"highly similar to uniprot|P00830 Saccharomyces cerevisiae YJR121W ATP2 Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	3.6.3.14
YALI1_F04433g	YALI0F03179g1_1	Q6C326	782.8699705	1098.763607	855.8124216	803.4342248	913.6497993	954.5264539	874.8084782	1010.702474	842.0432775	899.729451	1007.776163	"highly similar to uniprot|P07251 Saccharomyces cerevisiae YBL099w ATP1 F1F0-ATPase complex, F1 alpha subunit"	
YALI1_E18441g	YALI0E15378g1_1	F2Z6I5	518.9779652	676.5374632	551.1519627	549.6764357	631.1946842	550.3940468	525.2838618	530.5595509	487.0332941	442.7464782	441.393272	"uniprot|Q9P4D9 Yarrowia lipolytica YALI0E15378g MFE2 Multifunctional beta-oxidation enzyme, hydratase- dehydrogenase-epimerase"	
YALI1_B28659g	YALI0B22066g1_1	Q6CDQ7	393.927997	370.2616121	385.7964749	461.5242933	401.1438232	390.5136846	391.2338612	461.4684314	565.7519207	589.5952816	554.5395537	"highly similar to uniprot|P05030 Saccharomyces cerevisiae YGL008c PMA1 H+-transporting P-type ATPase, major isoform, plasma membrane"	3.6.3.6
YALI1_D34353g	YALI0D25960g1_1		951.6773833	1430.713289	822.591375	921.2591374	1044.800202	899.815058	913.0837706	572.678993	776.4525866	785.0016065	567.115525	"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374w ALD4 aldehyde dehydrogenase, frameshift"	
YALI1_C04093g	YALI0C03025g1_1	Q6CD79	30.06217793	64.92825258	17.40882301	24.18130195	45.22635856	7.133073603	15.43997346	0	25.09341328	25.08016803	8.569361932	"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374W ALD4 Mitochondrial aldehyde dehydrogenase, required for growth on ethanol and conversion of acetaldehyde to acetate"	
YALI1_D20676g	YALI0D16753g1_1	Q6C8V3	1242.417918	1479.80712	1259.837317	1248.822922	1001.201499	1344.041698	1191.416355	1524.04603	1202.901758	1162.453161	1323.21056	uniprot|Q6C8V3 Yarrowia lipolytica YALI0D16753g MDH1 Mitochondrial malate dehydrogenase	1.1.1.37
YALI1_E03300g	YALI0E02684g1_1	Q6C793	536.5930607	920.2161617	538.6722605	734.4123839	721.9187678	661.3020481	796.7773674	628.5024238	666.6361026	457.1423325	605.540639	"uniprot|Q6C793 Yarrowia lipolytica YALI0E02684g CIT2 Mitochondrial citrate synthase, putative"	2.3.3.5; 2.3.3.16
YALI1_E01019g	YALI0E00638g1_1	Q6C7I2	243.3091946	268.9921221	254.9889953	262.1388172	259.4636798	294.022125	226.1510337	217.1081376	195.982351	205.3574182	174.6882039	uniprot|Q6C7I2 Yarrowia lipolytica YALI0E00638g CIT1 Mitochondrial 2-methyl citrate synthase	
YALI1_F23664g	YALI0F17820g1_1	Q6C1A9	709.6092844	306.1389617	617.8280265	531.2289423	448.3678624	428.1217962	485.1693429	1290.585465	1496.281571	1593.549125	1508.687855	highly similar to uniprot|P39708 Saccharomyces cerevisiae YAL062W (ohnolog of YOR375C) GDH3 NADP- glutamate dehydrogenase	
YALI1_F12842g	YALI0F09185g1_1	P30614	645.3222135	829.5345831	629.3870143	620.5486249	712.3164413	633.5328228	678.1890155	658.7618468	833.7072736	867.8267083	878.100045	uniprot|P30614 Yarrowia lipolytica YALI0F09185g PYK1 Pyruvate kinase	2.7.1.40
YALI1_C10555g	YALI0C07953g1_1	Q6CCN4	419.26789	376.1000162	477.819472	451.714901	687.0001295	630.4610406	557.8775555	434.7731442	475.0193978	481.0325914	410.3767641	"highly similar to uniprot|P46598 Candida albicans CaHSC82, Heat shock protein 90 homolog"	
YALI1_F13373g	YALI0F09790g1_1	Q6C290	1103.954727	894.5616594	1136.503487	873.6788165	1286.627375	1019.200733	1007.970709	941.105104	847.2476167	787.5103735	945.1124032	highly similar to uniprot|P05759 Saccharomyces cerevisiae YLR167w UBI3 ubiquitin/40S small subunit ribosomal protein	
YALI1_E30886g	YALI0E26004g1_1	Q6C4K5	1159.870566	968.8772692	1113.53435	989.0936186	936.7444001	1061.16683	896.4659555	1035.724255	879.3801315	927.8577902	1006.060159	similar to uniprot|P14540 Saccharomyces cerevisiae YKL060c FBA1 fructose-bisphosphate aldolase	
YALI1_A00406g	YALI0A00352g1_1	Q6CI99	452.5651408	403.3390987	436.6861133	416.9163551	413.6275869	352.7242649	363.0259806	451.2040044	485.0088707	500.472163	472.8281441	uniprot|Q6CI99 Yarrowia lipolytica YALI0A00352g EFT1 Translation elongation factor eEF2	
YALI1_A21203g	YALI0A20152g1_1	Q6CGD8	26.51135099	0	31.04338289	38.25764642	30.89821446	30.07942508	22.87775265	44.4098287	34.66488105	34.64658361	67.76978623	highly similar to uniprot|P32324 Saccharomyces cerevisiae YOR133W (ohnolog of YDR385W) EFT1 translation elongation factor eEF2	
YALI1_B20462g	YALI0B15598g1_1	Q6CEH4	720.852752	874.356385	691.8775421	680.3134668	734.5803369	651.9922233	773.9740727	403.6147772	579.0770704	578.7714117	528.2601965	highly similar to uniprot|P38720 Saccharomyces cerevisiae YHR183W (ohnolog of YGR256W) GND1 6- phosphogluconate dehydrogenase	1.1.1.44
YALI1_B10813g	YALI0B08184g1_1	Q6CFD2	545.4087634	686.2653782	501.0371696	580.1571932	522.8258077	475.4162784	501.7478505	516.1613154	547.8910814	609.4606743	522.8293559	"highly similar to uniprot|P08536 Saccharomyces cerevisiae YJR010w MET3, ATP sulfurylase"	2.7.7.4
