NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	OsmoticStress_A	OsmoticStress_B	OsmoticStress_C	Protein_name	ec_number
KMXK_0G03150	W0TG45	KLMA_80306	2064.342693	94843.94365	77381.64712	218147.4999	210528.659	157075.0565	102565.8429	254819.661	69374.38829	66783.06511	132139.0657	142441.9185	 Alcohol dehydrogenase 3 - ADH3	
KMXK_0D01240	W0TBC6	KLMA_40102	18912.38898	49401.05444	6322.310824	101834.429	35921.99096	25088.41602	32021.08568	48942.48366	20030.60303	18373.23943	18746.55374	20505.5969	 Alcohol dehydrogenase 1 - ADH1	
KMXK_0F03070	W0THG5	KLMA_60268	462.4184405	1059.433854	1351.741342	740.0475413	272.3395503	171.8412117	2290.110951	1214.568842	2443.376386	1518.765191	224.7249575	1563.594618	 Uncharacterized protein YNL134C - KLMA_60268	
KMXK_0D02430	W0TDP8	KLMA_40220	1481.370416	1.287201064	NA	NA	NA	NA	5.139676558	0.109737842	5.017840306	NA	NA	NA	 Alcohol dehydrogenase 2 - ADH2	
KMXK_0G00680	W0TG93	KLMA_80059	377733.8355	260250.9828	292320.2138	165441.2562	142801.3538	116344.0733	233500.1537	194167.1304	139695.026	187032.0478	262741.842	229589.6124	 Glyceraldehyde-3-phosphate dehydrogenase - GAP3	1.2.1.12
KMXK_0D02420	W0T9E0	KLMA_40218	8048.229057	14350.3792	7738.904276	62806.72799	23552.34116	11064.16386	16664.0796	14685.11151	7077.618003	2174.799499	4592.316015	3156.691002	 Glyceraldehyde-3-phosphate dehydrogenase - GAP1	1.2.1.12
KMXK_0E00190	W0TCX8	KLMA_50012	6047.886227	53762.65136	43092.40293	75454.81478	51036.71018	38843.80691	34083.40698	48597.20913	30184.50965	24344.32448	37488.19331	33385.85979	 Potassium-activated aldehyde dehydrogenase - ALD4	
KMXK_0E05880	W0TEK8	KLMA_50592	96713.43856	80641.99277	64966.44628	40719.64966	34955.97678	26481.27009	63377.39831	62068.54289	48447.78057	86832.89182	61394.33963	47303.4759	 Heat shock protein SSB - SSB	
KMXK_0G03730	W0THY0	KLMA_80367	2241.589962	2152.081544	1530.617486	18147.48608	23049.54045	14877.91567	1879.199794	4776.574059	987.5310555	8501.236622	13289.84478	7569.237592	 Heat shock protein SSA3 - SSA3	
KMXK_0B04700	W0T5M8	KLMA_20459	1770.735284	1011.105435	2199.519821	9.858051187	0.895365622	1.571739501	838.1362871	470.960154	682.6329252	1168.013592	1003.885979	464.3524158	 Heat shock protein SSA2 - SSA2	
KMXK_0B07070	W0TAL8	KLMA_20691	184.1569908	163.3133582	261.9913575	584.1210007	304.0028936	197.6606442	125.5035641	217.6945646	30.73849995	118.5297618	180.9467684	127.3945109	 78 kDa glucose-regulated protein homolog - GRP78	
KMXK_0G03180	W0TGV8	KLMA_80309	59669.67462	57129.45208	76444.73983	45692.04042	37790.56393	24212.20273	41484.02045	49590.80459	34456.91466	61644.01072	81613.36183	64330.22418	 Elongation factor 1-alpha - TEF	
KMXK_0A03750	W0T7K9	KLMA_10462	379714.4203	498315.8134	271415.551	578235.3806	499800.5674	263715.6455	419325.831	469712.9537	208783.2117	396747.6842	250396.6916	395486.8457	 Enolase - ENO	
KMXK_0H04250	W0TJE4	KLMA_70426	9675.486116	68264.49106	73824.62476	24717.6242	41913.50009	36911.12803	54034.95061	56029.88261	27792.41399	55962.20067	124579.1159	105408.0889	 Peroxisomal hydratase-dehydrogenase-epimerase - FOX2	
KMXK_0C03060	W0T7K6	KLMA_30312	42111.73336	36575.50371	46249.70754	18823.49633	6974.650518	3654.766608	29959.21399	26826.7553	24400.10021	17942.91744	30936.00729	17551.14678	" Aconitate hydratase, mitochondrial - ACO2b"	4.2.1.-
KMXK_0A07020	W0T2Z0	KLMA_10153	15.62081094	1.251450286	5.0357966	3.344794307	NA	NA	6.624664354	1.532701253	7.010805193	2.713860836	1.907465739	NA	" Aconitate hydratase, mitochondrial - ACO2a"	4.2.1.-
KMXK_0F01270	W0TFY6	KLMA_60435	71931.91041	70853.67145	98778.87426	65664.87506	91383.31807	65940.21639	69740.13566	69617.10066	46847.67062	103505.7135	99276.61842	98282.68337	 ATP synthase subunit beta - ATP2	3.6.3.14
