W29_NCBI	CLIB122_UNIPROT	CLIB122_NCBI	standard_A	standard_B	standard_C	standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D	Protein_name	ec_number
YALI1_F32597g	Q6C0E9	YALI0F25289g1_1	1203.82914	89.52757443	547.8256951	986.4325781	1575.052	1749.327671	974.1568781	1325.054516	1085.75747	1393.643823	1123.217635	uniprot|Q6C0E9 Yarrowia lipolytica YALI0F25289g SSA5/SSA-C HSP70 protein	
YALI1_D10458g	Q6C9V0	YALI0D08184g1_1	3117.262297	365.7863506	1901.509309	3042.064915	3954.72846	2789.752389	1818.758646	907.3298202	915.8668343	1375.212272	676.4642043	uniprot|Q6C9V0 Yarrowia lipolytica YALI0D08184g SSA7/SSA-A HSP70 protein	
YALI1_D28273g	Q6C864	YALI0D22352g1_1	1352.140198	102.4046834	1352.689746	1036.616486	1281.807675	1829.378562	1405.774763	364.3220199	513.6024521	320.8755794	363.9388505	uniprot|Q6C864 Yarrowia lipolytica YALI0D22352g SSA8/SSA-B HSP70 protein	
YALI1_C24707g	Q6CBM2	YALI0C17347g1_1	43096.99726	17997.68123	33846.0407	34589.11096	56259.34281	67854.4343	50286.37054	58863.58379	33596.0598	37719.4085	40967.72873	uniprot|Q6CBM2 Yarrowia lipolytica YALI0C17347g SSC1 Hsp70 protein	
YALI1_A00102g	Q6CIA7	YALI0A00132g1_1	31123.1525	14533.88216	24592.50406	26485.34	29416.03697	31477.84737	25849.29016	33600.14129	24534.19361	27681.16858	29536.4441	uniprot|Q6CIA7 Yarrowia lipolytica YALI0A00132g SSB1 Hsp70 protein	
YALI1_A22539g			4.342208671	5.941580403	NA	5.709338437	15.19062763	7.69437644	6.610350095	2.502655873	3.92421062	2.614169654	NA	No description in CLIB122	
YALI1_E16731g	Q99170	YALI0E13706g1_1	15162.69967	4238.952494	13682.01258	12212.09274	21856.82163	24206.23219	18481.32708	25382.85968	14622.61958	19841.41592	22941.56674	uniprot|Q99170 Yarrowia lipolytica YALI0E13706g KAR2 dnaK-type molecular chaperone involved in ER translocation of secretory proteins	
YALI1_C08262g	Q6CCU7	YALI0C06369g1_1	196465.054	130485.6106	130468.8902	182108.586	164306.9482	159620.8872	95048.5154	292998.5748	248848.5479	282002.4504	222498.3454	uniprot|Q6CCU7 Yarrowia lipolytica YALI0C06369g TDH1/GPD Glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12
YALI1_F22436g	Q6C1F3	YALI0F16819g1_1	202668.8399	148303.6658	148591.4253	191592.1434	217253.1924	199027.0488	167728.7049	208671.0603	145835.8868	158830.5007	149203.4424	uniprot|Q6C1F3 Yarrowia lipolytica YALI0F16819g ENO2 Enolase	4.2.1.11
YALI1_E10587g	Q6C6K7	YALI0E08756g1_1	99.06470418	84.79453748	68.80725732	43.93670058	118.1380848	131.9294036	110.7232799	23.27365863	17.63088665	32.04989267	22.48561795	uniprot|Q6C6K7 Yarrowia lipolytica YALI0E08756g RAS1 GTPase involved in G-protein signaling in adenylate cyclase activation	
YALI1_F00654g	Q6C3E1	YALI0F00484g1_1	57011.00945	32798.95983	47162.96309	50774.14792	75711.25105	59481.6375	52867.4574	47474.62254	42317.23962	45045.75588	43944.49452	uniprot|Q6C3E1 Yarrowia lipolytica YALI0F00484g GUT1 Glycerol kinase	
YALI1_E15659g	Q6C638	YALI0E12683g1_1	64815.09685	42150.73776	52800.54928	61717.65638	42066.36163	47779.93909	39269.50635	109045.0693	85441.08831	82376.90123	84090.17424	uniprot|Q6C638 Yarrowia lipolytica YALI0E12683g MET6 Homocysteine methyltransferase	
YALI1_D11984g	Q6C9P6	YALI0D09361g1_1	53993.70263	23928.82007	45485.95058	45599.39143	46982.35889	52065.70136	41491.18203	59345.09848	45987.16592	52877.46859	50128.78525	uniprot|Q6C9P6 Yarrowia lipolytica YALI0D09361g ACO1 Aconitase	4.2.1.-
YALI1_E17935g	Q6C5V2	YALI0E14949g1_1	2589.402866	478.185352	1770.401302	1961.673341	1263.000928	1499.561609	960.5006471	1940.773113	1828.467071	2008.660786	1869.431694	uniprot|Q6C5V2 Yarrowia lipolytica YALI0E14949g ACO2 Aconitase	4.2.1.-
YALI1_C12642g	O59949	YALI0C09141g1_1	146942.0701	93192.85099	123112.0875	111614.0392	160469.0678	159482.3445	120472.3713	150154.6838	121067.4767	126758.9632	120839.7855	uniprot|O59949 Yarrowia lipolytica YALI0C09141g TEF Elongation factor 1-alpha (EF-1-alpha)	
YALI1_B05364g	Q6CFT7	YALI0B03982g1_1	26189.50933	15034.95202	22231.712	23861.46703	32034.18574	35064.95108	26075.2209	31360.99769	24478.55798	24638.65749	26223.22369	"highly similar to uniprot|P00830 Saccharomyces cerevisiae YJR121W ATP2 Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	3.6.3.14
YALI1_F04433g	Q6C326	YALI0F03179g1_1	97295.54409	44804.11393	79982.78743	78858.79567	108963.4317	116956.5202	82458.11158	109427.7222	77205.22036	92220.46002	88344.57919	"highly similar to uniprot|P07251 Saccharomyces cerevisiae YBL099w ATP1 F1F0-ATPase complex, F1 alpha subunit"	
YALI1_E18441g	F2Z6I5	YALI0E15378g1_1	59617.70841	31585.62068	45259.64816	48383.68732	68838.76702	64446.55949	48917.86351	43579.93901	36797.86646	41850.07559	33258.85327	"uniprot|Q9P4D9 Yarrowia lipolytica YALI0E15378g MFE2 Multifunctional beta-oxidation enzyme, hydratase- dehydrogenase-epimerase"	
YALI1_B28659g	Q6CDQ7	YALI0B22066g1_1	29666.38744	12191.81669	17816.4933	23025.94113	31001.52258	20109.24455	18297.2013	29660.3823	37254.81927	45586.2223	31705.42573	"highly similar to uniprot|P05030 Saccharomyces cerevisiae YGL008c PMA1 H+-transporting P-type ATPase, major isoform, plasma membrane"	3.6.3.6
YALI1_D34353g		YALI0D25960g1_1	67406.67439	35387.0812	48313.71064	56663.80258	85074.91862	69137.19995	62241.94559	31420.82908	32054.76616	35141.65062	27049.94692	"similar to uniprot|P46367 Saccharomyces cerevisiae YOR374w ALD4 aldehyde dehydrogenase, frameshift"	
