NCBI_CBS6556	Uniprot_DMKU3_1042	Gene_name_DMKU3_1042	standard_A	standard_B	standard_C	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	OsmoticStress_A	OsmoticStress_B	OsmoticStress_C	Protein_name	ec_number
KMXK_0G03150	W0TG45	KLMA_80306	425.8745721	1925.975728	2040.033883	3372.707573	3289.797205	3749.888222	2386.804756	2929.263049	3254.537929	1562.498678	2375.127833	2616.558201	 Alcohol dehydrogenase 3 - ADH3	
KMXK_0D01240	W0TBC6	KLMA_40102	946.8260741	1043.194622	603.3263425	1599.85437	893.2492837	1317.024264	1041.7986	1004.241997	1063.296324	560.4227484	826.5357189	786.5792984	 Alcohol dehydrogenase 1 - ADH1	
KMXK_0B01710	W0T723	KLMA_20158	162.5231229	233.3498007	327.4722818	318.9018817	267.8649197	420.7620843	295.1940546	284.9029365	630.4203852	126.8454113	270.6020735	275.071152	 Alcohol dehydrogenase 4 - ADH4b	
KMXK_0F03070	W0THG5	KLMA_60268	222.6321921	227.9773565	411.0342054	278.2862051	75.39342067	163.1607703	382.3099823	240.446622	479.4112494	425.1438275	168.8922312	468.3445292	 Uncharacterized protein YNL134C - KLMA_60268	
KMXK_0D02430	W0TDP8	KLMA_40220	428.8280059	44.35711101	12.7424563	36.46457446	41.47203787	58.37539502	43.20981127	46.78323176	103.519828	12.77339827	34.28153234	37.76623025	 Alcohol dehydrogenase 2 - ADH2	
KMXK_0G00680	W0TG93	KLMA_80059	3991.035881	3145.122794	3515.978426	2626.588157	2932.782783	3117.618167	2961.4355	2866.488672	2835.05185	2859.422492	3170.540935	3204.426207	 Glyceraldehyde-3-phosphate dehydrogenase - GAP3	1.2.1.12
KMXK_0D02420	W0T9E0	KLMA_40218	1417.348832	1475.667603	1581.44845	3086.872664	2415.237655	2420.616694	1662.406221	1587.456148	1715.738016	1029.3749	1181.519235	1024.918676	 Glyceraldehyde-3-phosphate dehydrogenase - GAP1	1.2.1.12
KMXK_0E00190	W0TCX8	KLMA_50012	1039.211357	2402.052367	2355.965117	3426.282592	3078.192971	4113.002305	2180.283673	2207.204257	2273.644398	1978.415058	2177.595236	2485.755869	 Potassium-activated aldehyde dehydrogenase - ALD4	
KMXK_0D04260	W0TBN1	KLMA_40404	20.5756257	27.71344956	29.94860813	29.81738182	42.25171209	47.73403962	21.66801487	34.33636948	34.93066867	24.0956899	21.4184264	29.39825477	 Aldehyde dehydrogenase 5 - ALD5	
KMXK_0A00970	W0T8F8	KLMA_10742	15.98320244	18.77784052	3.508550271	4.352223058	0	6.967385303	7.296176293	10.69617836	4.092210446	3.517069936	11.76048833	12.95593516	 Magnesium-activated aldehyde dehydrogenase - ALD6	
KMXK_0E05880	W0TEK8	KLMA_50592	753.002297	627.8813862	668.7045912	601.4111522	571.1349464	757.245819	626.0680485	521.1361087	661.5053744	636.0809054	649.7621308	614.5425646	 Heat shock protein SSB - SSB	
KMXK_0G03730	W0THY0	KLMA_80367	231.1911496	312.5347162	169.8905809	842.8316019	680.2644559	957.5296603	287.8409704	317.6205788	228.395848	545.3583136	562.3188333	443.4425977	 Heat shock protein SSA3 - SSA3	
KMXK_0B04700	W0T5M8	KLMA_20459	578.454671	353.6637948	491.2814882	107.282065	122.0144737	115.9969115	339.7132341	329.722976	362.5798524	508.1457687	410.1231537	277.0742061	 Heat shock protein SSA2 - SSA2	
KMXK_0B07070	W0TAL8	KLMA_20691	87.80723989	78.82085644	75.16675813	86.66769139	98.56925063	69.32182746	82.42858969	74.10535388	46.23176884	64.79256241	101.5165577	43.6489389	 78 kDa glucose-regulated protein homolog - GRP78	
KMXK_0G03180	W0TGV8	KLMA_80309	2494.141332	1837.111971	2150.374675	2443.073776	2355.814359	2482.800366	1989.073325	1856.910497	1931.969682	2482.798227	2491.425496	2516.096815	 Elongation factor 1-alpha - TEF	
KMXK_0A03750	W0T7K9	KLMA_10462	2037.11492	2037.326131	1514.619491	2859.644001	2981.661966	2898.204768	1944.809088	1916.541979	1718.276616	1900.323623	1498.915273	2190.175161	 Enolase - ENO	
KMXK_0H04250	W0TJE4	KLMA_70426	285.0551393	599.2120328	727.8905857	363.8002185	622.3175485	939.0984601	614.9951604	516.320337	520.6366745	588.4082077	950.2168354	898.4215479	 Peroxisomal hydratase-dehydrogenase-epimerase - FOX2	
KMXK_0C03060	W0T7K6	KLMA_30312	949.646169	762.9180955	956.9342406	766.2922878	537.3410727	430.4827609	722.5378671	677.8619503	759.4794072	619.2475734	878.2880032	652.390987	" Aconitate hydratase, mitochondrial - ACO2b"	4.2.1.-
KMXK_0A07020	W0T2Z0	KLMA_10153	12.1232946	13.55882517	14.16294838	2.522301402	2.868674071	0	1.83293304	6.198897743	12.62155621	14.19733967	12.61987833	1.995990388	" Aconitate hydratase, mitochondrial - ACO2a"	4.2.1.-
KMXK_0F01270	W0TFY6	KLMA_60435	1352.663085	915.368716	1260.588809	709.1541738	1025.711275	1115.167161	1001.770353	809.3944326	1100.167616	1034.805907	1365.192745	1410.254594	 ATP synthase subunit beta - ATP2	3.6.3.14
KMXK_0H00490	W0TIE1	KLMA_70051	1149.929007	1473.302096	1617.857165	1925.821161	2030.524926	734.3991744	1667.736592	1859.589409	943.8724803	1491.228239	1633.589969	1149.164802	 Actin - ACT	
KMXK_0A03010	W0T3H5	KLMA_10540	1438.919429	1089.866943	1053.608294	1547.773766	1544.454689	1771.190691	1214.078639	1243.304151	1325.117405	1264.880365	1136.906768	1592.189653	 Phosphoglycerate kinase - PGK	2.7.2.3
KMXK_0B05960	W0T6K4	KLMA_20582	719.0618307	513.2655005	551.2065925	417.0135276	419.9891733	412.7834832	480.5792608	511.1212507	531.8865402	552.5450642	656.9375408	523.3314933	 Elongation factor 2 - EFT1	
KMXK_0D06570	W0TC93	KLMA_40624	628.9474094	1277.943162	1273.798869	1356.558299	1626.852931	1681.814599	1175.719768	1245.323116	1592.779803	1170.942486	1697.248213	1385.966804	 Alcohol dehydrogenase - adh	
KMXK_0G03550	W0TKF9	KLMA_80348	735.6111862	627.5172248	690.8959923	367.8028394	327.6631448	234.8574365	679.080831	621.855526	671.347915	550.3372546	425.0526586	487.3596331	 5-methyltetrahydropteroyltriglutamate homocysteine methyltransferase - MET6	
KMXK_0F01580	W0TF55	KLMA_60412	1101.719789	1471.938444	505.7838762	513.8786103	655.6367642	444.2989092	1987.372471	1520.947298	2649.166019	307.7508222	248.3849035	486.3587219	 Phosphotransferase - RAG5	2.7.1.-
KMXK_0H01380	W0TG03	KLMA_70140	861.9916275	695.3992099	925.2662273	829.114208	783.001241	956.1989425	681.1966037	572.9285499	835.8802522	1009.460575	788.4386551	780.4410999	 ATP synthase subunit alpha - ATP1	
KMXK_0F03550	W0TDT2	KLMA_60219	892.149429	792.1521235	744.7233759	566.5220613	742.6594312	868.0165843	970.2220065	863.0347565	757.6516136	735.8271002	1186.474174	1226.381379	 Pyruvate kinase - PYK1	2.7.1.40
KMXK_0A03800	W0T7K4	KLMA_10457	493.9733769	382.8025303	421.3875095	360.0213956	212.1538305	298.6244298	535.6645054	458.441729	410.7279826	416.997375	448.8752826	355.9950182	 Plasma membrane ATPase - PMA1	3.6.3.6
KMXK_0C02930	W0T7J1	KLMA_30297	0	3.62903751	2.047288713	0	0	0	0	2.705487115	1.035082088	0	2.974693256	2.009666523	 Phospholipid-transporting ATPase - DNF1	3.6.3.1
KMXK_0C06020	W0T8F1	KLMA_30602	252.5058724	657.4462837	717.9936114	302.7347529	266.4513	572.9758182	468.7066217	386.9786319	476.0991202	416.0491609	514.5665752	496.4462301	 Acetyl-coenzyme A synthetase - ACS1	6.2.1.1
KMXK_0E05360	W0TC09	KLMA_50533	54.83984406	65.46591171	64.06623831	37.23745941	29.93583081	18.26548534	35.41609582	35.71831235	40.3566868	59.09457812	30.83093842	16.7177557	 Acetyl-coenzyme A synthetase - ACS2	6.2.1.1
KMXK_0E04230	W0TDD2	KLMA_50419	138.7819413	307.5070602	400.2001818	453.2249214	1022.535982	1118.165941	474.2228202	797.687499	197.9076833	527.35454	645.8213918	480.5255182	 Catalase - CTT1	1.11.1.6
KMXK_0D05520	W0TAW0	KLMA_40526	101.7799272	127.697404	158.1260183	54.8013862	73.88655638	81.35894442	140.732381	96.3606955	112.384946	107.7897554	144.4829649	112.9753871	 Fatty acid synthase subunit beta - FAS1	
KMXK_0B05900	W0T7K3	KLMA_20575	256.468048	95.66003181	113.8515107	90.64149612	206.3275398	247.2263947	193.5584541	155.1191193	278.1514886	146.6029913	191.3289024	234.0971026	" Isocitrate dehydrogenase [NAD] subunit, mitochondrial - IDH2"	
KMXK_0C01510	W0TBI1	KLMA_30149	754.3005709	728.4626572	1029.327152	517.0161982	335.4711939	289.5796835	687.8644527	464.4878773	829.9068388	562.1934079	456.2333231	723.6848173	 Isocitrate dehydrogenase [NADP] - IDP2	1.1.1.42
KMXK_0D04930	W0TEG4	KLMA_40470	323.6424398	281.9964102	445.7893248	347.8389322	210.9765155	187.9107315	320.877064	288.4764675	339.4232619	356.8279916	427.9945988	382.0889115	 Isocitrate dehydrogenase [NADP] - IDP1	1.1.1.42
