GeneName_CENPK	uniprotID_S288c	GeneName_S288C	standard_A	standard_B	standard_C	high_temp_A	high_temp_B	high_temp_C	low_pH_A	low_pH_B	low_pH_C	osmotic_stress_A	osmotic_stress_B	osmotic_stress_C	uniprotID_CENPK	Protein_name
CENPK1137D_2389	P46367	YOR374W	2568.551946	2533.407871	2478.113525	2376.961294	2386.741384	2372.144719	2535.115949	2560.180102	2492.825815	2257.796869	2447.370942	2174.900784	N1NZ13	" Potassium-activated aldehyde dehydrogenase, mitochondrial - ALD4"
CENPK1137D_1639	P54115	YPL061W	931.3229069	854.267842	884.8058508	741.5832229	731.4221517	773.1977737	708.4522775	799.0837182	879.5100962	1331.464067	1318.522908	1364.779885	N1NX93	" Magnesium-activated aldehyde dehydrogenase, cytosolic - ALD6"
CENPK1137D_3481	P40047	YER073W	201.6294591	271.9749023	265.5694373	198.069603	211.8202294	176.2659768	232.367821	227.2397699	168.0409741	132.8840138	92.48596023	124.9436478	N1P4W5	" Aldehyde dehydrogenase 5, mitochondrial - ALD5"
CENPK1137D_3157	P00359	YGR192C	3125.054454	3249.408666	3350.811492	3173.137785	3310.09662	3136.516724	3069.937761	3336.45426	3756.903089	4076.717709	4022.129032	4064.177059	N1P2H7	 Glyceraldehyde-3-phosphate dehydrogenase 3 - TDH3
CENPK1137D_1304	P00358	YJR009C	2256.6334	2284.074234	2119.66391	2385.313821	2260.700986	2442.950704	2367.050185	2384.021914	2683.683107	3331.084374	3376.07728	3210.57873	N1P004	 Glyceraldehyde-3-phosphate dehydrogenase 2 - TDH2
CENPK1137D_1249	P00360	YJL052W	1143.522702	1244.117345	1076.880872	1189.698965	1304.702066	1139.469737	1101.204907	1237.231889	1436.857916	1431.122426	1406.196186	1333.490331	N1NZW1	 Glyceraldehyde-3-phosphate dehydrogenase 1 - TDH1
CENPK1137D_4664	P02994	YPR080W	2078.806565	2200.253968	2021.081903	1876.871457	1971.007717	1864.730188	1838.537988	1996.020166	2067.43967	1867.245532	1913.313315	2045.149856	N1P8G0	 YBR118W
CENPK1137D_4509	P00560	YCR012W	1739.309641	1582.925397	1498.277665	1659.089756	1678.509574	1781.314041	1499.160108	1617.192616	1716.706504	2049.593094	2099.999429	2011.211755	N1P832	 Phosphoglycerate kinase - PGK1
CENPK1137D_3221	P00924	YGR254W	1662.419054	1477.745908	1515.044047	1231.458463	1692.629169	1142.845342	1015.808568	1242.681	1665.766761	1526.175251	1353.49674	1535.312347	N1P439	 Enolase 1 - ENO1
CENPK1137D_5376	P38689	YHL011C	95.51712807	115.1783012	178.8191623	163.6917411	134.4219704	128.8650325	114.8819933	103.3445481	138.8750177	143.0170411	127.7667085	165.044937	N1P336	 Ribose-phosphate pyrophosphokinase 3 - PRS3
