Sequence Name,Annotation GO Term
KMXK0C00810,'de novo' AMP biosynthetic process
KMXK0E06060,'de novo' AMP biosynthetic process
KMXK0D05310,'de novo' cotranslational protein folding
KMXK0E05880,'de novo' cotranslational protein folding
KMXK0F01830,'de novo' cotranslational protein folding
KMXK0H00840,'de novo' CTP biosynthetic process
KMXK0A03360,'de novo' IMP biosynthetic process
KMXK0A06660,'de novo' IMP biosynthetic process
KMXK0B06100,'de novo' IMP biosynthetic process
KMXK0C00810,'de novo' IMP biosynthetic process
KMXK0C06490,'de novo' IMP biosynthetic process
KMXK0C07040,'de novo' IMP biosynthetic process
KMXK0D00970,'de novo' IMP biosynthetic process
KMXK0E02870,'de novo' IMP biosynthetic process
KMXK0A01630,'de novo' L-methionine biosynthetic process
KMXK0C03190,'de novo' L-methionine biosynthetic process
KMXK0B02970,'de novo' protein folding
KMXK0B04330,'de novo' protein folding
KMXK0B07830,'de novo' protein folding
KMXK0E03480,'de novo' protein folding
KMXK0G01820,'de novo' protein folding
KMXK0A00130,'de novo' pyrimidine nucleobase biosynthetic process
KMXK0A01090,'de novo' pyrimidine nucleobase biosynthetic process
KMXK0A02060,'de novo' pyrimidine nucleobase biosynthetic process
KMXK0A02520,'de novo' pyrimidine nucleobase biosynthetic process
KMXK0C04780,'de novo' pyrimidine nucleobase biosynthetic process
KMXK0F05420,'de novo' pyrimidine nucleobase biosynthetic process
KMXK0A00130,'de novo' UMP biosynthetic process
KMXK0A01090,'de novo' UMP biosynthetic process
KMXK0A02060,'de novo' UMP biosynthetic process
KMXK0A02520,'de novo' UMP biosynthetic process
KMXK0C04780,'de novo' UMP biosynthetic process
KMXK0F05420,'de novo' UMP biosynthetic process
KMXK0C04940,(1->3)-beta-D-glucan biosynthetic process
KMXK0E02020,(1->3)-beta-D-glucan biosynthetic process
KMXK0G02070,(1->3)-beta-D-glucan biosynthetic process
KMXK0E04150,(1->3)-beta-D-glucan metabolic process
KMXK0A04840,(1->6)-beta-D-glucan biosynthetic process
KMXK0B05640,(1->6)-beta-D-glucan biosynthetic process
KMXK0C06970,(1->6)-beta-D-glucan biosynthetic process
KMXK0F01150,(1->6)-beta-D-glucan biosynthetic process
KMXK0F02550,(1->6)-beta-D-glucan biosynthetic process
KMXK0C05050,(R)-carnitine transport
KMXK0H03050,(R)-carnitine transport
KMXK0G02740,2-micrometer plasmid partitioning
KMXK0E04970,2-oxoglutarate metabolic process
KMXK0F00260,2-oxoglutarate metabolic process
KMXK0F01480,2-oxoglutarate metabolic process
KMXK0D01340,3-keto-sphinganine metabolic process
KMXK0E03750,3,4-dihydroxybenzoate catabolic process
KMXK0B04710,3'-phospho-5'-adenylyl sulfate transmembrane transport
KMXK0A06160,3'-UTR-mediated mRNA destabilization
KMXK0A06790,5-phosphoribose 1-diphosphate biosynthetic process
KMXK0D05500,5-phosphoribose 1-diphosphate biosynthetic process
KMXK0F02520,5-phosphoribose 1-diphosphate biosynthetic process
KMXK0G03670,5-phosphoribose 1-diphosphate biosynthetic process
KMXK0B04710,5'-adenylyl sulfate transmembrane transport
KMXK0A03900,5S class rRNA transcription by RNA polymerase III
KMXK0A07430,5S class rRNA transcription by RNA polymerase III
KMXK0B04560,5S class rRNA transcription by RNA polymerase III
KMXK0D03440,5S class rRNA transcription by RNA polymerase III
KMXK0D04970,5S class rRNA transcription by RNA polymerase III
KMXK0G03240,5S class rRNA transcription by RNA polymerase III
KMXK0H00210,7-methylguanosine cap hypermethylation
KMXK0B02510,7-methylguanosine mRNA capping
KMXK0C03230,7-methylguanosine mRNA capping
KMXK0C03520,7-methylguanosine mRNA capping
KMXK0D05760,7-methylguanosine mRNA capping
KMXK0D06370,7-methylguanosine mRNA capping
KMXK0E02840,7-methylguanosine mRNA capping
KMXK0H02230,7-methylguanosine mRNA capping
KMXK0H00210,7-methylguanosine RNA capping
KMXK0A03520,7,8-dihydroneopterin 3'-triphosphate biosynthetic process
KMXK0C06790,7,8-dihydroneopterin 3'-triphosphate biosynthetic process
KMXK0A00970,acetate biosynthetic process
KMXK0D04260,acetate biosynthetic process
KMXK0E00190,acetate biosynthetic process
KMXK0C06020,acetate fermentation
KMXK0B00530,acetate metabolic process
KMXK0B06180,acetate metabolic process
KMXK0B00180,acetate transport
KMXK0B01120,acetate transport
KMXK0G04150,acetate transport
KMXK0C06020,acetyl-CoA biosynthetic process from acetate
KMXK0E05360,acetyl-CoA biosynthetic process from acetate
KMXK0B01850,acetyl-CoA biosynthetic process from pyruvate
KMXK0B02930,acetyl-CoA biosynthetic process from pyruvate
KMXK0F00380,acetyl-CoA biosynthetic process from pyruvate
KMXK0G00760,acetyl-CoA biosynthetic process from pyruvate
KMXK0B00530,acetyl-CoA metabolic process
KMXK0B02940,acetyl-CoA transport
KMXK0B02660,actin cortical patch assembly
KMXK0C03820,actin cortical patch assembly
KMXK0D04710,actin cortical patch assembly
KMXK0E03730,actin cortical patch assembly
KMXK0F04120,actin cortical patch assembly
KMXK0G01420,actin cortical patch assembly
KMXK0G02990,actin cortical patch assembly
KMXK0H01720,actin cortical patch assembly
KMXK0H02540,actin cortical patch assembly
KMXK0A02230,actin cortical patch localization
KMXK0A04040,actin cortical patch localization
KMXK0A06410,actin cortical patch localization
KMXK0A07930,actin cortical patch localization
KMXK0B01130,actin cortical patch localization
KMXK0B05930,actin cortical patch localization
KMXK0B06080,actin cortical patch localization
KMXK0C01120,actin cortical patch localization
KMXK0D00350,actin cortical patch localization
KMXK0E02090,actin cortical patch localization
KMXK0G02280,actin cortical patch localization
KMXK0A01110,actin cytoskeleton organization
KMXK0A01660,actin cytoskeleton organization
KMXK0A01790,actin cytoskeleton organization
KMXK0A05280,actin cytoskeleton organization
KMXK0B00860,actin cytoskeleton organization
KMXK0B04470,actin cytoskeleton organization
KMXK0C00770,actin cytoskeleton organization
KMXK0C02840,actin cytoskeleton organization
KMXK0D01350,actin cytoskeleton organization
KMXK0E04120,actin cytoskeleton organization
KMXK0E05530,actin cytoskeleton organization
KMXK0G00240,actin cytoskeleton organization
KMXK0G02710,actin cytoskeleton organization
KMXK0B01130,actin cytoskeleton reorganization
KMXK0H02680,actin cytoskeleton reorganization
KMXK0A04040,actin filament bundle assembly
KMXK0B02110,actin filament bundle assembly
KMXK0F04250,actin filament bundle assembly
KMXK0G01590,actin filament bundle assembly
KMXK0G02280,actin filament bundle assembly
KMXK0D01150,actin filament debranching
KMXK0G04220,actin filament depolymerization
KMXK0A02670,actin filament organization
KMXK0A07130,actin filament organization
KMXK0A07930,actin filament organization
KMXK0B08390,actin filament organization
KMXK0C02420,actin filament organization
KMXK0C03820,actin filament organization
KMXK0D01910,actin filament organization
KMXK0D04710,actin filament organization
KMXK0E01200,actin filament organization
KMXK0E02090,actin filament organization
KMXK0F00630,actin filament organization
KMXK0F00650,actin filament organization
KMXK0F05440,actin filament organization
KMXK0G01290,actin filament organization
KMXK0G01420,actin filament organization
KMXK0G02180,actin filament organization
KMXK0H01290,actin filament organization
KMXK0H02540,actin filament organization
KMXK0E05840,actin filament reorganization involved in cell cycle
KMXK0A02670,actin filament severing
KMXK0G04220,actin filament severing
KMXK0A06890,actin filament-based process
KMXK0D06420,actin filament-based process
KMXK0E05090,actin filament-based process
KMXK0A07490,actin nucleation
KMXK0B02470,actin nucleation
KMXK0F03340,actin nucleation
KMXK0F04250,actin polymerization or depolymerization
KMXK0G02360,activation of adenylate cyclase activity
KMXK0A04400,activation of GTPase activity
KMXK0B08430,activation of GTPase activity
KMXK0E02750,activation of GTPase activity
KMXK0H02470,activation of MAPK activity involved in conjugation with cellular fusion
KMXK0F05440,activation of MAPK activity involved in osmosensory signaling pathway
KMXK0C00860,activation of MAPKK activity
KMXK0A02140,activation of protein kinase activity
KMXK0A07490,actomyosin contractile ring actin filament bundle assembly
KMXK0B01000,actomyosin contractile ring assembly
KMXK0B02550,actomyosin contractile ring assembly
KMXK0D02340,actomyosin contractile ring assembly
KMXK0F03420,actomyosin contractile ring assembly
KMXK0A01820,actomyosin contractile ring contraction
KMXK0B01000,actomyosin contractile ring contraction
KMXK0D04990,actomyosin contractile ring contraction
KMXK0H00490,actomyosin contractile ring contraction
KMXK0F04900,acyl-CoA metabolic process
KMXK0A02030,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK0E01880,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK0E04700,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK0E05480,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK0F04030,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK0C03460,adaptation to pheromone regulating conjugation with mutual genetic exchange
KMXK0B04680,adenine biosynthetic process
KMXK0C06490,adenine biosynthetic process
KMXK0A00920,adenine catabolic process
KMXK0D06170,adenine salvage
KMXK0F01380,adenylate cyclase-activating G-protein coupled receptor signaling pathway
KMXK0F04030,adenylate cyclase-activating G-protein coupled receptor signaling pathway
KMXK0C02270,adenylate cyclase-modulating G-protein coupled receptor signaling pathway
KMXK0F00420,adhesion of symbiont to host
KMXK0B01790,ADP biosynthetic process
KMXK0H03500,ADP transport
KMXK0A01170,aerobic respiration
KMXK0A02580,aerobic respiration
KMXK0A04720,aerobic respiration
KMXK0A05920,aerobic respiration
KMXK0A08150,aerobic respiration
KMXK0B00750,aerobic respiration
KMXK0B02540,aerobic respiration
KMXK0B03140,aerobic respiration
KMXK0B03500,aerobic respiration
KMXK0B04190,aerobic respiration
KMXK0B05040,aerobic respiration
KMXK0B05580,aerobic respiration
KMXK0B06190,aerobic respiration
KMXK0B08110,aerobic respiration
KMXK0C02100,aerobic respiration
KMXK0C02170,aerobic respiration
KMXK0C03700,aerobic respiration
KMXK0C05250,aerobic respiration
KMXK0D00970,aerobic respiration
KMXK0D04300,aerobic respiration
KMXK0D05020,aerobic respiration
KMXK0D06530,aerobic respiration
KMXK0E01540,aerobic respiration
KMXK0E02730,aerobic respiration
KMXK0E03060,aerobic respiration
KMXK0E03190,aerobic respiration
KMXK0E04780,aerobic respiration
KMXK0F03040,aerobic respiration
KMXK0F05580,aerobic respiration
KMXK0F05680,aerobic respiration
KMXK0G02530,aerobic respiration
KMXK0G02670,aerobic respiration
KMXK0H00180,aerobic respiration
KMXK0H00920,aerobic respiration
KMXK0H03070,aerobic respiration
KMXK0H03500,aerobic respiration
KMXK0H04260,aerobic respiration
KMXK0D03360,age-dependent response to oxidative stress involved in chronological cell aging
KMXK0D05030,age-dependent response to oxidative stress involved in chronological cell aging
KMXK0F01710,age-dependent response to reactive oxygen species
KMXK0B05680,age-dependent response to reactive oxygen species involved in chronological cell aging
KMXK0B00670,agglutination involved in conjugation with cellular fusion
KMXK0D02020,agglutination involved in conjugation with cellular fusion
KMXK0G00800,agglutination involved in conjugation with cellular fusion
KMXK0D01630,alanine biosynthetic process
KMXK0A02120,alanyl-tRNA aminoacylation
KMXK0A06690,alcohol metabolic process
KMXK0C02050,alcohol metabolic process
KMXK0F01240,alcohol metabolic process
KMXK0G02880,alcohol metabolic process
KMXK0G03470,alcohol metabolic process
KMXK0F03930,alkanesulfonate catabolic process
KMXK0A02040,allantoate transport
KMXK0F01550,allantoate transport
KMXK0A06630,allantoin assimilation pathway
KMXK0A00250,allantoin catabolic process
KMXK0D03860,allantoin catabolic process
KMXK0D05370,allantoin catabolic process
KMXK0F03310,allantoin catabolic process
KMXK0H01620,allantoin catabolic process
KMXK0D03610,alpha-amino acid biosynthetic process
KMXK0E01570,alpha-amino acid biosynthetic process
KMXK0E04730,alpha-amino acid biosynthetic process
KMXK0B03390,alpha-ketoglutarate transport
KMXK0F02450,amine metabolic process
KMXK0A00520,amine transport
