W29 Uniprot	Annotation GO ID	Annotation GO Term	Annotation GO Category
A0A1D8NAR9	GO:0004750	ribulose-phosphate 3-epimerase activity	Molecular Function
A0A1D8NAR9	GO:0005975	carbohydrate metabolic process	Biological Process
A0A1D8NAR9	GO:0006098	pentose-phosphate shunt	Biological Process
A0A1D8NAR9	GO:0046872	metal ion binding	Molecular Function
A0A1D8N6C1	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	Molecular Function
A0A1D8N6C1	GO:0005576	extracellular region	Cellular Component
A0A1D8N6C1	GO:0009263	deoxyribonucleotide biosynthetic process	Biological Process
A0A1D8N6C1	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N6C1	GO:0046872	metal ion binding	Molecular Function
A0A1D8N6C1	GO:0050525	cutinase activity	Molecular Function
A0A1D8N6C1	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8NP42	GO:0000139	Golgi membrane	Cellular Component
A0A1D8NP42	GO:0005198	structural molecule activity	Molecular Function
A0A1D8NP42	GO:0006886	intracellular protein transport	Biological Process
A0A1D8NP42	GO:0006888	ER to Golgi vesicle-mediated transport	Biological Process
A0A1D8NP42	GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	Biological Process
A0A1D8NP42	GO:0006891	intra-Golgi vesicle-mediated transport	Biological Process
A0A1D8NP42	GO:0030126	COPI vesicle coat	Cellular Component
A0A1D8N6E6	GO:0005783	endoplasmic reticulum	Cellular Component
A0A1D8N6E6	GO:0006506	GPI anchor biosynthetic process	Biological Process
A0A1D8N6E6	GO:0006888	ER to Golgi vesicle-mediated transport	Biological Process
A0A1D8N6E6	GO:0016021	integral component of membrane	Cellular Component
A0A1D8N6E6	GO:0016787	hydrolase activity	Molecular Function
A0A1D8N6K4	GO:0016021	integral component of membrane	Cellular Component
A0A1D8NC36	GO:0005344	oxygen carrier activity	Molecular Function
A0A1D8NC36	GO:0005622	intracellular	Cellular Component
A0A1D8NC36	GO:0015671	oxygen transport	Biological Process
A0A1D8NC36	GO:0016491	oxidoreductase activity	Molecular Function
A0A1D8NC36	GO:0019825	oxygen binding	Molecular Function
A0A1D8NC36	GO:0020037	heme binding	Molecular Function
A0A1D8NC36	GO:0046872	metal ion binding	Molecular Function
A0A1D8NC36	GO:0055114	oxidation-reduction process	Biological Process
A0A1D8NC36	GO:0070458	cellular detoxification of nitrogen compound	Biological Process
A0A1D8NDU7	GO:0003712	transcription coregulator activity	Molecular Function
