genes	Goterms	Annotation GO Category
A0A1D8NAR9	ribulose-phosphate 3-epimerase activity	Molecular Function
A0A1D8NAR9	carbohydrate metabolic process	Biological Process
A0A1D8NAR9	pentose-phosphate shunt	Biological Process
A0A1D8NAR9	metal ion binding	Molecular Function
A0A1D8N6C1	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	Molecular Function
A0A1D8N6C1	extracellular region	Cellular Component
A0A1D8N6C1	deoxyribonucleotide biosynthetic process	Biological Process
A0A1D8N6C1	integral component of membrane	Cellular Component
A0A1D8N6C1	metal ion binding	Molecular Function
A0A1D8N6C1	cutinase activity	Molecular Function
A0A1D8N6C1	oxidation-reduction process	Biological Process
A0A1D8NP42	Golgi membrane	Cellular Component
A0A1D8NP42	structural molecule activity	Molecular Function
A0A1D8NP42	intracellular protein transport	Biological Process
A0A1D8NP42	ER to Golgi vesicle-mediated transport	Biological Process
A0A1D8NP42	"retrograde vesicle-mediated transport, Golgi to ER"	Biological Process
A0A1D8NP42	intra-Golgi vesicle-mediated transport	Biological Process
A0A1D8NP42	COPI vesicle coat	Cellular Component
A0A1D8N6E6	endoplasmic reticulum	Cellular Component
A0A1D8N6E6	GPI anchor biosynthetic process	Biological Process
A0A1D8N6E6	ER to Golgi vesicle-mediated transport	Biological Process
A0A1D8N6E6	integral component of membrane	Cellular Component
A0A1D8N6E6	hydrolase activity	Molecular Function
A0A1D8N6K4	integral component of membrane	Cellular Component
A0A1D8NC36	oxygen carrier activity	Molecular Function
A0A1D8NC36	intracellular	Cellular Component
A0A1D8NC36	oxygen transport	Biological Process
A0A1D8NC36	oxidoreductase activity	Molecular Function
A0A1D8NC36	oxygen binding	Molecular Function
A0A1D8NC36	heme binding	Molecular Function
A0A1D8NC36	metal ion binding	Molecular Function
A0A1D8NC36	oxidation-reduction process	Biological Process
A0A1D8NC36	cellular detoxification of nitrogen compound	Biological Process
A0A1D8NDU7	transcription coregulator activity	Molecular Function
A0A1D8NDU7	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NDU7	mediator complex	Cellular Component
A0A1D8N8H0	magnesium ion binding	Molecular Function
A0A1D8N8H0	[acyl-carrier-protein] S-malonyltransferase activity	Molecular Function
A0A1D8N8H0	3-oxoacyl-[acyl-carrier-protein] synthase activity	Molecular Function
A0A1D8N8H0	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	Molecular Function
A0A1D8N8H0	fatty acid synthase complex	Cellular Component
A0A1D8N8H0	holo-[acyl-carrier-protein] synthase activity	Molecular Function
A0A1D8N8H0	pathogenesis	Biological Process
A0A1D8N8H0	long-chain fatty acid biosynthetic process	Biological Process
A0A1D8N8H0	oxidation-reduction process	Biological Process
A0A1D8N7N0	nucleotide binding	Molecular Function
A0A1D8N7N0	inositol hexakisphosphate kinase activity	Molecular Function
A0A1D8N7N0	inositol heptakisphosphate kinase activity	Molecular Function
A0A1D8N7N0	cytosol	Cellular Component
A0A1D8N7N0	inositol metabolic process	Biological Process
A0A1D8N7N0	phosphorylation	Biological Process
A0A1D8N7N0	dephosphorylation	Biological Process
A0A1D8N7N0	regulation of mitotic spindle elongation	Biological Process
A0A1D8N7N0	inositol phosphate biosynthetic process	Biological Process
A0A1D8N7N0	diphosphoinositol-pentakisphosphate kinase activity	Molecular Function
A0A1D8N7N0	ion binding	Molecular Function
A0A1D8N7N0	regulation of bipolar cell growth	Biological Process
A0A1D8N7N0	"2 iron, 2 sulfur cluster binding"	Molecular Function
A0A1D8N7N0	"inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate 1-diphosphatase activity"	Molecular Function
A0A1D8N7N0	"inositol 1,5-bisdiphosphate 2,3,4,6-tetrakisphosphate 1-diphosphatase activity"	Molecular Function
A0A1D8N7N0	regulation of mitotic spindle assembly	Biological Process
A0A1D8NFJ7	transport	Biological Process
A0A1D8NFJ7	phosphatidylinositol binding	Molecular Function
A0A1D8NFJ7	cell part	Cellular Component
A0A1D8NQE5	"cytochrome-b5 reductase activity, acting on NAD(P)H"	Molecular Function
A0A1D8NQE5	integral component of membrane	Cellular Component
A0A1D8NQE5	electron transport chain	Biological Process
A0A1D8NG93	fungal-type vacuole membrane	Cellular Component
A0A1D8NG93	ATP binding	Molecular Function
A0A1D8NG93	plasma membrane	Cellular Component
A0A1D8NG93	integral component of membrane	Cellular Component
A0A1D8NG93	"ATPase activity, coupled to transmembrane movement of substances"	Molecular Function
A0A1D8NG93	transmembrane transport	Biological Process
A0A1H6PPB2	ribonuclease MRP activity	Molecular Function
A0A1H6PPB2	ribonuclease MRP complex	Cellular Component
A0A1H6PPB2	tRNA 5'-leader removal	Biological Process
A0A1H6PPB2	ribonuclease P activity	Molecular Function
A0A1H6PPB2	nucleolar ribonuclease P complex	Cellular Component
A0A1H6PPB2	"RNA phosphodiester bond hydrolysis, endonucleolytic"	Biological Process
A0A1H6PQH8	transcription coactivator activity	Molecular Function
A0A1H6PQH8	regulation of transcription by RNA polymerase II	Biological Process
