"ensembl_gene_id","name_1006"
"YHR055C","detoxification of copper ion"
"YHR055C","detoxification of cadmium ion"
"YHR055C","response to copper ion"
"YHR055C","removal of superoxide radicals"
"YPR161C","transcription, DNA-templated"
"YPR161C","regulation of cell cycle"
"YPR161C","phosphorylation of RNA polymerase II C-terminal domain"
"YPR161C","protein phosphorylation"
"YPR161C","positive regulation of histone H3-K4 methylation"
"YOL138C","protein transport"
"YDR395W","intracellular protein transport"
"YDR395W","mRNA export from nucleus"
"YDR395W","nucleocytoplasmic transport"
"YGR129W","mRNA splicing, via spliceosome"
"YPR165W","small GTPase mediated signal transduction"
"YPR165W","regulation of fungal-type cell wall organization"
"YPR165W","obsolete GTP catabolic process"
"YPR165W","regulation of protein localization"
"YPR165W","actin cytoskeleton organization"
"YPR165W","budding cell bud growth"
"YPR165W","regulation of cell size"
"YPR165W","regulation of vacuole fusion, non-autophagic"
"YPR165W","regulation of cell wall (1->3)-beta-D-glucan biosynthetic process"
"YPR165W","actin cytoskeleton reorganization"
"YPR165W","positive regulation of endocytosis"
"YPR165W","regulation of exocyst localization"
"YPR165W","positive regulation of protein kinase C signaling"
"YPR098C","biological_process"
"YPL015C","protein deacetylation"
"YPL015C","transcription, DNA-templated"
"YPL015C","negative regulation of chromatin silencing at telomere"
"YPL015C","negative regulation of mitotic recombination"
"YPL015C","chromatin silencing at rDNA"
"YPL015C","chronological cell aging"
"YPL015C","histone H4 deacetylation"
"YCL050C","metabolic process"
"YCL050C","nucleotide metabolic process"
"YCL050C","nucleoside catabolic process"
"YCL050C","nucleotide biosynthetic process"
"YMR193W","mitochondrial translation"
"YMR193W","translation"
"YLR031W","biological_process"
"YIL014C-A","biological_process"
"YGR053C","biological_process"
"YCR101C","biological_process"
"YER087C-B","intracellular protein transport"
"YER087C-B","positive regulation of GTPase activity"
"YER087C-B","SRP-dependent cotranslational protein targeting to membrane, translocation"
"YER087C-B","posttranslational protein targeting to membrane, translocation"
"YOR280C","biological_process"
"YGR097W","positive regulation of glycerol transport"
"YGR097W","cellular response to oxidative stress"
"YGR097W","transcription, DNA-templated"
"YGR097W","positive regulation of transcription from RNA polymerase II promoter"
"YGR097W","cellular protein catabolic process"
"YHR215W","dephosphorylation"
"YKL025C","DNA repair"
"YKL025C","mRNA processing"
"YKL025C","nuclear-transcribed mRNA poly(A) tail shortening"
"YKL025C","postreplication repair"
"YKL025C","RNA phosphodiester bond hydrolysis, exonucleolytic"
"YKL025C","protein phosphorylation"
"YKR011C","biological_process"
"YEL004W","carbohydrate transport"
"YEL004W","fungal-type cell wall chitin biosynthetic process"
"YEL004W","transmembrane transport"
"YEL004W","transport"
"YEL004W","nucleotide-sugar transport"
"YEL004W","UDP-glucose transport"
"YEL004W","UDP-N-acetylglucosamine transport"
"YJL200C","tricarboxylic acid cycle"
"YJL200C","biological_process"
"YJL200C","metabolic process"
"YJL200C","lysine biosynthetic process via aminoadipic acid"
"YLL027W","iron-sulfur cluster assembly"
"YLL027W","biotin biosynthetic process"
"YLR045C","mitotic spindle organization in nucleus"
"YLR045C","microtubule nucleation"
"YDR348C","biological_process"
"YDR348C","endocytosis"
"YPL183C","tRNA processing"
"YPL183C","endocytic recycling"
"YGR003W","protein ubiquitination involved in ubiquitin-dependent protein catabolic process"
"YGR003W","ubiquitin-dependent protein catabolic process"
