genes	Goterm
KMXK_0C00810	'de novo' AMP biosynthetic process
KMXK_0E06060	'de novo' AMP biosynthetic process
KMXK_0D05310	'de novo' cotranslational protein folding
KMXK_0E05880	'de novo' cotranslational protein folding
KMXK_0F01830	'de novo' cotranslational protein folding
KMXK_0H00840	'de novo' CTP biosynthetic process
KMXK_0A03360	'de novo' IMP biosynthetic process
KMXK_0A06660	'de novo' IMP biosynthetic process
KMXK_0B06100	'de novo' IMP biosynthetic process
KMXK_0C00810	'de novo' IMP biosynthetic process
KMXK_0C06490	'de novo' IMP biosynthetic process
KMXK_0C07040	'de novo' IMP biosynthetic process
KMXK_0D00970	'de novo' IMP biosynthetic process
KMXK_0E02870	'de novo' IMP biosynthetic process
KMXK_0A01630	'de novo' L-methionine biosynthetic process
KMXK_0C03190	'de novo' L-methionine biosynthetic process
KMXK_0B02970	'de novo' protein folding
KMXK_0B04330	'de novo' protein folding
KMXK_0B07830	'de novo' protein folding
KMXK_0E03480	'de novo' protein folding
KMXK_0G01820	'de novo' protein folding
KMXK_0A00130	'de novo' pyrimidine nucleobase biosynthetic process
KMXK_0A01090	'de novo' pyrimidine nucleobase biosynthetic process
KMXK_0A02060	'de novo' pyrimidine nucleobase biosynthetic process
KMXK_0A02520	'de novo' pyrimidine nucleobase biosynthetic process
KMXK_0C04780	'de novo' pyrimidine nucleobase biosynthetic process
KMXK_0F05420	'de novo' pyrimidine nucleobase biosynthetic process
KMXK_0A00130	'de novo' UMP biosynthetic process
KMXK_0A01090	'de novo' UMP biosynthetic process
KMXK_0A02060	'de novo' UMP biosynthetic process
KMXK_0A02520	'de novo' UMP biosynthetic process
KMXK_0C04780	'de novo' UMP biosynthetic process
KMXK_0F05420	'de novo' UMP biosynthetic process
KMXK_0C04940	(1->3)-beta-D-glucan biosynthetic process
KMXK_0E02020	(1->3)-beta-D-glucan biosynthetic process
KMXK_0G02070	(1->3)-beta-D-glucan biosynthetic process
KMXK_0E04150	(1->3)-beta-D-glucan metabolic process
KMXK_0A04840	(1->6)-beta-D-glucan biosynthetic process
KMXK_0B05640	(1->6)-beta-D-glucan biosynthetic process
KMXK_0C06970	(1->6)-beta-D-glucan biosynthetic process
KMXK_0F01150	(1->6)-beta-D-glucan biosynthetic process
KMXK_0F02550	(1->6)-beta-D-glucan biosynthetic process
KMXK_0C05050	(R)-carnitine transport
KMXK_0H03050	(R)-carnitine transport
KMXK_0G02740	2-micrometer plasmid partitioning
KMXK_0E04970	2-oxoglutarate metabolic process
KMXK_0F00260	2-oxoglutarate metabolic process
KMXK_0F01480	2-oxoglutarate metabolic process
KMXK_0D01340	3-keto-sphinganine metabolic process
KMXK_0E03750	"3,4-dihydroxybenzoate catabolic process"
KMXK_0B04710	3'-phospho-5'-adenylyl sulfate transmembrane transport
KMXK_0A06160	3'-UTR-mediated mRNA destabilization
KMXK_0A06790	5-phosphoribose 1-diphosphate biosynthetic process
KMXK_0D05500	5-phosphoribose 1-diphosphate biosynthetic process
KMXK_0F02520	5-phosphoribose 1-diphosphate biosynthetic process
KMXK_0G03670	5-phosphoribose 1-diphosphate biosynthetic process
KMXK_0B04710	5'-adenylyl sulfate transmembrane transport
KMXK_0A03900	5S class rRNA transcription by RNA polymerase III
KMXK_0A07430	5S class rRNA transcription by RNA polymerase III
KMXK_0B04560	5S class rRNA transcription by RNA polymerase III
KMXK_0D03440	5S class rRNA transcription by RNA polymerase III
KMXK_0D04970	5S class rRNA transcription by RNA polymerase III
KMXK_0G03240	5S class rRNA transcription by RNA polymerase III
KMXK_0H00210	7-methylguanosine cap hypermethylation
KMXK_0B02510	7-methylguanosine mRNA capping
KMXK_0C03230	7-methylguanosine mRNA capping
KMXK_0C03520	7-methylguanosine mRNA capping
KMXK_0D05760	7-methylguanosine mRNA capping
KMXK_0D06370	7-methylguanosine mRNA capping
KMXK_0E02840	7-methylguanosine mRNA capping
KMXK_0H02230	7-methylguanosine mRNA capping
KMXK_0H00210	7-methylguanosine RNA capping
KMXK_0A03520	"7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
KMXK_0C06790	"7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
KMXK_0A00970	acetate biosynthetic process
KMXK_0D04260	acetate biosynthetic process
KMXK_0E00190	acetate biosynthetic process
KMXK_0C06020	acetate fermentation
KMXK_0B00530	acetate metabolic process
KMXK_0B06180	acetate metabolic process
KMXK_0B00180	acetate transport
KMXK_0B01120	acetate transport
KMXK_0G04150	acetate transport
KMXK_0C06020	acetyl-CoA biosynthetic process from acetate
KMXK_0E05360	acetyl-CoA biosynthetic process from acetate
KMXK_0B01850	acetyl-CoA biosynthetic process from pyruvate
KMXK_0B02930	acetyl-CoA biosynthetic process from pyruvate
KMXK_0F00380	acetyl-CoA biosynthetic process from pyruvate
KMXK_0G00760	acetyl-CoA biosynthetic process from pyruvate
KMXK_0B00530	acetyl-CoA metabolic process
KMXK_0B02940	acetyl-CoA transport
KMXK_0B02660	actin cortical patch assembly
KMXK_0C03820	actin cortical patch assembly
KMXK_0D04710	actin cortical patch assembly
KMXK_0E03730	actin cortical patch assembly
KMXK_0F04120	actin cortical patch assembly
KMXK_0G01420	actin cortical patch assembly
KMXK_0G02990	actin cortical patch assembly
KMXK_0H01720	actin cortical patch assembly
KMXK_0H02540	actin cortical patch assembly
KMXK_0A02230	actin cortical patch localization
KMXK_0A04040	actin cortical patch localization
KMXK_0A06410	actin cortical patch localization
KMXK_0A07930	actin cortical patch localization
KMXK_0B01130	actin cortical patch localization
KMXK_0B05930	actin cortical patch localization
KMXK_0B06080	actin cortical patch localization
KMXK_0C01120	actin cortical patch localization
KMXK_0D00350	actin cortical patch localization
KMXK_0E02090	actin cortical patch localization
KMXK_0G02280	actin cortical patch localization
KMXK_0A01110	actin cytoskeleton organization
KMXK_0A01660	actin cytoskeleton organization
KMXK_0A01790	actin cytoskeleton organization
KMXK_0A05280	actin cytoskeleton organization
KMXK_0B00860	actin cytoskeleton organization
KMXK_0B04470	actin cytoskeleton organization
KMXK_0C00770	actin cytoskeleton organization
KMXK_0C02840	actin cytoskeleton organization
KMXK_0D01350	actin cytoskeleton organization
KMXK_0E04120	actin cytoskeleton organization
KMXK_0E05530	actin cytoskeleton organization
KMXK_0G00240	actin cytoskeleton organization
KMXK_0G02710	actin cytoskeleton organization
KMXK_0B01130	actin cytoskeleton reorganization
KMXK_0H02680	actin cytoskeleton reorganization
KMXK_0A04040	actin filament bundle assembly
KMXK_0B02110	actin filament bundle assembly
KMXK_0F04250	actin filament bundle assembly
KMXK_0G01590	actin filament bundle assembly
KMXK_0G02280	actin filament bundle assembly
KMXK_0D01150	actin filament debranching
KMXK_0G04220	actin filament depolymerization
KMXK_0A02670	actin filament organization
KMXK_0A07130	actin filament organization
KMXK_0A07930	actin filament organization
KMXK_0B08390	actin filament organization
KMXK_0C02420	actin filament organization
KMXK_0C03820	actin filament organization
KMXK_0D01910	actin filament organization
KMXK_0D04710	actin filament organization
KMXK_0E01200	actin filament organization
KMXK_0E02090	actin filament organization
KMXK_0F00630	actin filament organization
KMXK_0F00650	actin filament organization
KMXK_0F05440	actin filament organization
KMXK_0G01290	actin filament organization
KMXK_0G01420	actin filament organization
KMXK_0G02180	actin filament organization
KMXK_0H01290	actin filament organization
KMXK_0H02540	actin filament organization
KMXK_0E05840	actin filament reorganization involved in cell cycle
KMXK_0A02670	actin filament severing
KMXK_0G04220	actin filament severing
KMXK_0A06890	actin filament-based process
KMXK_0D06420	actin filament-based process
KMXK_0E05090	actin filament-based process
KMXK_0A07490	actin nucleation
KMXK_0B02470	actin nucleation
KMXK_0F03340	actin nucleation
KMXK_0F04250	actin polymerization or depolymerization
KMXK_0G02360	activation of adenylate cyclase activity
KMXK_0A04400	activation of GTPase activity
KMXK_0B08430	activation of GTPase activity
KMXK_0E02750	activation of GTPase activity
KMXK_0H02470	activation of MAPK activity involved in conjugation with cellular fusion
KMXK_0F05440	activation of MAPK activity involved in osmosensory signaling pathway
KMXK_0C00860	activation of MAPKK activity
KMXK_0A02140	activation of protein kinase activity
KMXK_0A07490	actomyosin contractile ring actin filament bundle assembly
KMXK_0B01000	actomyosin contractile ring assembly
KMXK_0B02550	actomyosin contractile ring assembly
KMXK_0D02340	actomyosin contractile ring assembly
KMXK_0F03420	actomyosin contractile ring assembly
KMXK_0A01820	actomyosin contractile ring contraction
KMXK_0B01000	actomyosin contractile ring contraction
KMXK_0D04990	actomyosin contractile ring contraction
KMXK_0H00490	actomyosin contractile ring contraction
KMXK_0F04900	acyl-CoA metabolic process
KMXK_0A02030	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK_0E01880	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK_0E04700	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK_0E05480	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK_0F04030	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
KMXK_0C03460	adaptation to pheromone regulating conjugation with mutual genetic exchange
KMXK_0B04680	adenine biosynthetic process
KMXK_0C06490	adenine biosynthetic process
KMXK_0A00920	adenine catabolic process
KMXK_0D06170	adenine salvage
KMXK_0F01380	adenylate cyclase-activating G-protein coupled receptor signaling pathway
KMXK_0F04030	adenylate cyclase-activating G-protein coupled receptor signaling pathway
KMXK_0C02270	adenylate cyclase-modulating G-protein coupled receptor signaling pathway
KMXK_0F00420	adhesion of symbiont to host
KMXK_0B01790	ADP biosynthetic process
KMXK_0H03500	ADP transport
KMXK_0A01170	aerobic respiration
KMXK_0A02580	aerobic respiration
KMXK_0A04720	aerobic respiration
KMXK_0A05920	aerobic respiration
KMXK_0A08150	aerobic respiration
KMXK_0B00750	aerobic respiration
KMXK_0B02540	aerobic respiration
KMXK_0B03140	aerobic respiration
KMXK_0B03500	aerobic respiration
KMXK_0B04190	aerobic respiration
KMXK_0B05040	aerobic respiration
KMXK_0B05580	aerobic respiration
KMXK_0B06190	aerobic respiration
KMXK_0B08110	aerobic respiration
KMXK_0C02100	aerobic respiration
KMXK_0C02170	aerobic respiration
KMXK_0C03700	aerobic respiration
KMXK_0C05250	aerobic respiration
KMXK_0D00970	aerobic respiration
KMXK_0D04300	aerobic respiration
KMXK_0D05020	aerobic respiration
KMXK_0D06530	aerobic respiration
KMXK_0E01540	aerobic respiration
KMXK_0E02730	aerobic respiration
KMXK_0E03060	aerobic respiration
KMXK_0E03190	aerobic respiration
KMXK_0E04780	aerobic respiration
KMXK_0F03040	aerobic respiration
KMXK_0F05580	aerobic respiration
KMXK_0F05680	aerobic respiration
KMXK_0G02530	aerobic respiration
KMXK_0G02670	aerobic respiration
KMXK_0H00180	aerobic respiration
KMXK_0H00920	aerobic respiration
KMXK_0H03070	aerobic respiration
KMXK_0H03500	aerobic respiration
KMXK_0H04260	aerobic respiration
KMXK_0D03360	age-dependent response to oxidative stress involved in chronological cell aging
KMXK_0D05030	age-dependent response to oxidative stress involved in chronological cell aging
KMXK_0F01710	age-dependent response to reactive oxygen species
KMXK_0B05680	age-dependent response to reactive oxygen species involved in chronological cell aging
KMXK_0B00670	agglutination involved in conjugation with cellular fusion
KMXK_0D02020	agglutination involved in conjugation with cellular fusion
KMXK_0G00800	agglutination involved in conjugation with cellular fusion
KMXK_0D01630	alanine biosynthetic process
KMXK_0A02120	alanyl-tRNA aminoacylation
KMXK_0A06690	alcohol metabolic process
KMXK_0C02050	alcohol metabolic process
KMXK_0F01240	alcohol metabolic process
KMXK_0G02880	alcohol metabolic process
KMXK_0G03470	alcohol metabolic process
KMXK_0F03930	alkanesulfonate catabolic process
KMXK_0A02040	allantoate transport
KMXK_0F01550	allantoate transport
